¶ Linstruction des	¶ L'instruction des
Monté aux cieux/ seant a la dextre de	Monté aux cieux/ seant a la dextre de
dieu le pere tout puissant/	dieu le pere tout puissant/
Dont uiẽdra iuger les uifz ⁊ les mortz.	Dont viendra juger les vifz et les mortz.
¶ Ie croy au sainct esperit.	¶ Je croy au sainct esperit.
La saincte eglise uniuerselle/ la com¬	La saincte eglise universelle/ la com¬
munion des sainctz/	munion des sainctz/
La remission des pechez/	La remission des pechez/
La resurrection de la chair.	La resurrection de la chair.
La uie eternelle. Amen.	La vie eternelle. Amen.
¶ Les dix cõmandemens de la loy: ainsi que	¶ Les dix commandemens de la loy: ainsi que
le seigñr Dieu de mot a mot dõna a Moyse/	le seigneur Dieu de mot a mot donna a Moyse/
escriptz de son doygt en deux tables/ demon¬	escriptz de son doygt en deux tables/ demon¬
strãs ce quil fault faire ⁊ non faire/ desquelz	strans ce qu'il fault faire et non faire/ desquelz
◊ / selon les anciens/ principalle¬	◊ / selon les anciens/ principalle¬
ment Hebrieux ⁊ Grecz. Exode.20.	ment Hebrieux et Grecz. Exode.20.
¶ La premiere table contient cinq comman¬	¶ La premiere table contient cinq comman¬
demens/ cõcernans singulieremẽt	demens/ concernans singulierement
lhõneur de Dieu.	l'honneur de Dieu.
Preface.	Preface.
M	M¬
Oymesme suis l'Eternel/ tõ Di¬	Oymesme suis l'Eternel/ ton Di¬
eu/ qui tay tire hors de la terre	eu/ qui t'ay tire hors de la terre
d'Egypte/ de la maison de seruitude.	d'Egypte/ de la maison de servitude.
¶ Le premier commandement.	¶ Le premier commandement.
Tu nauras point dautres dieux de¬	Tu n'auras point d'autres dieux de¬
uant moy.	vant moy.
¶ Le .ii. commandement.	¶ Le .ii. commandement.
Tu ne te feras image taillee/ ne simi¬	Tu ne te feras image taillee/ ne simi¬
litude quelconque/ des choses qui sont	litude quelconque/ des choses qui sont
la sus au ciel/ ne ca bas en la terre/ ne	la sus au ciel/ ne ca bas en la terre/ ne
eis eaues dessoubz la terre. Tu ne t'en	eis eaues dessoubz la terre. Tu ne t'en¬
clineras point à icelles/ ⁊ ne les serui¬	clineras point à icelles/ et ne les servi¬
ras. Car moymesme suis l'Eternel/	ras. Car moymesme suis l'Eternel/
ton Dieu/ Dieu ialoux/ punissãt l'ini¬	ton Dieu/ Dieu jaloux/ punissant l'ini¬
quite des peres sur les enfans/ en la	quite des peres sur les enfans/ en la
troysiesme ⁊ quatriesme generation/ de	troysiesme et quatriesme generation/ de
ceux qui me hayent. Et faisant mise¬	ceux qui me hayent. Et faisant mise¬
ricorde en mille generations/ à ceulx qui	ricorde en mille generations/ à ceulx qui
maymẽt/ ⁊ gardẽt mes cõmandemẽs.	m'ayment/ et gardent mes commandemens.
¶ Le .iii. commandement.	¶ Le .iii. commandement.
Tu ne prẽdras point le nom de l'E¬	Tu ne prendras point le nom de l'E¬
ternel/ tõ Dieu/ en uain. Car l'Eternel	ternel/ ton Dieu/ en vain. Car l'Eternel
ne tiendra point innocent/ celuy qui prẽ	ne tiendra point innocent/ celuy qui pren¬
dra son nom en uain.	dra son nom en vain.
¶ Le .iiii. commandement.	¶ Le .iiii. commandement.
Aye souuenãce du iour du repos poͬ	Aye souvenance du jour du repos pour
le sãctifier. Six iours tu trauailleras/ ⁊	le sanctifier. Six jours tu travailleras/ et
feras toute ton oeuure. Mais le septies¬	feras toute ton oeuvre. Mais le septies¬
me iour est le repos de l'Eternel/ ton	me jour est le repos de l'Eternel/ ton
Dieu. Tu ne feras aucune oeuure en	Dieu. Tu ne feras aucune oeuvre en
iceluy/ toy/ ton filz/ ta fille/ ton seruiteur/	iceluy/ toy/ ton filz/ ta fille/ ton serviteur/
ta seruante/ ton bestial/ ⁊ l'estrangier qui	ta servante/ ton bestial/ et l'estrangier qui
est dedens tes portes. Car en six iours	est dedens tes portes. Car en six jours
l'Eternel feit le ciel ⁊ la terre/ ⁊ la mer/ ⁊	l'Eternel feit le ciel et la terre/ et la mer/ et
tout ce qui est en iceux: ⁊ se reposa au se-	tout ce qui est en iceux: et se reposa au se¬
ptiesme iour. Et pourtant l'Eternel be¬	ptiesme jour. Et pourtant l'Eternel be¬
neit le iour du repos/ ⁊ le sanctifia.	neit le jour du repos/ et le sanctifia.
¶ Le .u. commandement.	¶ Le .v. commandement.
Hõnore ton pere ⁊ ta mere/ affin que	Honnore ton pere et ta mere/ affin que
tes iours soient prolongez sur la terre/	tes jours soient prolongez sur la terre/
laquelle l'Eternel/ ton Dieu te donne.	laquelle l'Eternel/ ton Dieu te donne.
¶ La secõde table contiẽt autres cinq cõmã¬	¶ La seconde table contient autres cinq comman¬
demens/ cõcernans la dilection du	demens/ concernans la dilection du
prochain/ pour lamour	prochain/ pour l'amour
de Dieu.	de Dieu.
¶ Le .ui. cõmandement.	¶ Le .ui. commandement.
Tu ne occiras point.	Tu ne occiras point.
¶ Le .uii. cõmandement.	¶ Le .uii. commandement.
Tu ne feras point adultere.	Tu ne feras point adultere.
¶ Le .uiii. commandement.	¶ Le .uiii. commandement.
Tu ne desroberas point.	Tu ne desroberas point.
¶ Le .ix. commandement.	¶ Le .ix. commandement.
Tu ne diras poĩt faux tesmoigna¬	Tu ne diras point faux tesmoigna¬
ge contre ton prochain.	ge contre ton prochain.
¶ Le .x. commandement.	¶ Le .x. commandement.
Tu ne conuoiteras point la maison	Tu ne convoiteras point la maison
de ton prochain. Tu ne conuoiteras la	de ton prochain. Tu ne convoiteras la
femme diceluy/ ne son seruiteur/ ne sa	femme d'iceluy/ ne son serviteur/ ne sa
seruante/ ne son beuf/ ne son asne/ ne	servante/ ne son beuf/ ne son asne/ ne
aucune chose qui soit à luy.	aucune chose qui soit à luy.
¶ Du mystere de lincarnation de nostre sei¬	¶ Du mystere de l'incarnation de nostre sei¬
gneur ⁊ seul sauueur Iesus Christ/ laquelle	gneur et seul sauveur Jesus Christ/ laquelle
fut annõcee a la uierge Marie/ par lãge Ga	fut annoncee a la vierge Marie/ par l'ange Ga¬
briel/ ayant lors mandement de Dieu.	briel/ ayant lors mandement de Dieu.
S. Luc. chap̃.1.	Sainct Luc. chapitre.1.
E	E¬
T quãd lãge paruint à elle/ il dit:	T quand l'ange parvint à elle/ il dit:
Ie te salue pleine de grace/ le Sei¬	Je te salue pleine de grace/ le Sei¬
gneur est auec toy/ tu es beneite entre	gneur est avec toy/ tu es beneite entre
les femmes. Et quand icelle leut ouy/	les femmes. Et quand icelle l'eut ouy/
elle fut troublee du propos diceluy/ et	elle fut troublee du propos d'iceluy/ et
pensoit quelle estoit ceste salutation. Et	pensoit quelle estoit ceste salutation. Et
lange luy dit: Marie ne crains point:	l'ange luy dit: Marie ne crains point:
car tu as trouue grace deuant Dieu.	car tu as trouve grace devant Dieu.
Uoicy tu conceueras en ton uentre/ et	Voicy tu conceveras en ton ventre/ et
enfãteras un filz/ ⁊ appelleras sõ nom	enfanteras un filz/ et appelleras son nom
Iesus ⁊c. Item Elizabeth/ dit: Tu es be¬	Jesus etc. Item Elizabeth/ dit: Tu es be¬
neite entre les femmes/ et beneit est le	neite entre les femmes/ et beneit est le
fruict de ton uentre.	fruict de ton ventre.
Lange a Ioseph. Matth.1.	L'ange a Joseph. Matth.1.
Elle enfantera un filz/ ⁊ appelleras	Elle enfantera un filz/ et appelleras
son nom Iesus. Car il sauuera son peu¬	son nom Jesus. Car il sauvera son peu¬
ple de leurs pechez.	ple de leurs pechez.
¶ Brieue declaration de loraison	¶ Brieve declaration de l'oraison
dominicale/ extraicte des	dominicale/ extraicte des
escriptures sain¬	escriptures sain¬
ctes.	ctes.
Premierement de loraison.	Premierement de l'oraison.
Seigneur/ enseigne nous a prier. Luc.11.a.	Seigneur/ enseigne nous a prier. Luc.11.a.
Demandez ⁊ on uous dõnera. Cerchez et uous	Demandez et on vous donnera. Cerchez et vous
trouuerez. Frappez (a la porte) ⁊ on uous ouurira.	trouverez. Frappez (a la porte) et on vous ouvrira.
Car quiconque demande/ il recoit: ⁊ quicõque cer¬	Car quiconque demande/ il recoit: et quiconque cer¬
che/ il trouue: ⁊ a celuy qui frappe (a la porte) on	che/ il trouve: et a celuy qui frappe (a la porte) on
luy ouurira. Matth.7.b.	luy ouvrira. Matth.7.b.
Et quãd tu prieras/ ne soys point cõme les hy¬	Et quand tu prieras/ ne soys point comme les hy¬
pocrites. Car ilz aymẽt debout prier aux assẽblees	pocrites. Car ilz ayment debout prier aux assemblees
⁊ aux coings des rues: affin quilz soyent ueuz des	et aux coings des rues: affin qu'ilz soyent veuz des
hõmes. En uerite ie uous dy/ quilz ont receu leur	hommes. En verite je vous dy/ qu'ilz ont receu leur
loyer. Mais toy/ quãt tu prieras/ entre en ta cham	loyer. Mais toy/ quant tu prieras/ entre en ta cham¬
bre: ⁊ clos lhuys/ ⁊ prie ton pere en secret: ⁊ ton pere	bre: et clos l'huys/ et prie ton pere en secret: et ton pere
qui uoyt en secret/ le te rendra manifestement.	qui voyt en secret/ le te rendra manifestement.
Et quand uous prierez/ ne parlez point beaucoup/	Et quand vous prierez/ ne parlez point beaucoup/
cõme les infideles. Car ilz cuidẽt estre exaucez par	comme les infideles. Car ilz cuident estre exaucez par
beaucoup de parolles. Ne soyez donc semblables	beaucoup de parolles. Ne soyez donc semblables
a eux. Car uostre pere congnoit ce qui uous est be¬	a eux. Car vostre pere congnoit ce qui vous est be¬
soing: deuãt q̃ le requerez. Uous donc priez ainsi:	soing: devant que le requerez. Vous donc priez ainsi:
Nostre pere ⁊c. Matth.6.a.b.	Nostre pere etc. Matth.6.a.b.
Semblablement aussi lesperit ayde noz infir¬	Semblablement aussi l'esperit ayde noz infir¬
mitez. Car nous ne scauons point q̃lle chose nous	mitez. Car nous ne scavons point quelle chose nous
deuons prier/ cõe il appartiẽt: mais lesperit mesme	devons prier/ comme il appartient: mais l'esperit mesme
prie pour nous par gemissemens inenarrables. Et	prie pour nous par gemissemens inenarrables. Et
celuy qui regarde les coeurs/ scet quel est laffectiõ	celuy qui regarde les coeurs/ scet quel est l'affection
de lesperit. Car il prie pour les sainctz selõ Dieu.	de l'esperit. Car il prie pour les sainctz selon Dieu.
Roma.8.e.	Roma.8.e.
Croy moy/ q̃ lheure est uenue/ quãd uoꝰ ne ado¬	Croy moy/ que l'heure est venue/ quand vous ne ado¬
rerez le pere/ ne en ceste mõtaigne/ ne en Hierusalẽ.	rerez le pere/ ne en ceste montaigne/ ne en Hierusalem.
Lheure uient ⁊ des maintenãt est: quãd les urays	L'heure vient et des maintenant est: quand les vrays
adorateurs adorerõt le pere en esperit ⁊ uerite. Car	adorateurs adoreront le pere en esperit et verite. Car
aussi le pere quiert telz/ qui le adorẽt. Dieu est espe	aussi le pere quiert telz/ qui le adorent. Dieu est espe¬
rit: ⁊ faut que ceux qui le adorent/ le adorent en	rit: et faut que ceux qui le adorent/ le adorent en
esperit ⁊ uerite. Iehã.4.c.	esperit et verite. Jehan.4.c.
Car nous sommes la circoncision/ seruans a	Car nous sommes la circoncision/ servans a
Dieu en esperit. Philip.3.a.	Dieu en esperit. Philip.3.a.
Ie prieray desperit/ mais ie prieray aussi dentẽ¬	Je prieray d'esperit/ mais je prieray aussi d'enten¬
dement. Iayme mieux parler cinq motz en mon	dement. J'ayme mieux parler cinq motz en mon
sens en leglise: affin que ie instruise les autres: que	sens en l'eglise: affin que je instruise les autres: que
dix mille parolles en language. 1.Corin.14.c.d.	dix mille parolles en language. 1.Corin.14.c.d.
Ie uueil donc q̃ les hõmes facẽt oraison en tout	Je vueil donc que les hommes facent oraison en tout
lieu/ leuans les mains pures/ sans ire ⁊ dissentiõ.	lieu/ levans les mains pures/ sans ire et dissention.
1.Timoth.2.c.	1.Timoth.2.c.
Ueillez donc en tout temps/ prians. Luc.21.g.	Veillez donc en tout temps/ prians. Luc.21.g.
Prians en toute oraison ⁊ supplication en tout	Prians en toute oraison et supplication en tout
temps en esperit. Ephe.6.c.	temps en esperit. Ephe.6.c.
Ie loueray Leternel en tout tẽps/ sa louẽge se¬	Je loueray L'eternel en tout temps/ sa louenge se¬
ra tousiours en ma bouche. Ps̈.34.a.	ra tousjours en ma bouche. Ps̈.34.a.
Nous nous esiouyssõs pour uous deuãt nostre	Nous nous esjouyssons pour vous devant nostre
Dieu/ prians nuyct et iour fort abondamment.	Dieu/ prians nuyct et jour fort abondamment.
1.Thessalo.3.c.	1.Thessalo.3.c.
Il faut tousioͬs prier/ ⁊ ne se lasser poĩt. Lu.18.a	Il faut tousjours prier/ et ne se lasser point. Lu.18.a
Priez sans cesser. 1.Thessa.5.d.	Priez sans cesser. 1.Thessa.5.d.
En uerite/ en uerite ie uous dy/ que se uous de¬	En verite/ en verite je vous dy/ que se vous de¬
mandez quelque chose a mon pere en mon nom/ il	mandez quelque chose a mon pere en mon nom/ il
le uous donnera. Ioan.16.e.	le vous donnera. Joan.16.e.
¶ Les deux cõditions principallement	¶ Les deux conditions principallement
requises/ en loraison.	requises/ en l'oraison.
Marc.11.d.	Marc.11.d.
1. Toutes choses quelcõques que uous deman¬	1. Toutes choses quelconques que vous deman¬
dez en priant/ croyez que uous laurez: et elles se¬	dez en priant/ croyez que vous l'aurez: et elles se¬
ront uostres.	ront vostres.
2 Et quant uous serez pour faire oraison/ pardõ	2 Et quant vous serez pour faire oraison/ pardon¬
nez se uous auez quelque chose cõtre aucun/ affin	nez se vous avez quelque chose contre aucun/ affin
aussi que uostre pere/ qui est eis cieux/ uous pardõ	aussi que vostre pere/ qui est eis cieux/ vous pardon¬
ne uoz pechez.	ne voz pechez.
¶ Nostre pere.	¶ Nostre pere.
A nous est un Dieu/ lequel est pere/ duquel sõt	A nous est un Dieu/ lequel est pere/ duquel sont
toutes choses/ ⁊ nous par luy. 1.Corin.8.a.	toutes choses/ et nous par luy. 1.Corin.8.a.
Ie suis le pere de Israel. Ierem̃.31.b.	Je suis le pere de Israel. Jerem̃.31.b.
Ie uous seray pour pere/ ⁊ uoꝰ me serez poͬ filz ⁊	Je vous seray pour pere/ et vous me serez pour filz et
filles/ dit le Seigñr tout puissant. 2.Corin.6.c.	filles/ dit le Seigneur tout puissant. 2.Corin.6.c.
Le filz hõnore le pere/ ⁊ le seruiteur son seigñr.	Le filz honnore le pere/ et le serviteur son seigneur.
Si dõc ie suis pere: ou est mõ hõneur. Et si ie suis	Si donc je suis pere: ou est mon honneur. Et si je suis
seigñr: ou est la crainte enuers moy. Malach.1.b.	seigneur: ou est la crainte envers moy. Malach.1.b.
Qui est lhõme dentre uous auquel si son filz	Qui est l'homme d'entre vous auquel si son filz
luy demãde du pain: luy dõnera il une pierre? Ou	luy demande du pain: luy donnera il une pierre? Ou
si luy demãde du poisson: luy dõnera il un serpẽt?	si luy demande du poisson: luy donnera il un serpent?
Se uous donc qui estes mauuais scauez donner a	Se vous donc qui estes mauvais scavez donner a
uoz enfans des bons dons: cõbien plus uostre pere	voz enfans des bons dons: combien plus vostre pere
qui est aux cieux/ donnera des biens a ceux qui le	qui est aux cieux/ donnera des biens a ceux qui le
requierent? Matth.7.b.	requierent? Matth.7.b.
O Eternel/ tu es nostre pere/ ⁊ nostre redẽpteur/	O Eternel/ tu es nostre pere/ et nostre redempteur/
ton nom est a perpetuite. Isaie.63.d.	ton nom est a perpetuite. Isaie.63.d.
O pere/ seigneur du ciel ⁊ de la terre/ ie te rends	O pere/ seigneur du ciel et de la terre/ je te rends
graces que tu as absconse ces choses aux sages ⁊	graces que tu as absconse ces choses aux sages et
prudens: ⁊ les as reuele aux petis. Certe pere/ tel a	prudens: et les as revele aux petis. Certe pere/ tel a
este ton bon plaisir deuant toy. Toutes choses me	este ton bon plaisir devant toy. Toutes choses me
sont baillees par mon pere. Et nul na congneu le	sont baillees par mon pere. Et nul n'a congneu le
filz/ sinon le pere: ne aussi nul na cõgneu le pere/	filz/ sinon le pere: ne aussi nul n'a congneu le pere/
sinon le filz/ ⁊ celuy auquel le filz le uouldra re¬	sinon le filz/ et celuy auquel le filz le vouldra re¬
ueler. Matth.11.d.	veler. Matth.11.d.
Uoyez quelle charite le pere nous a donne: que	Voyez quelle charite le pere nous a donne: que
nous soyons nõmez enfans de Dieu. 1.Ioan.3.a.	nous soyons nommez enfans de Dieu. 1.Joan.3.a.
Pourtant que uous estes filz/ Dieu a enuoye	Pourtant que vous estes filz/ Dieu a envoye
lesperit de son filz en noz coeurs/ criant/ abba (cest	l'esperit de son filz en noz coeurs/ criant/ abba (c'est
a dire) pere. Et par ainsi/ maintenãt nul nest serf/	adire) pere. Et par ainsi/ maintenant nul n'est serf/
mais filz. Si lors filz/ aussi heritier de Dieu par	mais filz. Si lors filz/ aussi heritier de Dieu par
Christ. Gala.4.a.	Christ. Gala.4.a.
Car quicõques sont menez de lesperit de Dieu/	Car quiconques sont menez de l'esperit de Dieu/
iceux sont filz de Dieu. Car uous nauez point re¬	iceux sont filz de Dieu. Car vous n'avez point re¬
ceu lesperit de seruitude poͬ estre encore en crainte:	ceu l'esperit de servitude pour estre encore en crainte:
mais uous auez receu lesperit dadoption/ par leq̃l	mais vous avez receu l'esperit d'adoption/ par lequel
nous crions. abba/ pere. Iceluy esperit rẽd tesmoi¬	nous crions. abba/ pere. Iceluy esperit rend tesmoi¬
gnage auec nostre esperit: que nous sommes enfãs	gnage avec nostre esperit: que nous sommes enfans
de Dieu. Et se nous sommes enfans/ nous sõmes	de Dieu. Et se nous sommes enfans/ nous sommes
aussi heritiers/ heritiers certes de Dieu/ ⁊ coheri¬	aussi heritiers/ heritiers certes de Dieu/ et coheri¬
tiers de Christ. Roma.8.c.	tiers de Christ. Roma.8.c.
Nauons nous pas tous un seul pere? nauons	N'avons nous pas tous un seul pere? n'avons
nous pas un seul Dieu/ qui nous a cree? Pour¬	nous pas un seul Dieu/ qui nous a cree? Pour¬
quoy donc un chascun mesprise il son frere/ rõpãt	quoy donc un chascun mesprise il son frere/ rompant
laliance de noz peres? Malach.2.b.	l'aliance de noz peres? Malach.2.b.
Nest ce point celuy tõ pere/ qui ta possede/ celuy	N'est ce point celuy ton pere/ qui t'a possede/ celuy
qui ta faict ⁊ forme? 5.Moyse.32.a.	qui t'a faict et forme? 5.Moyse.32.a.
Qui es eis cieux.	Qui es eis cieux.
Ne uueillez point estre appellez maistres. Car	Ne vueillez point estre appellez maistres. Car
un est ur̃e maistre/ cest ascauoir Christ: mais uous	un est vostre maistre/ c'est ascavoir Christ: mais vous
toꝰ estes freres. Et ne appellez aucũ sur la terre ur̃e	tous estes freres. Et ne appellez aucun sur la terre vostre
pere. Car un est ur̃e pere/ qͥ est eis cieux. Mat.23.a.	pere. Car un est vostre pere/ qui est eis cieux. Mat.23.a.
Iay esleue mes yeux a toy/ qui habite eis cieux.	J'ay esleve mes yeux a toy/ qui habite eis cieux.
Psal.123.a.	Psal.123.a.
Leternel a constitue son thronne au ciel/ ⁊ son	L'eternel a constitue son thronne au ciel/ et son
royaume a domination par tout. Ps̈.103.d.	royaume a domination par tout. Ps̈.103.d.
Nostre Dieu est au ciel/ il faict toutes choses	Nostre Dieu est au ciel/ il faict toutes choses
quil ueut. Ps̈.115.a.	qu'il veut. Ps̈.115.a.
Le ciel uniuersel est a Leternel/ ⁊ aux hõmes a	Le ciel universel est a L'eternel/ et aux hommes a
dõne la terre. Ps̈.115.d.	donne la terre. Ps̈.115.d.
Le ciel est mon siege/ ⁊ la terre est le marchepied	Le ciel est mon siege/ et la terre est le marchepied
de mes piedz. Quelle sera ceste maison que uoꝰ me	de mes piedz. Quelle sera ceste maison que vous me
edifierez? ⁊ quel sera le lieu de ma demeure? Ma	edifierez? et quel sera le lieu de ma demeure? Ma
main a faict toutes ces choses/ ⁊ toutes ces choses	main a faict toutes ces choses/ et toutes ces choses
uniuerselles ont este faictes/ dit Leternel. Isa.66.a.	universelles ont este faictes/ dit L'eternel. Isa.66.a.
Ne rẽply ie pas le ciel/ ⁊ la terre? dit Leternel.	Ne remply je pas le ciel/ et la terre? dit L'eternel.
Ieremie.23.e.	Jeremie.23.e.
Si le ciel/ ⁊ les cieux des cieux ne le peuuent cõ	Si le ciel/ et les cieux des cieux ne le peuvent com¬
prendre? or que sera il de ceste maison que iay edi¬	prendre? or que sera il de ceste maison que j'ay edi¬
fiee? 1.des Roys.8.d/ 2.des Cronicques.2.b. ⁊. 6.c.	fiee? 1.des Roys.8.d/ 2.des Cronicques.2.b. et. 6.c.
Lors Salomon luy edifia une maison. Mais	Lors Salomon luy edifia une maison. Mais
le treshaut ne habite point aux temples faictz de	le tres haut ne habite point aux temples faictz de
la main/ cõme dit le Prophete. ⁊c. Act̃.7.f.	la main/ comme dit le Prophete. etc. Act̃.7.f.
Dieu qui a faict le monde/ ⁊ toutes choses qui	Dieu qui a faict le monde/ et toutes choses qui
sont en iceluy/ ueu quil est seigneur du ciel ⁊ de la	sont en iceluy/ veu qu'il est seigneur du ciel et de la
terre: il ne habite point aux temples faictz de la	terre: il ne habite point aux temples faictz de la
main/ ⁊ si nest point seruy de par les mains des hõ	main/ et si n'est point servy de par les mains des hom¬
mes/ ayant besoing de quelque chose: ueu quil est	mes/ ayant besoing de quelque chose: veu qu'il est
celuy qui dõne a tous uie ⁊ respiration par tout/ ⁊	celuy qui donne a tous vie et respiration par tout/ et
a faict de un sang tout le genre humain/ pour ha-	a faict de un sang tout le genre humain/ pour ha¬
biter sur toute la face de la terre: determinant tẽps	biter sur toute la face de la terre: determinant temps
ordonnez a ce/ ⁊ les fins de leur habitation/ pour	ordonnez a ce/ et les fins de leur habitation/ pour
querir Dieu: si dauenture ilz le toucheroiẽt ⁊ trou	querir Dieu: si d'aventure ilz le toucheroient et trou¬
ueroiẽt: ia soit quil ne soit point loing de un cha¬	veroient: ja soit qu'il ne soit point loing de un cha¬
scun de nous. Car par luy noꝰ uiuõs ⁊ mouuõs/ ⁊	scun de nous. Car par luy nous vivons et mouvons/ et
sõmes: cõe aussi aucũs dẽtre uoz poetes le ont dit.	sommes: comme aussi aucuns d'entre voz poetes le ont dit.
Aussi certes nous sõmes genre de luy ⁊c. Act̃.17.f.	Aussi certes nous sommes genre de luy etc. Act̃.17.f.
Ton nom soit sanctifie.	Ton nom soit sanctifie.
Ie dõneray a cõgnoistre mõ sainct nom/ au mi-	Je donneray a congnoistre mon sainct nom/ au mi¬
lieu de mon peuple Disrael: ⁊ ne souilleray plus	lieu de mon peuple D'israel: et ne souilleray plus
mon sainct nom. Et si cõgnoistrõt les gens/ que ie	mon sainct nom. Et si congnoistront les gens/ que je
suis Leternel/ le sainct Disrael. Ezech.39.b.	suis L'eternel/ le sainct D'israel. Ezech.39.b.
En ce iour la sera le seul Eternel/ ⁊ le nom de	En ce jour la sera le seul Eternel/ et le nom de
luy sera seul. zacha.14.b.	luy sera seul. zacha.14.b.
O maison Disrael ie ne le feray pas/ pour la-	O maison D'israel je ne le feray pas/ pour l'a¬
mour de uoꝰ/ mais poͬ mon sainct nom. Ezech.36.e	mour de vous/ mais pour mon sainct nom. Ezech.36.e
Quiconque inuocque mon nom: ⁊ ma gloire/ ie	Quiconque invocque mon nom: et ma gloire/ je
lay cree ⁊ forme/ ⁊ si lay faict. Isa.43.a.	l'ay cree et forme/ et si l'ay faict. Isa.43.a.
Et aduiendra que quicõque inuocquera le nom	Et adviendra que quiconque invocquera le nom
de Leternel sera sauue. Ioel.2.g.	de L'eternel sera sauve. Joel.2.g.
O Eternel/ nostre seigneur/ que tõ nom est mer¬	O Eternel/ nostre seigneur/ que ton nom est mer¬
ueilleux par toute la terre uniuerselle. Ps̈.8.a.	veilleux par toute la terre universelle. Ps̈.8.a.
Depuis le soleil leuãt iusque a soleil couchãt/	Depuis le soleil levant jusque a soleil couchant/
mon nom est grand/ entre les gens ⁊ en toute pla¬	mon nom est grand/ entre les gens et en toute pla¬
ce. Malach.1.c.	ce. Malach.1.c.
Son nom est sainct ⁊ terrible. Ps̈.111.b.	Son nom est sainct et terrible. Ps̈.111.b.
Le nom de Leternel est une forte tour: le iuste se	Le nom de L'eternel est une forte tour: le juste se
