¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
¶ De Dieu Chapitre.i.	¶ De Dieu Chapitre.i.
D	D¬
Ieu/ est bonte/ puissance/	Ieu/ est bonte/ puissance/
⁊ sagesse infinie/ sans cõ	et sagesse infinie/ sans com¬
rite immuable. Ce que	rite immuable. Ce que
bien on entend par la creation du	bien on entend par la creation du
monde: auquel rien nya inutile et	monde: auquel rien n’y a inutile et
qui ne porte proffit. Et cõbien quil	qui ne porte proffit. Et combien qu’il
trariete/ neãtmoins par la puissan	trariete/ neantmoins par la puissan¬
ce de Dieu est conserue/ ainsi que	ce de Dieu est conserve/ ainsi que
par sa grande sagesse tout a este si	par sa grande sagesse tout a este si
bien ordõne. Cecy nous monstre la	bien ordonne. Cecy nous monstre la
Dieu est si bon/ quil nous a forme	Dieu est si bon/ qu’il nous a forme
a sa semblance nous donnãt la sei¬	a sa semblance nous donnant la sei¬
gneurie sus toutes creatures. La¬	gneurie sus toutes creatures. La¬
quelle perdue par desobeissance et	quelle perdue par desobeissance et
la grande bonte de Dieu/ lequel a	la grande bonte de Dieu/ lequel a
tant ayme le mõde quil a dõne son	tant ayme le monde qu’il a donne son
seul filz/ qui par la uertu ⁊ puissan	seul filz/ qui par la vertu et puissan¬
ce du pere estant en luy a destruict	ce du pere estant en luy a destruict
gesse destruisant le peche ꝑ le corps	gesse destruisant le peche par le corps
semblable a peche/ donnãt ⁊ restau	semblable a peche/ donnant et restau¬
rant pleine uie par son obedience a	rant pleine vie par son obedience a
ceulx qͥ estoiẽt mortz par inobediẽ¬	ceulx qui estoient mortz par inobedien¬
immuable de Dieu fust accomply:	immuable de Dieu fust accomply:
⁊ que ceulx qui auant le commence	et que ceulx qui avant le commence¬
ment du monde auoyent este ordõ	ment du monde avoyent este ordon¬
nez a uie en eussent iouyssãce ⁊ pos	nez a vie en eussent jouyssance et pos¬
escripte au coeur engẽdre telle ꝯfiã	escripte au coeur engendre telle confian¬
ce en la grãde bõte de Dieu/ q̃ rien	ce en la grande bonte de Dieu/ que rien
ne noꝰ peult separer de son amour.	ne nous peult separer de son amour.
Car on uit a luy en le sentant ⁊ cõ¬	Car on vit a luy en le sentant et con¬
eternelle congnoistre le seul uray	eternelle congnoistre le seul vray
dieu/ ⁊ celuy qͥl a ẽuoye Iesuchrist.	dieu/ et celuy qu’il a envoye Jesuchrist.
¶ De lhõme. Chap̃.ii.	¶ De l’homme. Chapitre.ii.
L	L’
pouuant rien/ fol ⁊ teme	pouvant rien/ fol et teme¬
raire/ ambitieux/ plein de	raire/ ambitieux/ plein de
faulsete ⁊ dhypocrisie/ in¬	faulsete et d’hypocrisie/ in¬
constant/ uariable/ ne pensant que	constant/ variable/ ne pensant que
ceu/ en tout ⁊ par tout cerche soy	ceu/ en tout et par tout cerche soy¬
mesme/ nestimãt q̃ soy ⁊ son prouf¬	mesme/ n’estimant que soy et son prouf¬
fit/ uoulant tousiours magnifier	fit/ voulant tousjours magnifier
ses oeuures/ puissances ⁊ uertus/	ses oeuvres/ puissances et vertus/
plus est aspre ⁊ songneux de gar¬	plus est aspre et songneux de gar¬
der ses inuentions/ loix ⁊ ordonnã	der ses inventions/ loix et ordonnan¬
ces/ que celles de Dieu. Il ne	ces/ que celles de Dieu. Il ne
porter destre humilie/ deshonnore ⁊	porter d’estre humilie/ deshonnore et
Dieu/ sus sa saincte parolle/ loy/ ⁊	Dieu/ sus sa saincte parolle/ loy/ et
cõmandement. Et dautãt est	commandement. Et d’autant est
il plein de toute iniqͥte/ quil a plus	il plein de toute iniquite/ qu’il a plus
dapparẽce de iustice ⁊ sainctete. Et	d’apparence de justice et sainctete. Et
reux ⁊ menteur: cõme racine pour¬	reux et menteur: comme racine pour¬
rie ⁊ mauuais arbre ne peult porter	rie et mauvais arbre ne peult porter
q̃ mauuais fruictz: car tout est cor¬	que mauvais fruictz: car tout est cor¬
rompu en luy. Pourtant que mort	rompu en luy. Pourtant que mort
ne peult fructifier que a la mort et	ne peult fructifier que a la mort et
dãnation/ ayant toutes cogitatiõs	damnation/ ayant toutes cogitations
mauuaises/ pour ce q̃ toute la ꝓdu¬	mauvaises/ pour ce que toute la produ¬
ction des pẽsees de son coeur est tãt	ction des pensees de son coeur est tant
il est chair/ ⁊ ce qui uiẽt de son coeur	il est chair/ et ce qui vient de son coeur
est mal/ ⁊ toute affection de chair.	est mal/ et toute affection de chair.
¶ De Iesuchrist. Chap̃.iii.	¶ De Jesuchrist. Chapitre.iii.
I	J¬
Dieu/ le bras/ puissance/	Dieu/ le bras/ puissance/
parolle/ ⁊ sapiẽce du pere.	parolle/ et sapience du pere.
Auquel cõme hõme/ Dieu	Auquel comme homme/ Dieu
a esleu son sainct tẽple/ son habita¬	a esleu son sainct temple/ son habita¬
sainctz/ le propitiatoire ou sõt tous	sainctz/ le propitiatoire ou sont tous
les thresors de sapience ⁊ sagesse/ ⁊	les thresors de sapience et sagesse/ et
ou toute la diuinite habite: non pas	ou toute la divinite habite: non pas
cõme en lombre ⁊ figure/ mais cõ¬	comme en l’ombre et figure/ mais com¬
sommee et parfaictement accõplie	sommee et parfaictement accomplie
toute loeuure de Dieu. Car par luy	toute l’oeuvre de Dieu. Car par luy
sont restaurees ⁊ parfaictes toutes	sont restaurees et parfaictes toutes
choses/ tant au ciel que en la terre:	choses/ tant au ciel que en la terre:
sance/ uertu/ sagesse/ grace ⁊ iustice	sance/ vertu/ sagesse/ grace et justice
sont en luy. Lequel faict obeissãt	sont en luy. Lequel faict obeissant
au pere/ nay de mere/ uoire uierge	au pere/ nay de mere/ voire vierge
sans semence dhõme/ faict subiect	sans semence d’homme/ faict subject
re/ ne sa uolunte: mais celle du pe¬	re/ ne sa volunte: mais celle du pe¬
re/ ne parlant ⁊ ne faisant rien de	re/ ne parlant et ne faisant rien de
soy mesme: mais tout par son pere/	soy mesme: mais tout par son pere/
lequel estoit en luy/ reconciliant le	lequel estoit en luy/ reconciliant le
Tant se est humilie ⁊ abbaisse	Tant se est humilie et abbaisse
quil est mort pour nous/ luy iuste ⁊	qu’il est mort pour nous/ luy juste et
innocent poͬ les iniustes ⁊ iniques/	innocent pour les injustes et iniques/
offrãt son corps ⁊ son sang pour la	offrant son corps et son sang pour la
les par ceste mort ⁊ sacrifice/ et par	les par ceste mort et sacrifice/ et par
ce beau don de sõ filz/ le pere ueult	ce beau don de son filz/ le pere veult
q̃lles soyent certaines de leur salut	qu’elles soyent certaines de leur salut
⁊ uie/ ⁊ que pleinement elles sont	et vie/ et que pleinement elles sont
tez. Et que le pere pour lamour de	tez. Et que le pere pour l’amour de
soy mesme/ et non pas poͬ lamour	soy mesme/ et non pas pour l’amour
de nous/ ne de noz oeuures/ meri¬	de nous/ ne de noz oeuvres/ meri¬
tes/ ⁊ iustices (qui ne sont que abo¬	tes/ et justices (qui ne sont que abo¬
uiuifie/ nous prenãt pour ses filz ⁊	vivifie/ nous prenant pour ses filz et
heritiers/ heritiers auec Iesuchrist/	heritiers/ heritiers avec Jesuchrist/
duquel sont faictz membres tous	duquel sont faictz membres tous
ceulx qui ont uraye foy en luy/ et	ceulx qui ont vraye foy en luy/ et
de Iesus. Par la uertu diuine qͥ	de Jesus. Par la vertu divine qui
habite au chef/ toute puissance con¬	habite au chef/ toute puissance con¬
traire est destruicte. Par la uie par¬	traire est destruicte. Par la vie par¬
faicte ⁊ ĩmortelle/ nostre mort abo¬	faicte et immortelle/ nostre mort abo¬
⁊ innocẽce infinie qui est en luy/ tou	et innocence infinie qui est en luy/ tou¬
te nostre mauuaistie/ iniquite/ ⁊ or¬	te nostre mauvistie/ iniquite/ et or¬
dure est abismee. Et par ceste gran	dure est abismee. Et par ceste gran¬
de puissance nous sommes reparez	de puissance nous sommes reparez
fusmes auant le peche de Adã/ au	fusmes avant le peche de Adam/ au
paradis: non point qui est terrien/	paradis: non point qui est terrien/
mais celestiel: a une uie/ non pas	mais celestiel: a une vie/ non pas
corporelle/ corruptible/ ⁊ quõ peult	corporelle/ corruptible/ et qu’on peult
ptiõ/ et quon ne perdra iamais.	ption/ et qu’on ne perdra jamais.
Qui cõgnoist ⁊ entend cecy par	Qui congnoist et entend cecy par
uraye ⁊ uiue foy/ il a ueritablemẽt	vraye et vive foy/ il a veritablement
la uie eternelle/ ⁊ plus ne se arreste	la vie eternelle/ et plus ne se arreste
nes/ ayant congnoissance du pere	nes/ ayant congnoissance du pere
par le filz: auquel il cõgnoist ⁊ en¬	par le filz: auquel il congnoist et en¬
tend la grãde bonte de Dieu/ ⁊ son	tend la grande bonte de Dieu/ et son
infinie misericorde.	infinie misericorde.
L	L¬
A loy de Dieu uraye rei¬	A loy de Dieu vraye rei¬
gle de bien uiure/ mõstre	gle de bien vivre/ monstre
aux hommes leurs fau¬	aux hommes leurs fau¬
du chemin auquel ilz doiuẽt chemi	du chemin auquel ilz doivent chemi¬
ner/ declairãt ꝑ menaces les grãdz	ner/ declairant par menaces les grandz
maulx qͥ doiuẽt aduenir aux trãs¬	maulx qui doivent advenir aux trans¬
gresseͬs/ engẽdrãt horreur ⁊ crain¬	gresseurs/ engendrant horreur et crain¬
pource quelle trouue tous hõmes	pour ce qu’elle trouve tous hommes
charnelz ⁊ destituez de lesperit de	charnelz et destituez de l’esperit de
Dieu elle esmeut le peche ⁊ la cõcu	Dieu elle esmeut le peche et la concu¬
piscence/ par occasion multipliant	piscence/ par occasion multipliant
Et dela uient que tous ceulx qui	Et dela vient que tous ceulx qui
sont soubz la loy/ sont en maledi¬	sont soubz la loy/ sont en maledi¬
ction/ pourtãt quilz ne peuuẽt par¬	ction/ pourtant qu’ilz ne peuvent par¬
faire ce que la loy demãde. Car elle	faire ce que la loy demande. Car elle
mais par foy. A cause dequoy	mais par foy. A cause dequoy
elle dõne a entendre quon doit cer¬	elle donne a entendre qu’on doit cer¬
cher Iesuchrist: car il est la fin de la	cher Jesuchrist: car il est la fin de la
loy/ iustifiant tous ceulx qͥ croyent	loy/ justifiant tous ceulx qui croyent
ter lire ⁊ indignation de Dieu qui	ter lire et indignation de Dieu qui
noꝰ est mõstree par la loy/ laquel¬	nous est monstree par la loy/ laquel¬
le est la uertu de peche ⁊ laguillon.	le est la vertu de peche et l’aguillon.
Dequoy sommes deliurez par Ie¬	Dequoy sommes delivrez par Je¬
croyõs quil a porte la malediction	croyons qu’il a porte la malediction
pour nous.	pour nous.
¶ De leuangile. Chap̃.u.	¶ De l’evangile. Chapitre.v.
L	L’
puissãce de Dieu en salut	puissance de Dieu en salut
a tout croyant/ la consola	a tout croyant/ la consola¬
tiõ des affligez/ la deliurã	tion des affligez/ la delivran¬
ce des captifz/ la uie des mortz et	ce des captifz/ la vie des mortz et
tout sentement.	tout sentement.
Qui ne sesiouyroit en ouyãt son	Qui ne s’esjouyroit en ouyant son
ennemy (lequel il ne pouoit fuyr/	ennemy (lequel il ne povoit fuyr/
en la pleine puissance duq̃l il estoit)	en la pleine puissance duquel il estoit)
dãnation ineuitable luy estre tour¬	damnation inevitable luy estre tour¬
nee en uie ⁊ salut eternel? enfer au	nee en vie et salut eternel? enfer au
royaume des cieulx? lhorreur de la	royaume des cieulx? l’horreur de la
cõpaignie des diables/ en la bour¬	compaignie des diables/ en la bour¬
enfãs de Dieu? Ce qui nous est an	enfans de Dieu? Ce qui nous est an¬
nonce par la mort de Iesus/ qͥ par	nonce par la mort de Jesus/ qui par
la uertu du pere/ qui est en luy noꝰ	la vertu du pere/ qui est en luy nous
a sauuez/ nous ostant la crainte ser	a sauvez/ nous ostant la crainte ser¬
quil ny a poĩt de dãnation a ceulx	qu’il n’y a point de damnation a ceulx
qui sont en Iesus. Car deliurez de	qui sont en Jesus. Car delivrez de
la seruitude de peche ⁊ de mort (en	la servitude de peche et de mort (en
laquelle ilz estoient detenus par la	laquelle ilz estoient detenus par la
ilz sont faictz filz par foy qͥlz ont/	ilz sont faictz filz par foy qu’ilz ont/
croyãs parfaictemẽt tout leur estre	croyans parfaictement tout leur estre
remis par Iesus/ qͥ a puissamment	remis par Jesus/ qui a puissamment
triumphe de noz ennemis. Et	triumphe de noz ennemis. Et
par luy tout est nostre/ ainsi quil	par luy tout est nostre/ ainsi qu’il
nous est annõce par ses bõnes nou	nous est annonce par ses bonnes nou¬
uelles qui sont leuangile/ qͥl nous	velles qui sont l’evangile/ qu’il nous
a tout restaure ⁊ dõne/ ⁊ encore da¬	a tout restaure et donne/ et encore da¬
Et pourtant ayans pleine foy/	Et pourtant ayans pleine foy/
noꝰ armõs de sa iustice cõtre nostre	nous armons de sa justice contre nostre
peche/ de sa uie ꝯtre nostre mort/ de	peche/ de sa vie contre nostre mort/ de
son innocẽce cõtre nostre iniqͥte. Et	son innocence contre nostre iniquite. Et
ses de Dieu/ et si grãd bien que ia¬	ses de Dieu/ et si grand bien que ja¬
mais oeil ne ueit/ ne aureille ne	mais oeil ne veit/ ne aureille ne
ouyt/ ne coeur ne pẽsa/ combien est	ouyt/ ne coeur ne pensa/ combien est
grand ce q̃ Dieu nous a promis.	grand ce que Dieu nous a promis.
P	P¬
Eche/ est nature corrõpue	Eche/ est nature corrompue
⁊ deprauee/ uiuant a soy/	et depravee/ vivant a soy/
aymant soymesme/ repu¬	aymant soymesme/ repu¬
la hayant/ aymant les choses char	la hayant/ aymant les choses char¬
nelles/ mesprisant les spirituelles/	nelles/ mesprisant les spirituelles/
nentendãt rien de Dieu/ pleine de	n’entendant rien de Dieu/ pleine de
toute ignorãce/ fructifiãt a mort.	toute ignorance/ fructifiant a mort.
mauuaise/ quelle ne peult que mal.	mauvaise/ qu’elle ne peult que mal.
Et dautant que la droicte uoye et	Et d’autant que la droicte voye et
le bien luy est plus clairement ma¬	le bien luy est plus clairement ma¬
nifeste/ dautant plus il la reiecte et	nifeste/ d’autant plus il la rejecte et
destruict par la mort de Iesus/ il	destruict par la mort de Jesus/ il
dit le bien estre mal/ ⁊ le mal bien/	dit le bien estre mal/ et le mal bien/
la lumiere tenebres/ ⁊ les tenebres	la lumiere tenebres/ et les tenebres
lumiere/ blasphemãt le sainct espe¬	lumiere/ blasphemant le sainct espe¬
soy innocence/ ⁊ se eleuant contre	soy innocence/ et se elevant contre
Dieu ⁊ son esperit/ le condemnant	Dieu et son esperit/ le condemnant
poͬ regner: car il ueult auoir bruit	pour regner: car il veult avoir bruit
⁊ honneur.	et honneur.
I	J¬
Ustice/ est la uraye ima¬	Ustice/ est la vraye ima¬
ge de Dieu/ luisãt par la	ge de Dieu/ luisant par la
regeneratiõ qui est faicte	regeneration qui est faicte
receue par foy/ ⁊ escrite au coeͬ des	receue par foy/ et escrite au coeur des
filz de Dieu. Par laquelle lhom	filz de Dieu. Par laquelle l’hom¬
me mort a soymesme/ renõceãt soy	me mort a soymesme/ renonceant soy
⁊ toutes choses/ ayme tant seule¬	et toutes choses/ ayme tant seule¬
cte loy/ tire hors de toutes choses	cte loy/ tire hors de toutes choses
terriẽnes/ brusle apres les celestiel¬	terriennes/ brusle apres les celestiel¬
les: car par la congnoissance quil a	les: car par la congnoissance qu’il a
de Dieu/ il porte fruict de uie sa¬	de Dieu/ il porte fruict de vie sa¬
demner ⁊ reiecter le mal/ donnãt a	demner et rejecter le mal/ donnant a
Dieu tout hõneur ⁊ gloire luy at¬	Dieu tout honneur et gloire luy at¬
tribuant tout bien/ salut ⁊ uie/ reie	tribuant tout bien/ salut et vie/ reje¬
ctant tout autre ayde ⁊ confiance/	ctant tout autre ayde et confiance/
dement de Dieu ne contient.	dement de Dieu ne contient.
¶ De la chair ⁊ uieil homme.	¶ De la chair et vieil homme.
Chapitre.uiii.	Chapitre.viii.
C	C¬
adire tout homme/ qui de	a dire tout homme/ qui de
soymesme est serf ⁊ captif	soymesme est serf et captif
de peche/ ⁊ tout ce qͥl desi¬	de peche/ et tout ce qu’il desi¬
re/ ueult/ entend/ scait/ cõgnoit/ iu¬	re/ veult/ entend/ scait/ congnoit/ ju¬
uolunte/ sagesse/ prudence/ iuge¬	volunte/ sagesse/ prudence/ juge¬
ment/ est oeuure charnelle.	ment/ est oeuvre charnelle.
Et laffection de la chair ⁊ laffe¬	Et l’affection de la chair et l’affe¬
ction de peche sõt une mesme chose.	ction de peche sont une mesme chose.
mort: car leur fruict nest q̃ hayne/	mort: car leur fruict n’est que hayne/
meurtre/ ẽuie/ paillardise/ larrecin/	meurtre/ envie/ paillardise/ larrecin/
heresie/ idolatrie/ blaspheme/ ꝑuer¬	heresie/ idolatrie/ blaspheme/ perver¬
ses pensees ⁊ cogitations: bref/ con	ses pensees et cogitations: bref/ con¬
Et maintenant uient tout clai¬	Et maintenant vient tout clai¬
rement contre la parolle de Dieu	rement contre la parolle de Dieu
laccusant de iniustice/ dautant quil	l’accusant de injustice/ d’autant qu’il
ne faict pas selon le uouloir/ esti¬	ne faict pas selon le vouloir/ esti¬
Il ny a point de Dieu/ il ny a poĩt	Il n’y a point de Dieu/ il n’y a point
de iustice en hault/ Dieu na point	de justice en hault/ Dieu n’a point
desgard ne de cure des choses de ca	d’esgard ne de cure des choses de ca¬
bas: ⁊ semblables blasphemes con¬	bas: et semblables blasphemes con¬
sortent ⁊ uiennẽt de la chair. Et	sortent et viennent de la chair. Et
par autre maniere soy cõtrefaisant	par autre maniere soy contrefaisant
par simulatiõ feincte/ ⁊ sẽble auoir	par simulation feincte/ et semble avoir
le zele de Dieu ⁊ desir de sõ hõneur	le zele de Dieu et desir de son honneur
son sainct nom/ ⁊ qͥl soit seruy plus	son sainct nom/ et qu’il soit servy plus
sainctement ⁊ en plus grande reue	sainctement et en plus grande reve¬
rẽce. Parquoy ont cõtrouue nou	rence. Parquoy ont controuve nou¬
uelles manieres de faire hors de la	velles manieres de faire hors de la
reigles ⁊ institutiõs/ simulãt/ fein¬	reigles et institutions/ simulant/ fein¬
gnant/ ⁊ mentant en toute saincte¬	gnant/ et mentant en toute saincte¬
te ⁊ lamour de Dieu. Et pourtant	te et l’amour de Dieu. Et pourtant
ne fault estre legier a suyure ce qui	ne fault estre legier a suyvre ce qui
uiẽt de nostre coeur cõme dautruy:	vient de nostre coeur comme d’autruy:
mais fault prouuer diligẽmẽt quel	mais fault prouver diligemment quel
esperit cest. Car ainsi que lange des	esperit c’est. Car ainsi que l’ange des
tenebres se transfigure en ange de	tenebres se transfigure en ange de
sus tout la prudence de la chair.	sus tout la prudence de la chair.
Il fault donc prouuer par la sain¬	Il fault donc prouver par la sain¬
cte parolle de Dieu/ ⁊ diligemmẽt	cte parolle de Dieu/ et diligemment
examiner toutes motions/ toꝰ pro¬	examiner toutes motions/ tous pro¬
esperit cest qui les suggere: sil est de	esperit c’est qui les suggere: s’il est de
Dieu/ ou de la chair. Quon regar¬	Dieu/ ou de la chair. Qu’on regar¬
de la bõne intẽtion de Pierre/ pour	de la bonne intention de Pierre/ pour
laquelle il a este nõme Satan/ celle	laquelle il a este nomme Satan/ celle
ont uoulu faire le seruice de Dieu	ont voulu faire le service de Dieu
aux haultz lieux/ et par les boys/	aux haultz lieux/ et par les boys/
cõme auoient faict les patriarches	comme avoient faict les patriarches
par auãt/ cõment ilz sont repris de	par avant/ comment ilz sont repris de
de chair/ laquelle cõment quil soit	de chair/ laquelle comment qu’il soit
ueult auoir la seigneurie et domi¬	veult avoir la seigneurie et domi¬
