¶ Noelz nouueaulx.	¶ Noelz nouveaulx.
¶ Louenge en soit/ a un seul Dieu:	¶ Louenge en soit/ a un seul Dieu:
Auquel on doibt gloire ⁊ honneur:	Auquel on doibt gloire et honneur:
Car il est des seigneurs: seigneur.	Car il est des seigneurs: seigneur.
Par la parolle de Iesus:	Par la parolle de Jesus:
Car toute creature ment/	Car toute creature ment/
¶ Autre noel nouueau sur le chant	¶ Autre noel nouveau sur le chant
A	A¬
Me doulcette/ esueille toy/	Me doulcette/ esveille toy/
Dun coeur gaillard/ sans nul esmoy:	D’un coeur gaillard/ sans nul esmoy:
Le doulx aigneau/	Le doulx aigneau/
Et chante nau:	Et chante nau:
Chante le noel que tu uoys.	Chante le noel que tu voys.
De mes pechez en ta fureur/	De mes pechez en ta fureur/
Ne contre moy rigueur tenir:	Ne contre moy rigueur tenir:
Malade suis/	Malade suis/
Sans uous mõ roy Emmanuel	Sans vous mon roy Emmanuel
Au nom duquel/ chante noel.	Au nom duquel/ chante noel.
Par Satan/ ⁊ par ses assaux.	Par Satan/ et par ses assaux.
Et allegement de mes maulx:	Et allegement de mes maulx:
Iusques a quand?	Jusques a quand?
Deliure moy diniquite/	Delivre moy d’iniquite/
¶ Hors de peche retire moy/	¶ Hors de peche retire moy/
Auquel long temps iay dormy mort:	Auquel long temps j’ay dormy mort:
Dedãs mõ coeur/ qui picque ⁊ mort:	Dedans mon coeur/ qui picque et mort:
Filz de Noel/	Filz de Noel/
Aye de moy le souuenir/	Aye de moy le souvenir/
¶ Iay trauaille/ ⁊ faict grands pleurs	¶ J’ay travaille/ et faict grands pleurs
En gemissant/ pour mes douleurs/	En gemissant/ pour mes douleurs/
Pour mon peche: pour mon delict/	Pour mon peche: pour mon delict/
Entre ennemys/	Entre ennemys/
Uiens donc seigneur/ uiens ⁊ accours.	Viens donc seigneur/ viens et accours.
¶ Fuys ten de moy maudict Satan/	¶ Fuys t’en de moy maudict Satan/
Ie ueulx seruir mon Dieu cest an	Je veulx servir mon Dieu c’est an
Sans uarier/	Sans varier/
Ne sans changer/	Ne sans changer/
Et mon souspir: de coeur sans son.	Et mon souspir: de coeur sans son.
A Iesus Christ: Noel en coeur	A Jesus Christ: Noel en coeur
Le doulx Iesus/ est nay pour nous:	Le doulx Jesus/ est nay pour nous:
Noel chantons/	Noel chantons/
Requerõs pardõs de noz maulx/	Requerons pardons de noz maulx/
Et nous serons faictz tous nouueaux.	Et nous serons faictz tous nouveaux.
Uiuray ie tousiours en soucy/	Vivray je tousjours en soucy/
C	C¬
Hantons noel/ noel/ noel	Hantons noel/ noel/ noel
Laquelle lange Gabriel	Laquelle l’ange Gabriel
Entends a moy/	Entends a moy/
Car le hault roy/	Car le hault roy/
Ueut habiter/	Veut habiter/
En toy un corps.	En toy un corps.
¶ La uierge dit: Ambassadeur	¶ La vierge dit: Ambassadeur
Lange respond: Le hault seigneur	L’ange respond: Le hault seigneur
Ten obumbrant/	T’en obumbrant/
Auras enfant/	Auras enfant/
Emmanuel/	Emmanuel/
Qui me la dit.	Qui me l’a dit.
¶ Il est le uray Athanatos/	¶ Il est le vray Athanatos/
Iehouah/ Ia/ ⁊ Theos	Jehouah/ Ja/ et Theos
Tout ce quil ueut	Tout ce qu’il veut
Faire le poeut:	Faire le poeut:
De coeur parfaict	De coeur parfaict
Car Dieu dit la.	Car Dieu dit la.
¶ La saincte uierge souspiroit	¶ La saincte vierge souspiroit
Du seigneur Dieu/ lequel pourroit	Du seigneur Dieu/ lequel pourroit
A luy me rends/	A luy me rends/
Et si lattends/	Et si l’attends/
Plein de tout bien/	Plein de tout bien/
Ainsi le croy.	Ainsi le croy.
¶ Alors le sainct esprit forma	¶ Alors le sainct esprit forma
Mais sans peche/ qui la forme a	Mais sans peche/ qui la forme a
Cest Iesus Christ/	C’est Jesus Christ/
Duquel escrit/	Duquel escrit/
Quil est sauueur/	Qu’il est sauveur/
Chantons Noel.	Chantons Noel.
¶ Nous auons bien occasion	¶ Nous avons bien occasion
Noel: Car par sa passion	Noel: Car par sa passion
En son pur sang/	En son pur sang/
Qui est lestang/	Qui est l’estang/
Son filz eleu/	Son filz eleu/
Uerbe abbrege.	Verbe abbrege.
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
C	C¬
Le filz de Dieu: nostre sauueur	Le filz de Dieu: nostre sauveur
Nostre aduocat/ ⁊ protecteur	Nostre advocat/ et protecteur
¶ Adam nous auoit mis en peine	¶ Adam nous avoit mis en peine
Mais Iesus Christ nostre seigneur	Mais Jesus Christ nostre seigneur
Noꝰ uoeut sauuer ꝑ foy certaine.	Nous voeut sauver par foy certaine.
Fille a Dauid/ le roy dhonneur:	Fille a David/ le roy d’honneur:
Demandõs luy la bõne estraine.	Demandons luy la bonne estraine.
¶ Allons par foy a son domaine/	¶ Allons par foy a son domaine/
Il est nostre souuerain pasteur/	Il est nostre souverain pasteur/
¶ Allons apres le porte enseigne:	¶ Allons apres le porte enseigne:
Laissons lhõme qui est menteur/	Laissons l’homme qui est menteur/
Car luy seul uerite enseigne.	Car luy seul verite enseigne.
Uiens ten a moy/ paoure pecheur	Viens t’en a moy/ paovre pecheur
Et ie te seray soullageur:	Et je te seray soullageur:
¶ Chantons noel toute sepmaine	¶ Chantons noel toute sepmaine
Et Thomin la contreteneur/	Et Thomin la contreteneur/
Uoila cõment le chãt se maine.	Voila comment le chant se maine.
Car chascun doibt estre enseigneur	Car chascun doibt estre enseigneur
Annõceons donc/ ceste gesine.	Annonceons donc/ ceste gesine.
¶ Par grace en foy sans faire mine	¶ Par grace en foy sans faire mine
Tous les pecheurs/ contrictz en coeur:	Tous les pecheurs/ contrictz en coeur:
¶ Autre Noel nouueau sur le chãt	¶ Autre Noel nouveau sur le chant
Na tu point ueu la Peronnelle.	N’a tu point veu la Peronnelle.
Hantons noel du filz Marie/	Hantons noel du filz Marie/
Elle nen sera point marrie:	Elle n’en sera point marrie:
Chantons noel/ noel/ noel.	Chantons noel/ noel/ noel.
Qui tousiours fit son mandement:	Qui tousjours fit son mandement:
Seruons a son filz seulement.	Servons a son filz seulement.
¶ Il la remply de toute grace/	¶ Il l’a remply de toute grace/
Retournõs nous deuers sa face/	Retournons nous devers sa face/
¶ Marie est temple ⁊ tabernacle/	¶ Marie est temple et tabernacle/
Auquel Iesus Christ reposa:	Auquel Jesus Christ reposa:
Sainsi par foy croyons cela.	S’ainsi par foy croyons cela.
Qui ayme Dieu/ de meilleur coeur:	Qui ayme Dieu/ de meilleur coeur:
Qui en dit mal/ ou la diffame/	Qui en dit mal/ ou la diffame/
¶ Ton redempteur/ O bien heures	¶ Ton redempteur/ O bien heures
Mais uierge tu es demouree/	Mais vierge tu es demouree/
Neuf moys en ton corps le portas.	Neuf moys en ton corps le portas.
Ie dis en contemplation/	Je dis en contemplation/
Comme fille delection.	Comme fille d’election.
¶ Dame haulte plus que Cypres/	¶ Dame haulte plus que Cypres/
Nous lattendons aussi apres/	Nous l’attendons aussi apres/
¶ Nous chanterõs rendantz louenge	¶ Nous chanterons rendantz louenge
A un seul Christ Noel Noel/	A un seul Christ Noel Noel/
Qui fut iamais Emmanuel.	Qui fut jamais Emmanuel.
Par foy en luy nostre ame est pure	Par foy en luy nostre ame est pure
De chanter chascun soit ialoux	De chanter chascun soit jaloux
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
C	C¬
Hantons ie uous en prie	Hantons je vous en prie
De Christ filz de Marie	De Christ filz de Marie
Chantons Noel Noel/	Chantons Noel Noel/
Pour le roy eternel/	Pour le roy eternel/
Nous a donne liesse/	Nous a donne liesse/
¶ Marie sans tristesse	¶ Marie sans tristesse
Enfanta Iesus Christ:	Enfanta Jesus Christ:
Ou grand froid il souffrit:	Ou grand froid il souffrit:
Et noz debtes payer:	Et noz debtes payer:
Croyez pour uray cela/	Croyez pour vray cela/
Aux pasteurs ne cela.	Aux pasteurs ne cela.
Uoyez le cõmun lieu	Voyez le commun lieu
Cest ung paoure habitacle	C’est ung paovre habitacle
Dages y sont uenuz	D’ages y sont venuz
Pour adorer lenfant	Pour adorer l’enfant
Dor/ dencens/ ⁊ de myrrhe.	D’or/ d’encens/ et de myrrhe.
¶ Toy chrestien admire	¶ Toy chrestien admire
Regarde bien ⁊ mire	Regarde bien et mire
La grande humilite	La grande humilite
Doubz luy humilie toy/	Doubz luy humilie toy/
Car nostre chair a prinse	Car nostre chair a prinse
Par amour/ non par don.	Par amour/ non par don.
En uoz cõmuns propos	En voz communs propos
Quand estes a repos	Quand estes a repos
Que de nostre seigneur	Que de nostre seigneur
Il sera auec uous	Il sera avec vous
Croyons cela trestous.	Croyons cela trestous.
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
Ma dame qui le gardez tant.	Ma dame qui le gardez tant.
Hantons noel noel noel/	Hantons noel noel noel/
Tous chrestiens fidelement/	Tous chrestiens fidelement/
Qui fut faict nostre sauuement	Qui fut faict nostre sauvement
A prins pour nous humanite:	A prins pour nous humanite:
De laquelle tant humblement	De laquelle tant humblement
¶ Pour le peche que Adam cõmist	¶ Pour le peche que Adam commist
Car entre nous ⁊ Dieu/ il mist	Car entre nous et Dieu/ il mist
Grand discord ⁊ dissention/	Grand discord et dissention/
Eurent Adam ⁊ ses enfantz/	Eurent Adam et ses enfantz/
Le monde plus de cinq mille ans.	Le monde plus de cinq mille ans.
¶ Misericorde ⁊ Uerite/	¶ Misericorde et Verite/
Cest Dieu qui par grand Charite/	C’est Dieu qui par grand Charite/
Et la deliberation	Et la deliberation
Fut faicte au ciel a Gabriel	Fut faicte au ciel a Gabriel
Le filz seroit hõme mortel.	Le filz seroit homme mortel.
De ce mystere sumptueux:	De ce mystere sumptueux:
Et a Marie en grand honneur	Et a Marie en grand honneur
Disant: Le filz du roy des cieulx	Disant: Le filz du roy des cieulx
Que de uostre sang gracieux	Que de vostre sang gracieux
Prẽdra corps mortel poͬ nous tous.	Prendra corps mortel pour nous tous.
Ceste parolle estre pourroit/	Ceste parolle estre pourroit/
Rauoit eu: ⁊ iamais nauroit/	Ravoit eu: et jamais n’auroit/
Mais que a Dieu la seruante estoit	Mais que a Dieu la servante estoit
Et puis que ainsi a Dieu plaisoit	Et puis que ainsi a Dieu plaisoit
¶ Par la uertu du sainct esprit/	¶ Par la vertu du sainct esprit/
A ce mot de credulite	A ce mot de credulite
La uierge en son integrite:	La vierge en son integrite:
En Bethleem trespurement/	En Bethleem tres purement/
Sans corrumpre uirginite/	Sans corrumpre virginite/
¶ Au naistre de ce nouueau roy/	¶ Au naistre de ce nouveau roy/
Lestoille luyst: en bel arroy/	L’estoille luyst: en bel arroy/
Les sages sont uenuz ioyeux:	Les sages sont venuz joyeux:
Ont faict: en annõceant la paix/	Ont faict: en annonceant la paix/
Ce quon nauoit ouy iamais.	Ce qu’on n’avoit ouy jamais.
¶ Les sages tresparfaictz en sens	¶ Les sages tres parfaictz en sens
En apportant/ or/ myrrhe/ encens/	En apportant/ or/ myrrhe/ encens/
Et les pasteurs uenuz au lieu/	Et les pasteurs venuz au lieu/
En la cresche lont trouue mis/	En la cresche l’ont trouve mis/
Notez bien cela mes amys.	Notez bien cela mes amys.
En leurs pays ioyeusement:	En leurs pays joyeusement:
A herodes ne sont allez/	A herodes ne sont allez/
Et les pasteurs ont dit cõment	Et les pasteurs ont dit comment
On sesbahist du preschement/	On s’esbahist du preschement/
Et en est on tout estonne.	Et en est on tout estonne.
De tout le monde plasmateur:	De tout le monde plasmateur:
Lequel seul est mediateur/	Lequel seul est mediateur/
Faictz nous pardon: Cest le sauueur	Faictz nous pardon: C’est le sauveur
Au nom duquel chantons de coeur	Au nom duquel chantons de coeur
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
O paoure tresorier.	O paovre tresorier.
Hantons noel noel	Hantons noel noel
Le sainct ⁊ iuste ⁊ bel/	Le sainct et juste et bel/
Congnoissant sa souffrance/	Congnoissant sa souffrance/
Desiroit ce beau iour/	Desiroit ce beau jour/
Chantons nau sans seiour.	Chantons nau sans sejour.
¶ Quand Marie enfanta	¶ Quand Marie enfanta
Presens on luy porta:	Presens on luy porta:
Pour tout affaire:	Pour tout affaire:
Il demande ung coeur net/	Il demande ung coeur net/
Robin chanter naulet.	Robin chanter naulet.
Faictes chantz armoniques/	Faictes chantz armoniques/
Non pas cõme ung cagot:	Non pas comme ung cagot:
Et angeliques:	Et angeliques:
Motz ueridiques/	Motz veridiques/
Sans luy tout est damne.	Sans luy tout est damne.
De coeur/ de uoix/ ⁊ dame/	De coeur/ de voix/ et dame/
De luy: car cest blaspheme	De luy: car c’est blaspheme
Dire que femme	Dire que femme
Cil est infame	Cil est infame
¶ Quel sainct est mort pour nous?	¶ Quel sainct est mort pour nous?
Tout homme est au deluge	Tout homme est au deluge
Damne sera du iuge/	Damne sera du juge/
Sera tout temps ⁊ lieux/	Sera tout temps et lieux/
Et ton confuge/	Et ton confuge/
¶ Quand donc tu as pardon	¶ Quand donc tu as pardon
Cest par la passion	C’est par la passion
De Iesus Christ ton frere/	De Jesus Christ ton frere/
Duquel prouient salut:	Duquel provient salut:
Pour nous nul ne ualut.	Pour nous nul ne valut.
¶ Noel sur le chãt faulte dargẽt ⁊c.	¶ Noel sur le chant faulte d’argent etc.
Aulte de foy cest erreͬ nõ pareille/	Aulte de foy c’est erreur non pareille/
Car qui na foy/ iamais nest a requoy	Car qui n’a foy/ jamais n’est a requoy
De sõ esprit dõt poĩt ne mesmerueille.	De son esprit dont point ne m’esmerveille.
Et si ne poeut iamais rien meriter/	Et si ne poeut jamais rien meriter/
Le doulx Iesus/ qͥ les pecheurs dessie.	Le doulx Jesus/ qui les pecheurs dessie.
¶ Si le seigneur la maison ne edifie/	¶ Si le seigneur la maison ne edifie/
Perdent leurs tẽps ⁊ labeurẽt en uain/	Perdent leurs temps et labeurent en vain/
¶ Aussi celuy qui na de dieu la grace/	¶ Aussi celuy qui n’a de dieu la grace/
Labeure en uain/ car ꝑ nul de ses fais	Labeure en vain/ car par nul de ses fais
Pour gloire auoir ⁊ cõtempler sa face.	Pour gloire avoir et contempler sa face.
Pour auoir part auec le roy des roys?	Pour avoir part avec le roy des roys?
Chantõs noel/ noel par doulx arroys/	Chantons noel/ noel par doulx arroys/
¶ Par la uertu de sa saincte euangile/	¶ Par la vertu de sa saincte evangile/
Et en croyãt a Iesus nostre espoux/	Et en croyant a Jesus nostre espoux/
De ce chantons noel par chãps ⁊ uile.	De ce chantons noel par champs et vile.
Lautre iour iouer malloye	L’autre jour jouer m’alloye
C	C¬
hantons noel tous en grãd ioye/	hantons noel tous en grand joye/
Cest uerite/ la uie/ ⁊ uoye:	C’est verite/ la vie/ et voye:
Il est notoire.	Il est notoire.
Chantons Noel	Chantons Noel
¶ Tu es uray dieu/ aussi uray hõme/	¶ Tu es vray dieu/ aussi vray homme/
Pour nous sauuer pour toute somme/	Pour nous sauver pour toute somme/
Par toy pardon nous est rendu/	Par toy pardon nous est rendu/
Iesus sauueur	Jesus sauveur
¶ Tu as este mis en la cresche	¶ Tu as este mis en la cresche
Et uisite/ des pastoureaux	Et visite/ des pastoureaux
Qui sont uenuz sur grãdz chameaux	Qui sont venuz sur grandz chameaux
A toy seigneur	A toy seigneur
De mes pechez pardon demande.	De mes pechez pardon demande.
Entre pecheurs/ la circoncis	Entre pecheurs/ la circoncis
Quen nous peche/ doibt estre occis:	Qu’en nous peche/ doibt estre occis:
Cest chose seure/	C’est chose seure/
Fault il que pour nous tous tu meure.	Fault il que pour nous tous tu meure.
Pour retourner/ en leurs pays.	Pour retourner/ en leurs pays.
Herode a faict/ maĩtz grãdz outrages:	Herode a faict/ maintz grandz outrages:
Quel satellite?	Quel satellite?
Tu fus porte droit en Egypte.	Tu fus porte droit en Egypte.
¶ Douze ans apres ta naissance	¶ Douze ans apres ta naissance
Lesquelz sont de ta sapience	Lesquelz sont de ta sapience
Car ta doctrine/	Car ta doctrine/
Uray filz de dieu	Vray filz de dieu
¶ Trente troys ans/ auoys en eage	¶ Trente troys ans/ avoys en eage
Pour sauuer tout lhumain lignage	Pour sauver tout l’humain lignage
Croyant la resurrection:	Croyant la resurrection:
Mais maintenant	Mais maintenant
¶ De la tu doibs uenir au monde	¶ De la tu doibs venir au monde
Pour les mortz ⁊ les uifz iuger	Pour les mortz et les vifz juger
En quoy tu ueux les tiens sauuer:	En quoy tu veux les tiens sauver:
Mon aduocat	Mon advocat
Au iugement/ soys moy propice.	Au jugement/ soys moy propice.
Si ton sermon est entendu:	Si ton sermon est entendu:
Que paradis nous soit uendu:	Que paradis nous soit vendu:
Mais quon le baille	Mais qu’on le baille
Sans en payer denier ny maille.	Sans en payer denier ny maille.
uueillez nous pardõner. ¶ Et sur le	vueillez nous pardonner. ¶ Et sur le
chãt Helas q̃ uous a faict mõ coeur.	chant Helas que vous a faict mon coeur.
Esueillez uous gẽtilz pasteurs	Esveillez vous gentilz pasteurs
Femmes/ enfantz/ ⁊ seruiteurs/	Femmes/ enfantz/ et serviteurs/
Fairez chanter pareillement:	Fairez chanter pareillement:
Uous chanterez:	Vous chanterez:
Il est escript/ Ainsi direz	Il est escript/ Ainsi direz
¶ Nostre pere qui es es cieulx	¶ Nostre pere qui es es cieulx
Et ton royaume precieux	Et ton royaume precieux
Pere tressainct/ pere tresbon/	Pere tres sainct/ pere tres bon/
Nous tes enfantz	Nous tes enfantz
Tu las promis aux urays croyantz.	Tu l’as promis aux vrays croyantz.
En la terre/ cõme est au ciel:	En la terre/ comme est au ciel:
Et nostre pain cottidien	Et nostre pain cottidien
Aussi le pain spirituel/	Aussi le pain spirituel/
En Christ ton filz coeternel/	En Christ ton filz coeternel/
Lors suis mangeãt/ quand ie le croy.	Lors suis mangeant/ quand je le croy.
Ainsi que nous les pardonnons	Ainsi que nous les pardonnons
En Iesus Christ lexemple auons/	En Jesus Christ l’exemple avons/
Pardonnant aux iuifz felons:	Pardonnant aux juifz felons:
De toy tout seul grace attendons/	De toy tout seul grace attendons/
¶ Nostre seigneur ne nous induitz	¶ Nostre seigneur ne nous induitz
Nulle fois en tentation/	Nulle fois en tentation/
Oste nous de seduction/	Oste nous de seduction/
Deliure nous/	Delivre nous/
Ou nous irions sans fiction	Ou nous irions sans fiction
¶ Pour nous deliurer de cela/	¶ Pour nous delivrer de cela/
En temps certain se reuela	En temps certain se revela
Nostre sauueur ⁊ nostre espoux/	Nostre sauveur et nostre espoux/
Le doulx aigneau/	Le doulx aigneau/
Pour nous sauuer/ Or chantõs nau.	Pour nous sauver/ Or chantons nau.
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
au monde ⁊c.	au monde etc.
Ous les pasteͬs qͥ regẽtez le mõde	Ous les pasteurs qui regentez le monde
Regardez biẽ/ en q̃l chemin ⁊ uoye	Regardez bien/ en quel chemin et voye
Les abreuuez/ rien nest q̃ dieu ne uoye.	Les abreuvez/ rien n’est que dieu ne voye.
Des saĩctz escriptz/ gardez uoꝰ biẽ quõ	Des sainctz escriptz/ gardez vous bien qu’on
(ne oye	ne oye
Tous uoz ꝓpos serõt en saincte ioye.	Tous voz propos seront en saincte joye.
Et delaissez de uoz chãtz prẽdre proye:	Et delaissez de voz chantz prendre proye:
Gardez uous biẽ q̃ le loup ne cõfonde	Gardez vous bien que le loup ne confonde
¶ Aucuns de uous ont relaxe la bõde	¶ Aucuns de vous ont relaxe la bonde
Car tout le mal/ qui au brebis abonde	Car tout le mal/ qui au brebis abonde
Souuẽt prouiẽt/ du pasteur qͥ desuoye.	Souvent provient/ du pasteur qui desvoye.
Faict ẽdormir Argus soubz la soulsoye	Faict endormir Argus soubz la soulsoye
Le met a mort/ on a biẽ froit soubz saye	Le met a mort/ on a bien froit soubz saye
¶ Paourespasteͬs/ uoici ou ie me fõde	¶ Paovres pasteurs/ voici ou je me fonde
De luy tout biẽ ⁊ tout hõneur redõde:	De luy tout bien et tout honneur redonde:
¶ Autre Noel sur le chãt de lhymne:	¶ Autre Noel sur le chant de l’hymne:
Uerbum supernum prodiens.	Verbum supernum prodiens.
Erbe diuin/ uerbe eternel/	Erbe divin/ verbe eternel/
A ton honneur chantons Noel	A ton honneur chantons Noel
Ioyeusement ⁊ soir ⁊ mains.	Joyeusement et soir et mains.
Tu es lillumination/	Tu es l’illumination/
A toute gent ⁊ nation.	A toute gent et nation.
¶ Aussi tu es le protecteur/	¶ Aussi tu es le protecteur/
Pour soustenir ton seruiteur/	Pour soustenir ton serviteur/
¶ Quand gens peruers de rage pleins	¶ Quand gens pervers de rage pleins
Uiendront cuydantz me despecher/	Viendront cuydantz me despecher/
Deuotement secours cercher.	Devotement secours cercher.
Mes ennemys/ ⁊ sans pouoir	Mes ennemys/ et sans povoir
Ie ne crains leurs subtilitez/	Je ne crains leurs subtilitez/
¶ Si leurs chasteaulx sont cõtre moy/	¶ Si leurs chasteaulx sont contre moy/
Ie nen prendray/ soucy nesmoy:	Je n’en prendray/ soucy nesmoy:
Car ie suis ta plantation.	Car je suis ta plantation.
Contre moy par mes ennemys/	Contre moy par mes ennemys/
Quand iay mon espoir en toy mis.	Quand j’ay mon espoir en toy mis.
¶ Iay demande a mon seigneur	¶ J’ay demande a mon seigneur
Cest quil me doint maison dhonneur/	C’est qu’il me doint maison d’honneur/
¶ Or faict en soit son sainct uouloir/	¶ Or faict en soit son sainct vouloir/
Non point le mien/ qui ne uault rien/	Non point le mien/ qui ne vault rien/
Chose qui soit/ ie lentends bien.	Chose qui soit/ je l’entends bien.
Uoyla quon doibt croyre ⁊ chanter/	Voyla qu’on doibt croyre et chanter/
Non point sans foy cõme ung bigot/	Non point sans foy comme ung bigot/
¶ Autre Noel nouueau sur le chant	¶ Autre Noel nouveau sur le chant
A lore dune saulsoye.	A l’ore d’une saulsoye.
I	J¬
A lore dune saulsoye/	A l’ore d’une saulsoye/
Uers Bethleem prendre uoye/	Vers Bethleem prendre voye/
Et la uerras (beny soye)	Et la verras (beny soye)
Il uient pour te mettre en ioye/	Il vient pour te mettre en joye/
¶ Alors prins mon palletot/	¶ Alors prins mon palletot/
Et Taupin le chien quauoye/	Et Taupin le chien qu’avoye/
La chanson que ouy iauoye/	La chanson que ouy j’avoye/
Lon temps lay demene:	Lon temps l’ay demene:
Car souuent ie repetoye	Car souvent je repetoye
¶ Raison pourquoy? laignelot	¶ Raison pourquoy? l’aignelot
A Satan ⁊ Astaroth:	A Satan et Astaroth:
Par laigneau/ Christ ientendoye/	Par l’aigneau/ Christ j’entendoye/
Sauue/ cõme est ordonne:	Sauve/ comme est ordonne:
Ie ne crains destre damne.	Je ne crains destre damne.
¶ Adonc suruint ung cagot/	¶ Adonc survint ung cagot/
Tu auras (dist) ung fagot	Tu auras (dist) ung fagot
Si tu as force monnoye/	Si tu as force monnoye/
Fais quil soit a moy donne/	Fais qu’il soit a moy donne/
Ne crains point destre damne.	Ne crains point destre damne.
Sur le chief/ cõme uouloye:	Sur le chief/ comme vouloye:
Disant/ maistre coquenot	Disant/ maistre coquenot
En uain Christ sauueur auroye/	En vain Christ sauveur auroye/
Finalement luy disoye	Finalement luy disoye
Ie ne crains destre damne.	Je ne crains destre damne.
Dieu gard de mon coeur la tresgẽte	Dieu gard de mon coeur la tres gente
M	M¬
Oderateur/ qui tout regente	Oderateur/ qui tout regente
Lhõme nest que chair pestilente/	L’homme n’est que chair pestilente/
Nest ce point donc grand deshõneur/	N’est ce point donc grand deshonneur/
Glorifier telle uermine?	Glorifier telle vermine?
Et ton aureille a moy encline.	Et ton aureille a moy encline.
Et confessons par uiue foy/	Et confessons par vive foy/
Et lexprimons en toute place/	Et l’exprimons en toute place/
A toy honneur faict le charroy	A toy honneur faict le charroy
Disant Sainct/ sainct/ saĩct par arroy/	Disant Sainct/ sainct/ sainct par arroy/
Et par motez pleins daccordances.	Et par motez pleins d’accordances.
Que terre ⁊ cieulx/ sont de toy pleins/	Que terre et cieulx/ sont de toy pleins/
Redonde par montz ⁊ par plains/	Redonde par montz et par plains/
De ton hault ciel/ oys noz complains/	De ton hault ciel/ oys noz complains/
A toy nous esseuons noz mains/	A toy nous essevons noz mains/
¶ La glorieuse compaignie	¶ La glorieuse compaignie
Des apostres/ a grand desir	Des apostres/ a grand desir
Les prophetes prendront plaisir/	Les prophetes prendront plaisir/
Et tous les sainctz de ton eglise/	Et tous les sainctz de ton eglise/
Lesquelz tont uoulu seul choisir/	Lesquelz t’ont voulu seul choisir/
¶ Tu es le pere uenerable/	¶ Tu es le pere venerable/
Ton sainct filz/ le uerbe ineffable	Ton sainct filz/ le verbe ineffable
Nous a cy bas presche ton nom/	Nous a cy bas presche ton nom/
Ton sainct esprit nous le faict croyre/	Ton sainct esprit nous le faict croyre/
Aye de nous tousiours memoire.	Aye de nous tousiours memoire.
¶ O Iesus Christ auquel ie crye/	¶ O Jesus Christ auquel je crye/
De prendre chair dedans Marie	De prendre chair dedans Marie
Tu as prins lhabit dun pecheur/	Tu as prins l’habit d’un pecheur/
En demourant en innocence/	En demourant en innocence/
Par amour ⁊ obedience.	Par amour et obedience.
Par ta passion ⁊ ta mort/	Par ta passion et ta mort/
Troys iours apres te manifeste	Troys jours apres te manifeste
Satan tu uainqs ⁊ son renfort/	Satan tu vainqs et son renfort/
Ce nous doibt estre reconfort	Ce nous doibt estre reconfort
