¶ Chansons nouuelles	¶ Chansons nouvelles
Et pour grace ordonne/	Et pour grace ordonne/
A tout chrestien fidelle:	A tout chrestien fidelle:
Par luy est condamne	Par luy est condamne
Tout homme obstine/	Tout homme obstine/
¶ Luy mesme ma presche/	¶ Luy mesme m’a presche/
Et par moy a pesche/	Et par moy a pesche/
Maintz pecheurs infirmes/	Maintz pecheurs infirmes/
Enfer/ satan/ peche/	Enfer/ satan/ peche/
Ceulx qui en moy sont fermes.	Ceulx qui en moy sont fermes.
¶ Et quand au ciel monta/	¶ Et quand au ciel monta/
Au monde me laissa/	Au monde me laissa/
Pour ceulx qui deuoyent croyre/	Pour ceulx qui devoyent croyre/
Que a tous on me prescha/	Que a tous on me prescha/
Parmy tout territoire.	Parmy tout territoire.
¶ Puis mont presche ainsi	¶ Puis m’ont presche ainsi
Ses disciples/ qui aussi	Ses disciples/ qui aussi
Tesmoĩgne tout cecy/	Tesmoingne tout cecy/
Par quelz escriptz icy	Par quelz escriptz icy
En moy prens ta pasture.	En moy prens ta pasture.
¶ Et pour le dernier poinct/	¶ Et pour le dernier poinct/
En moy/ sa conscience	En moy/ sa conscience
Le uers tousiours le point/	Le vers tousjours le point/
Et feu qui pas nestaint/	Et feu qui pas n’estaint/
Par diuine sentence.	Par divine sentence.
desesperee ⁊ enragee/ uoyant ap¬	desesperee et enragee/ voyant ap¬
procher sa fin ⁊ horrible ruyne. Sur le chãt:	procher sa fin et horrible ruyne. Sur le chant:
Cest a grãt tort que moy paourette endure.	C’est a grant tort que moy paovrette endure.
C	C¬
Et que ie soye/ pour si bonne tenue/	Et que je soye/ pour si bonne tenue/
Plus faulse chose ny a dessoubz la nue:	Plus faulse chose n’y a dessoubz la nue:
Plus endurer on ne ueult telle ordure.	Plus endurer on ne veult telle ordure.
¶ Iay trop dure/ il est tẽps que ie meure/	¶ J’ay trop dure/ il est temps que je meure/
Cõme mõnoye faulse lon me descrye/	Comme monnoye faulse l’on me descrye/
Don uoys tomber/ ie suis desia trop meure.	D’on voys tomber/ je suis desja trop meure.
¶ Cest le support q̃ iay de uous sainct pere/	¶ C’est le support que j’ay de vous sainct pere/
Ou sont uoz gẽs/ ou est uostre clergie/	Ou sont voz gens/ ou est vostre clergie/
Si mal me uient/ ce uous est uitupere.	Si mal me vient/ ce vous est vitupere.
¶ Ny a il droit/ ny a il escripture/	¶ N’y a il droit/ n’y a il escripture/
Par qui ie soye prouuee ⁊ maintenue:	Par qui je soye prouvee et maintenue:
Plus contredire ie ne puis toute nue	Plus contredire je ne puis toute nue
¶ Tous mes suppotz maintenez uostre messe/	¶ Tous mes suppotz maintenez vostre messe/
Qua uous se plaint biẽ dolente ⁊ marrie:	Qua vous se plaint bien dolente et marrie:
Uostre grand pance si long temps a nourrie/	Vostre grand pance si long temps a nourrie/
Uous la perdrez/ si ainsi lon me deschasse.	Vous la perdrez/ si ainsi l’on me deschasse.
Diuersitez de bestes insensees	Diversitez de bestes insensees
Et desguisees/ seront bien mal pensees:	Et desguisees/ seront bien mal pensees:
Car Uerite puissante me desfie.	Car Verite puissante me desfie.
¶ Toꝰ mes chasteaulx/ prieurez/ autelz/ chapel	¶ Tous mes chasteaulx/ prieurez/ autelz/ chapel¬
Mes triũphantes chãsons/ marchez/ ⁊ foyres/	Mes triumphantes chansons/ marchez/ et foyres/
Ruyner uoys/ puis que la mort mappelle.	Ruyner voys/ puis que la mort m’appelle.
¶ Mes champiõs mõstrez uostre uaillance/	¶ Mes champions monstrez vostre vaillance/
Si Uerite par droict/ ne pouez uaincre	Si Verite par droict/ ne povez vaincre
Bruslez/ noyez/ tuez en abondance.	Bruslez/ noyez/ tuez en abondance.
¶ A droit ou tort/ fault que cest euangile	¶ A droit ou tort/ fault que c’est evangile
Soit rue ius/ ou du tout suis perdue:	Soit rue jus/ ou du tout suis perdue:
Car plus heureuse seroye de estre pendue/	Car plus heureuse seroye de estre pendue/
¶ Par uostre effort/ si le pouez confondre	¶ Par vostre effort/ si le povez confondre
Plus uous feray riches q̃ fustes oncques:	Plus vous feray riches que fustes oncques:
Satan mõ pere uous maintiẽdra/ si dõcques	Satan mon pere vous maintiendra/ si doncques
Tous dung accord a ce uoulez entendre.	Tous d’ung accord a ce voulez entendre.
Non general/ mais secret en uoz salles/	Non general/ mais secret en voz salles/
Dans y admettre contraire aux Decretalles/	Dans y admettre contraire aux Decretalles/
Ou autrement ne uous seroit facile.	Ou autrement ne vous seroit facile.
¶ Autre chãson cõtenant une partie des dã¬	¶ Autre chanson contenant une partie des dan¬
Lantechrist/ qͥ ont usurpe le nom de p̃bstre.	L’antechrist/ qui ont usurpe le nom de prebstre.
O	O
Prebstres p̃bstres ouyez uostre chãson/	Prebstres prebstres ouyez vostre chanson/
En uoz matines chantez ceste lecon/	En voz matines chantez ceste lecon/
Contre dieu ⁊ raison/	Contre dieu et raison/
Uous serez desplantez/	Vous serez desplantez/
Plus nest uostre saison.	Plus n’est vostre saison.
¶ O p̃bstres pbres laissez ur̃e mestier/	¶ O prebstres prebstres laissez vostre mestier/
Aussi uostre coquille:	Aussi vostre coquille:
Trop auez marchande:	Trop avez marchande:
Prescher fault leuangile:	Prescher fault l’evangile:
Car dieu la cõmande.	Car dieu la commande.
Quãd faisiez croyre cest erreur ⁊ faulx	Quand faisiez croyre c’est erreur et faulx
(poinct	poinct
Quen ce petit armoyre	Qu’en ce petit armoyre
Iesus est en prison:	Jesus est en prison:
La boitte est sa maison.	La boitte est sa maison.
¶ O pbr̃es. p. uoz erreͬs sõt biẽ grãdz/	¶ O prebstres. p. voz erreurs sont bien grandz/
Que dieu se laisse mãger a telz galãdz	Que dieu se laisse manger a telz galandz
Aussi que entre uoz mains	Aussi que entre voz mains
Tant des dieux que des pains	Tant des dieux que des pains
Uous mangez tous les iours.	Vous mangez tous les jours.
¶ O p̃bstres pbr̃es lisez moy au p̃mier	¶ O prebstres prebstres lisez moy au premier
Saĩct Luc aux Actes/ ⁊ saĩct Marc au	Sainct Luc aux Actes/ et sainct Marc au
Iesus est a la dextre	Jesus est a la dextre
Du pere tout puissant/	Du pere tout puissant/
Ung iour doibt comparoistre	Ung jour doibt comparoistre
Iuge resplendissant.	Juge resplendissant.
Par la creance tout ainsi lentendõs/	Par la creance tout ainsi l’entendons/
Mais uous ne letendez	Mais vous ne l’etendez
Uostre cueur ny est pas:	Vostre cueur n’y est pas:
Car uous ne demandez	Car vous ne demandez
¶ O pbr̃es pbr̃es uostre erreur est p̃dit	¶ O prebstres prebstres vostre erreur est predit
Leuãgeliste saĩct Matthieu la escript/	L’evangeliste sainct Matthieu l’a escript/
Uous estes faulx prophetes	Vous estes faulx prophetes
Par oeuures ⁊ par dictz/	Par oeuvres et par dictz/
Uous nous auez seduictz.	Vous nous avez seduictz.
¶ O p̃bstres p̃bstres uostre cõfession/	¶ O prebstres prebstres vostre confession/
Uoz penitences ce nest quabusion/	Voz penitences ce n’est qu’abusion/
Uous estes dieux en terre/	Vous estes dieux en terre/
Pluye/ uent/ ⁊ tonnoirre	Pluye/ vent/ et tonnoirre
Dittes que gouuernez.	Dittes que gouvernez.
¶ O pbres pbr̃es ne demãdez plꝰ dõs/	¶ O prebstres prebstres ne demandez plus dons/
Pain/ uin/ chãdelles/ laissez tous ces	Pain/ vin/ chandelles/ laissez tous ces
Car uostre purgatoire	Car vostre purgatoire
La bourse a trop purge/	La bourse a trop purge/
Iesus est nostre gloire/	Jesus est nostre gloire/
Qui nous a soulage.	Qui nous a soulage.
Dieu le cõmãde/ ou il uoꝰ fault p̃scher	Dieu le commande/ ou il vous fault prescher
Purement sa parolle/	Purement sa parolle/
Sans y rien adiouster:	Sans y rien adjouster:
Car elle paist ⁊ saoule	Car elle paist et saoule
¶ O pbr̃es pbr̃es il uoꝰ fault marier/	¶ O prebstres prebstres il vous fault marier/
Et uoz cõmeres du tout fault oublier:	Et voz commeres du tout fault oublier:
Nestes uous pas infames	N’estes vous pas infames
Dauoir uescu ainsi:	D’avoir vescu ainsi:
Fille/ chambriere aussi.	Fille/ chambriere aussi.
¶ O pbr̃es pbr̃es le tẽps est maintenãt	¶ O prebstres prebstres le temps est maintenant
Que ur̃e pape cest antechrist meschãt/	Que vostre pape c’est antechrist meschant/
Et toute sa uermine/	Et toute sa vermine/
Destre mis en ruyne	D’estre mis en ruyne
Par le glaiue de dieu.	Par le glaive de dieu.
¶ Autre chanson pour la cõuersion des	¶ Autre chanson pour la conversion des
paoures papistes ignorãtz qui ont bon	paovres papistes ignorantz qui ont bon
dre la uerite de leuãgile: car des autres	dre la verite de l’evangile: car des autres
papistes obstinez ⁊ blasphemateurs ny	papistes obstinez et blasphemateurs n’y
a point de esperance. Sur le chant:	a point de esperance. Sur le chant:
Dame dorleans ne plourez plus.	Dame d’orleans ne plourez plus.
Aoures papistes retournez uous	Aovres papistes retournez vous
A Iesus qui est mort pour nous.	A Jesus qui est mort pour nous.
¶ Paoures papistes debonnaire/	¶ Paovres papistes debonnaire/
Qui desirez a Iesus plaire/	Qui desirez a Jesus plaire/
Trop auez derreurs endure.	Trop avez d’erreurs endure.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez meschãtz cryer ⁊ braire:	¶ Laissez meschantz cryer et braire:
Car il est temps de uous retraire/	Car il est temps de vous retraire/
Nexcusez plus uostre peche.	N’excusez plus vostre peche.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez donc toute idolatrie/	¶ Laissez donc toute idolatrie/
Uenez a Iesus qui uous prie	Venez a Jesus qui vous prie
Les appellant par ses prescheurs.	Les appellant par ses prescheurs.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ce uain dieu de paste/	¶ Laissez moy ce vain dieu de paste/
Qui uoz biens corps ⁊ ames gaste/	Qui voz biens corps et ames gaste/
Ce dieu que uoyez deuorer.	Ce dieu que voyez devorer.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy lidole de Romme/	¶ Laissez moy l’idole de Romme/
Cest antechrist qui tout consomme/	C’est antechrist qui tout consomme/
Auec leurs bulles ⁊ pardons.	Avec leurs bulles et pardons.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ces malheureux p̃bstres	¶ Laissez moy ces malheureux prebstres
Plus que Iudas meschãtz ⁊ traistres/	Plus que Judas meschantz et traistres/
Et rendant largent se pendit.	Et rendant l’argent se pendit.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy leur puante messe/	¶ Laissez moy leur puante messe/
Qui la chrestiente si fort blesse/	Qui la chrestiente si fort blesse/
Car tout autre homme est menteur.	Car tout autre homme est menteur.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy tous ces chatemittes/	¶ Laissez moy tous ces chatemittes/
Moines/ bigotz/ nonnains/ hermites/	Moines/ bigotz/ nonnains/ hermites/
Car Iesus nest point diuise.	Car Jesus n’est point divise.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez moy ces affamees bestes	¶ Laissez moy ces affamees bestes
Qui tout rauissent par leurs questes:	Qui tout ravissent par leurs questes:
Les biens/ quilz pillent par donner.	Les biens/ qu’ilz pillent par donner.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez faulx christz ⁊ faulx ꝓphetes	¶ Laissez faulx christz et faulx prophetes
Uentres ocieux faisantz prou festes/	Ventres ocieux faisantz prou festes/
Au septiesme dieu honnorer.	Au septiesme dieu honnorer.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Laissez donc toute paillardise/	¶ Laissez donc toute paillardise/
Ne uiuez plus a uostre guise/	Ne vivez plus a vostre guise/
Iesuchrist qui est mort pour tous.	Jesus christ qui est mort pour tous.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Gardez q̃ aucũne uous supreigne/	¶ Gardez que aucunne vous supreigne/
Tenez la uoye que Christ enseigne/	Tenez la voye que Christ enseigne/
Car il est uie ⁊ uerite.	Car il est vie et verite.
Paoures papistes ⁊c.	Paovres papistes etc.
¶ Autre chanson demonstrant la	¶ Autre chanson demonstrant la
maniere comment les chrestiẽs se	maniere comment les chrestiens se
Dieu/ qui se chante sur le chant:	Dieu/ qui se chante sur le chant:
Cest une dure departie.	C’est une dure departie.
C	C¬
Est une paoure chantrerie/	’Est une paovre chantrerie/
Chanter chansons dyurongnerie/	Chanter chansons d’yvrongnerie/
Controuuees au grand deshonneur	Controuvees au grand deshonneur
Du seigneur dieu qui tout congnoit/	Du seigneur dieu qui tout congnoit/
Combien que belle couuerture/	Combien que belle couverture/
Ce quest sans foy nest rien q̃ ordure.	Ce qu’est sans foy n’est rien que ordure.
¶ Impossible est quoy quon te die/	¶ Impossible est quoy qu’on te die/
Sans foy plaire a nostre sauueur/	Sans foy plaire a nostre sauveur/
Beau parler ⁊ meschante uie/	Beau parler et meschante vie/
Comment bien ie te prouueray	Comment bien je te prouveray
Par sainct Matthieu en son septiesme/	Par sainct Matthieu en son septiesme/
Pourtant ie te demonstreray	Pourtant je te demonstreray
Ou poͬ chãter prẽdras tõ tesme.	Ou pour chanter prendras ton tesme.
Iesus christ nostre redempteur/	Jesus christ nostre redempteur/
En luy/ mettant toute ta ioye/	En luy/ mettant toute ta joye/
De uolupte soys contempteur	De volupte soys contempteur
Du monde ⁊ de ses uanitez:	Du monde et de ses vanitez:
De saincte escripture extraictes/	De saincte escripture extraictes/
Delaissãt ces chãsõs charnelles.	Delaissant ces chansons charnelles.
¶ Lis au quatorziesme chapitre	¶ Lis au quatorziesme chapitre
La premiere aux Corinthiens/	La premiere aux Corinthiens/
Cõme doibuent les urays chrestiens	Comme doibvent les vrays chrestiens
Prescher/ prier/ chanter aussi/	Prescher/ prier/ chanter aussi/
Tout soit en uoix intelligible/	Tout soit en voix intelligible/
De coeur/ desperit/ en sens rassi/	De coeur/ d’esperit/ en sens rassi/
¶ Ie chanteray donc de ma bouche/	¶ Je chanteray donc de ma bouche/
Mais de coeur bien plus ardammẽt/	Mais de coeur bien plus ardamment/
Par lesprit de dieu quand me touche/	Par l’esprit de dieu quand me touche/
Ie ne le pourroye autrement/	Je ne le pourroye autrement/
Au grand prouffit ⁊ edifice	Au grand prouffit et edifice
De mon prochain/ ⁊ linstruiray	De mon prochain/ et l’instruiray
A louer dieu en son office.	A louer dieu en son office.
¶ Naurons nous que une fois lannee/	¶ N’aurons nous que une fois l’annee/
De la grace/ quil a donnee	De la grace/ qu’il a donnee
A nous/ pour lesquelz paourement	A nous/ pour lesquelz paovrement
En ung estable il est ne:	En ung estable il est ne:
Pour nous a souffert mort horrible/	Pour nous a souffert mort horrible/
Pensons y tãt quil est possible.	Pensons y tant qu’il est possible.
¶ Tant que nous serons en ce monde/	¶ Tant que nous serons en ce monde/
Si chrestiens sommes/ en noz coeurs	Si chrestiens sommes/ en noz coeurs
Porter debuons lamour profonde	Porter debvons l’amour profonde
Sa uie/ ⁊ sa natiuite:	Sa vie/ et sa nativite:
Cest le mirouer de patience/	C’est le mirouer de patience/
Il est mort ⁊ resuscite:	Il est mort et resuscite:
Mõte au ciel par sa puissance.	Monte au ciel par sa puissance.
A nostre bon pere des cieulx/	A nostre bon pere des cieulx/
Disantz de coeur apres les anges/	Disantz de coeur apres les anges/
Gloire au seigñr aux treshaultz lieux:	Gloire au seigneur aux tres haultz lieux:
Qui de la mort nous a tire/	Qui de la mort nous a tire/
Contre Satan/ sest retire	Contre Satan/ s’est retire
Auec nous faisant paix en terre.	Avec nous faisant paix en terre.
¶ Mais gardons nous dingratitude	¶ Mais gardons nous d’ingratitude
Quest moult desplaisante a Iesus/	Qu’est moult desplaisante a Jesus/
Disrael furent confondus/	D’israel furent confondus/
Pour la loy de dieu contemner:	Pour la loy de dieu contemner:
Rentrarent point en celle terre/	Rentrarent point en celle terre/
Combien plus sont a condamner	Combien plus sont a condamner
¶ Tumbõs trestous deuãt noz faces:	¶ Tumbons trestous devant noz faces:
Et de grand coeur remercions	Et de grand coeur remercions
Ce bon pere de ses grandz graces/	Ce bon pere de ses grandz graces/
Lesquelles publier debuons/	Lesquelles publier debvons/
Preschõs tousioͬs ses grãs merueilles	Preschons tousjours ses grans merveilles
En loyant philozophier	En l’oyant philozophier
De coeur plus fort que des aureilles.	De coeur plus fort que des aureilles.
¶ Fin de plusieurs belles chan¬	¶ Fin de plusieurs belles chan¬
saincte escripture.	saincte escripture.
