¶ Linstruction des	¶ L’instruction des
troysiesme ⁊ quatriesme generation/ de	troysiesme et quatriesme generation/ de
ricorde en mille generations/ à ceulx qui	ricorde en mille generations/ à ceulx qui
maymẽt/ ⁊ gardẽt mes cõmandemẽs.	m’ayment/ et gardent mes commandemens.
Tu ne prẽdras point le nom de l'E¬	Tu ne prendras point le nom de l’E¬
ne tiendra point innocent/ celuy qui prẽ	ne tiendra point innocent/ celuy qui pren¬
dra son nom en uain.	dra son nom en vain.
Aye souuenãce du iour du repos poͬ	Aye souvenance du jour du repos pour
feras toute ton oeuure. Mais le septies¬	feras toute ton oeuvre. Mais le septies¬
me iour est le repos de l'Eternel/ ton	me jour est le repos de l’Eternel/ ton
iceluy/ toy/ ton filz/ ta fille/ ton seruiteur/	iceluy/ toy/ ton filz/ ta fille/ ton serviteur/
est dedens tes portes. Car en six iours	est dedens tes portes. Car en six jours
l'Eternel feit le ciel ⁊ la terre/ ⁊ la mer/ ⁊	l’Eternel feit le ciel et la terre/ et la mer/ et
ptiesme iour. Et pourtant l'Eternel be¬	ptiesme jour. Et pourtant l’Eternel be¬
¶ Le .u. commandement.	¶ Le .v. commandement.
Hõnore ton pere ⁊ ta mere/ affin que	Honnore ton pere et ta mere/ affin que
laquelle l'Eternel/ ton Dieu te donne.	laquelle l’Eternel/ ton Dieu te donne.
demens/ cõcernans la dilection du	demens/ concernans la dilection du
prochain/ pour lamour	prochain/ pour l’amour
¶ Le .ui. cõmandement.	¶ Le .ui. commandement.
¶ Le .uii. cõmandement.	¶ Le .uii. commandement.
Tu ne feras point adultere.	Tu ne feras point adultere.
Tu ne desroberas point.	Tu ne desroberas point.
Tu ne diras poĩt faux tesmoigna¬	Tu ne diras point faux tesmoigna¬
ge contre ton prochain.	ge contre ton prochain.
Tu ne conuoiteras point la maison	Tu ne convoiteras point la maison
femme diceluy/ ne son seruiteur/ ne sa	femme d’iceluy/ ne son serviteur/ ne sa
seruante/ ne son beuf/ ne son asne/ ne	servante/ ne son beuf/ ne son asne/ ne
¶ Du mystere de lincarnation de nostre sei¬	¶ Du mystere de l’incarnation de nostre sei¬
fut annõcee a la uierge Marie/ par lãge Ga	fut annoncee a la vierge Marie/ par l’ange Ga¬
briel/ ayant lors mandement de Dieu.	briel/ ayant lors mandement de Dieu.
E	E¬
Ie te salue pleine de grace/ le Sei¬	Je te salue pleine de grace/ le Sei¬
gneur est auec toy/ tu es beneite entre	gneur est avec toy/ tu es beneite entre
elle fut troublee du propos diceluy/ et	elle fut troublee du propos d’iceluy/ et
lange luy dit: Marie ne crains point:	l’ange luy dit: Marie ne crains point:
car tu as trouue grace deuant Dieu.	car tu as trouve grace devant Dieu.
enfãteras un filz/ ⁊ appelleras sõ nom	enfanteras un filz/ et appelleras son nom
neite entre les femmes/ et beneit est le	neite entre les femmes/ et beneit est le
fruict de ton uentre.	fruict de ton ventre.
Elle enfantera un filz/ ⁊ appelleras	Elle enfantera un filz/ et appelleras
ple de leurs pechez.	ple de leurs pechez.
¶ Brieue declaration de loraison	¶ Brieve declaration de l’oraison
escriptures sain¬	escriptures sain¬
Premierement de loraison.	Premierement de l’oraison.
Seigneur/ enseigne nous a prier. Luc.11.a.	Seigneur/ enseigne nous a prier. Luc.11.a.
trouuerez. Frappez (a la porte) ⁊ on uous ouurira.	trouverez. Frappez (a la porte) et on vous ouvrira.
che/ il trouue: ⁊ a celuy qui frappe (a la porte) on	che/ il trouve: et a celuy qui frappe (a la porte) on
luy ouurira. Matth.7.b.	luy ouvrira. Matth.7.b.
pocrites. Car ilz aymẽt debout prier aux assẽblees	pocrites. Car ilz ayment debout prier aux assemblees
hõmes. En uerite ie uous dy/ quilz ont receu leur	hommes. En verite je vous dy/ qu’ilz ont receu leur
loyer. Mais toy/ quãt tu prieras/ entre en ta cham	loyer. Mais toy/ quant tu prieras/ entre en ta cham¬
qui uoyt en secret/ le te rendra manifestement.	qui voyt en secret/ le te rendra manifestement.
cõme les infideles. Car ilz cuidẽt estre exaucez par	comme les infideles. Car ilz cuident estre exaucez par
beaucoup de parolles. Ne soyez donc semblables	beaucoup de parolles. Ne soyez donc semblables
soing: deuãt q̃ le requerez. Uous donc priez ainsi:	soing: devant que le requerez. Vous donc priez ainsi:
Semblablement aussi lesperit ayde noz infir¬	Semblablement aussi l’esperit ayde noz infir¬
mitez. Car nous ne scauons point q̃lle chose nous	mitez. Car nous ne scavons point quelle chose nous
prie pour nous par gemissemens inenarrables. Et	prie pour nous par gemissemens inenarrables. Et
de lesperit. Car il prie pour les sainctz selõ Dieu.	de l’esperit. Car il prie pour les sainctz selon Dieu.
Roma.8.e.	Roma.8.e.
rerez le pere/ ne en ceste mõtaigne/ ne en Hierusalẽ.	rerez le pere/ ne en ceste montaigne/ ne en Hierusalem.
adorateurs adorerõt le pere en esperit ⁊ uerite. Car	adorateurs adoreront le pere en esperit et verite. Car
aussi le pere quiert telz/ qui le adorẽt. Dieu est espe	aussi le pere quiert telz/ qui le adorent. Dieu est espe¬
esperit ⁊ uerite. Iehã.4.c.	esperit et verite. Jehan.4.c.
Dieu en esperit. Philip.3.a.	Dieu en esperit. Philip.3.a.
Ie prieray desperit/ mais ie prieray aussi dentẽ¬	Je prieray d’esperit/ mais je prieray aussi d’enten¬
sens en leglise: affin que ie instruise les autres: que	sens en l’eglise: affin que je instruise les autres: que
Ie uueil donc q̃ les hõmes facẽt oraison en tout	Je vueil donc que les hommes facent oraison en tout
lieu/ leuans les mains pures/ sans ire ⁊ dissentiõ.	lieu/ levans les mains pures/ sans ire et dissention.
Ueillez donc en tout temps/ prians. Luc.21.g.	Veillez donc en tout temps/ prians. Luc.21.g.
temps en esperit. Ephe.6.c.	temps en esperit. Ephe.6.c.
Ie loueray Leternel en tout tẽps/ sa louẽge se¬	Je loueray L’eternel en tout temps/ sa louenge se¬
Nous nous esiouyssõs pour uous deuãt nostre	Nous nous esjouyssons pour vous devant nostre
1.Thessalo.3.c.	1.Thessalo.3.c.
Il faut tousioͬs prier/ ⁊ ne se lasser poĩt. Lu.18.a	Il faut tousjours prier/ et ne se lasser point. Lu.18.a
En uerite/ en uerite ie uous dy/ que se uous de¬	En verite/ en verite je vous dy/ que se vous de¬
le uous donnera. Ioan.16.e.	le vous donnera. Joan.16.e.
¶ Les deux cõditions principallement	¶ Les deux conditions principallement
Marc.11.d.	Marc.11.d.
dez en priant/ croyez que uous laurez: et elles se¬	dez en priant/ croyez que vous l’aurez: et elles se¬
ront uostres.	ront vostres.
nez se uous auez quelque chose cõtre aucun/ affin	nez se vous avez quelque chose contre aucun/ affin
ne uoz pechez.	ne voz pechez.
¶ Nostre pere.	¶ Nostre pere.
toutes choses/ ⁊ nous par luy. 1.Corin.8.a.	toutes choses/ et nous par luy. 1.Corin.8.a.
Ie uous seray pour pere/ ⁊ uoꝰ me serez poͬ filz ⁊	Je vous seray pour pere/ et vous me serez pour filz et
filles/ dit le Seigñr tout puissant. 2.Corin.6.c.	filles/ dit le Seigneur tout puissant. 2.Corin.6.c.
Si dõc ie suis pere: ou est mõ hõneur. Et si ie suis	Si donc je suis pere: ou est mon honneur. Et si je suis
Qui est lhõme dentre uous auquel si son filz	Qui est l’homme d’entre vous auquel si son filz
luy demãde du pain: luy dõnera il une pierre? Ou	luy demande du pain: luy donnera il une pierre? Ou
Se uous donc qui estes mauuais scauez donner a	Se vous donc qui estes mauvais scavez donner a
qui est aux cieux/ donnera des biens a ceux qui le	qui est aux cieux/ donnera des biens a ceux qui le
requierent? Matth.7.b.	requierent? Matth.7.b.
ton nom est a perpetuite. Isaie.63.d.	ton nom est a perpetuite. Isaie.63.d.
graces que tu as absconse ces choses aux sages ⁊	graces que tu as absconse ces choses aux sages et
prudens: ⁊ les as reuele aux petis. Certe pere/ tel a	prudens: et les as revele aux petis. Certe pere/ tel a
sont baillees par mon pere. Et nul na congneu le	sont baillees par mon pere. Et nul n’a congneu le
sinon le filz/ ⁊ celuy auquel le filz le uouldra re¬	sinon le filz/ et celuy auquel le filz le vouldra re¬
ueler. Matth.11.d.	veler. Matth.11.d.
nous soyons nõmez enfans de Dieu. 1.Ioan.3.a.	nous soyons nommez enfans de Dieu. 1.Joan.3.a.
lesperit de son filz en noz coeurs/ criant/ abba (cest	l’esperit de son filz en noz coeurs/ criant/ abba (c’est
a dire) pere. Et par ainsi/ maintenãt nul nest serf/	adire) pere. Et par ainsi/ maintenant nul n’est serf/
Christ. Gala.4.a.	Christ. Gala.4.a.
iceux sont filz de Dieu. Car uous nauez point re¬	iceux sont filz de Dieu. Car vous n’avez point re¬
ceu lesperit de seruitude poͬ estre encore en crainte:	ceu l’esperit de servitude pour estre encore en crainte:
nous crions. abba/ pere. Iceluy esperit rẽd tesmoi¬	nous crions. abba/ pere. Iceluy esperit rend tesmoi¬
de Dieu. Et se nous sommes enfans/ nous sõmes	de Dieu. Et se nous sommes enfans/ nous sommes
aussi heritiers/ heritiers certes de Dieu/ ⁊ coheri¬	aussi heritiers/ heritiers certes de Dieu/ et coheri¬
Nauons nous pas tous un seul pere? nauons	N’avons nous pas tous un seul pere? n’avons
quoy donc un chascun mesprise il son frere/ rõpãt	quoy donc un chascun mesprise il son frere/ rompant
laliance de noz peres? Malach.2.b.	l’aliance de noz peres? Malach.2.b.
qui ta faict ⁊ forme? 5.Moyse.32.a.	qui t’a faict et forme? 5.Moyse.32.a.
Ne uueillez point estre appellez maistres. Car	Ne vueillez point estre appellez maistres. Car
un est ur̃e maistre/ cest ascauoir Christ: mais uous	un est vostre maistre/ c’est ascavoir Christ: mais vous
pere. Car un est ur̃e pere/ qͥ est eis cieux. Mat.23.a.	pere. Car un est vostre pere/ qui est eis cieux. Mat.23.a.
Psal.123.a.	Psal.123.a.
Leternel a constitue son thronne au ciel/ ⁊ son	L’eternel a constitue son thronne au ciel/ et son
Nostre Dieu est au ciel/ il faict toutes choses	Nostre Dieu est au ciel/ il faict toutes choses
Le ciel uniuersel est a Leternel/ ⁊ aux hõmes a	Le ciel universel est a L’eternel/ et aux hommes a
dõne la terre. Ps̈.115.d.	donne la terre. Ps̈.115.d.
de mes piedz. Quelle sera ceste maison que uoꝰ me	de mes piedz. Quelle sera ceste maison que vous me
main a faict toutes ces choses/ ⁊ toutes ces choses	main a faict toutes ces choses/ et toutes ces choses
uniuerselles ont este faictes/ dit Leternel. Isa.66.a.	universelles ont este faictes/ dit L’eternel. Isa.66.a.
Ieremie.23.e.	Jeremie.23.e.
prendre? or que sera il de ceste maison que iay edi¬	prendre? or que sera il de ceste maison que j’ay edi¬
fiee? 1.des Roys.8.d/ 2.des Cronicques.2.b. ⁊. 6.c.	fiee? 1.des Roys.8.d/ 2.des Cronicques.2.b. et. 6.c.
le treshaut ne habite point aux temples faictz de	le tres haut ne habite point aux temples faictz de
Dieu qui a faict le monde/ ⁊ toutes choses qui	Dieu qui a faict le monde/ et toutes choses qui
sont en iceluy/ ueu quil est seigneur du ciel ⁊ de la	sont en iceluy/ veu qu’il est seigneur du ciel et de la
main/ ⁊ si nest point seruy de par les mains des hõ	main/ et si n’est point servy de par les mains des hom¬
celuy qui dõne a tous uie ⁊ respiration par tout/ ⁊	celuy qui donne a tous vie et respiration par tout/ et
a faict de un sang tout le genre humain/ pour ha-	a faict de un sang tout le genre humain/ pour ha¬
ordonnez a ce/ ⁊ les fins de leur habitation/ pour	ordonnez a ce/ et les fins de leur habitation/ pour
ueroiẽt: ia soit quil ne soit point loing de un cha¬	veroient: ja soit qu’il ne soit point loing de un cha¬
scun de nous. Car par luy noꝰ uiuõs ⁊ mouuõs/ ⁊	scun de nous. Car par luy nous vivons et mouvons/ et
Aussi certes nous sõmes genre de luy ⁊c. Act̃.17.f.	Aussi certes nous sommes genre de luy etc. Act̃.17.f.
Ie dõneray a cõgnoistre mõ sainct nom/ au mi-	Je donneray a congnoistre mon sainct nom/ au mi¬
lieu de mon peuple Disrael: ⁊ ne souilleray plus	lieu de mon peuple D’israel: et ne souilleray plus
suis Leternel/ le sainct Disrael. Ezech.39.b.	suis L’eternel/ le sainct D’israel. Ezech.39.b.
luy sera seul. zacha.14.b.	luy sera seul. zacha.14.b.
O maison Disrael ie ne le feray pas/ pour la-	O maison D’israel je ne le feray pas/ pour l’a¬
Quiconque inuocque mon nom: ⁊ ma gloire/ ie	Quiconque invocque mon nom: et ma gloire/ je
Et aduiendra que quicõque inuocquera le nom	Et adviendra que quiconque invocquera le nom
de Leternel sera sauue. Ioel.2.g.	de L’eternel sera sauve. Joel.2.g.
ueilleux par toute la terre uniuerselle. Ps̈.8.a.	veilleux par toute la terre universelle. Ps̈.8.a.
mon nom est grand/ entre les gens ⁊ en toute pla¬	mon nom est grand/ entre les gens et en toute pla¬
ce. Malach.1.c.	ce. Malach.1.c.
Le nom de Leternel est une forte tour: le iuste se	Le nom de L’eternel est une forte tour: le juste se
Uous qui estes seruiteurs de Leternel louez le:	Vous qui estes serviteurs de L’eternel louez le:
louez le nom de Leternel. Le nom de Leternel	louez le nom de L’eternel. Le nom de L’eternel
leil leuant iusques a soleil couchãt: le nom de Le	leil levant jusques a soleil couchant: le nom de L’e¬
Chãtez a Leternel/ ⁊ dõnez louenge a son nom:	Chantez a L’eternel/ et donnez louenge a son nom:
annoncez de iour en iour son salut. Racontez sa	annoncez de jour en jour son salut. Racontez sa
les peuples. Ps̈.96.a.	les peuples. Ps̈.96.a.
mais a ton nom dõne la gloire/ a cause de ta mise	mais a ton nom donne la gloire/ a cause de ta mise¬
ricorde ⁊ de ta uerite. Ps̈.115.a.	ricorde et de ta verite. Ps̈.115.a.
lhonneur de ton nom: ⁊ nous deliure/ ⁊ pardonne	l’honneur de ton nom: et nous delivre/ et pardonne
O Eternel/ enseigne moy ta uoye: ie chemine¬	O Eternel/ enseigne moy ta voye: je chemine¬
ray en ta uerite: unis mõ coeur/ affin quil craigne	ray en ta verite: unis mon coeur/ affin qu’il craigne
louenge de tout mon coeur/ ⁊ glorifieray ton nom	louenge de tout mon coeur/ et glorifieray ton nom
Ie te feray sacrifice en liberalite: o Eternel/ ie	Je te feray sacrifice en liberalite: o Eternel/ je
magnifieray ton nom: car il est bon. Ps̈.54.b.	magnifieray ton nom: car il est bon. Ps̈.54.b.
au milieu de la cõgregation. Ps̈.22.e.33.c. Heb.2.c.	au milieu de la congregation. Ps̈.22.e.33.c. Heb.2.c.
Leternel soit loue. Iob.1.d.	L’eternel soit loue. Job.1.d.
Offrons donc par luy sacrifice de louẽge tous¬	Offrons donc par luy sacrifice de louenge tous¬
sans louenge a son nom. Heb.13.c.	sans louenge a son nom. Heb.13.c.
Cerchez premierement le royaume de dieu/ et sa	Cerchez premierement le royaume de dieu/ et sa
iustice: et toutes choses uous seront adioustees.	justice: et toutes choses vous seront adjoustees.
Le royaume de dieu nest point uiãde ⁊ breuuage:	Le royaume de dieu n’est point viande et breuvage:
Le royaume de dieu nest point en parolle: mais	Le royaume de dieu n’est point en parolle: mais
en uertu. 1.Corin.4.d.	en vertu. 1.Corin.4.d.
dre garde: ⁊ ne diront point: Uoyci/ il est cy: ou il	dre garde: et ne diront point: Voyci/ il est cy: ou il
uous. Luc.17.e.	vous. Luc.17.e.
Se aucun nest nay denhaut: il ne peut ueoir le	Se aucun n’est nay d’enhaut: il ne peut veoir le
Se aucun nest nay de eaue/ ⁊ du sainct esperit:	Se aucun n’est nay de eaue/ et du sainct esperit:
Quicõque ne receuera le royaume de dieu cõme	Quiconque ne recevera le royaume de dieu comme
enfãt: il nẽtrera poĩt en iceluy. Lu.18.c. Mar.10.b.	enfant: il n’entrera point en iceluy. Lu.18.c. Mar.10.b.
du royaume de Dieu. 1.Corin.15.f.	du royaume de Dieu. 1.Corin.15.f.
lent le rauissent. Matth.11.b.	lent le ravissent. Matth.11.b.
Lequel (cest ascauoir Dieu) nous a deliure de	Lequel (c’est ascavoir Dieu) nous a delivre de
royaume de son filz bien ayme: par lequel nous	royaume de son filz bien ayme: par lequel nous
chez ⁊c. Coloss.1.b.	chez etc. Coloss.1.b.
Lors sera incontinent la fin/ quand il baillera	Lors sera incontinent la fin/ quand il baillera
principaute/ ⁊ toute puissance ⁊ uertu. Car il faut	principaute/ et toute puissance et vertu. Car il faut
mis soubz ses piedz. Le dernier ennemy (qui est la	mis soubz ses piedz. Le dernier ennemy (qui est la
mort) sera destruict. 1.Corin.15.d.	mort) sera destruict. 1.Corin.15.d.
13.a.e. Marc.4.a.b. Luc.8.a.b. Matth.13.e.	13.a.e. Marc.4.a.b. Luc.8.a.b. Matth.13.e.
22.a. Luc.14.d. Mat.25.a.b. Luc.19.b.15.a.	22.a. Luc.14.d. Mat.25.a.b. Luc.19.b.15.a.
Ta uolunte soit faicte ⁊c.	Ta volunte soit faicte etc.
Enseigne moy que ie face ta uolunte: car tu es	Enseigne moy que je face ta volunte: car tu es
droicte. Ps̈.143.c.	droicte. Ps̈.143.c.
Ceste est la uolũte de celuy qui ma enuoye/ que	Ceste est la volunte de celuy qui m’a envoye/ que
nelle: ⁊ ie le ressusciteray au dernier iour. Ieh.6.d.	nelle: et je le ressusciteray au dernier jour. Jeh.6.d.
de Leternel: affin quil te soit bien. 5.Moyse.6.c.	de L’eternel: affin qu’il te soit bien. 5.Moyse.6.c.
Uoꝰ ne ferez point ce quil semblera a ung cha¬	Vous ne ferez point ce qu’il semblera a ung cha¬
Plusieurs pẽsees sont au coeur de lhõme: mais	Plusieurs pensees sont au coeur de l’homme: mais
Mon conseil sera ferme/ ⁊ feray toute ma uo¬	Mon conseil sera ferme/ et feray toute ma vo¬
lunte. Isaie.46.d.	lunte. Isaie.46.d.
stes/ que eis habitans de la terre. Et si ny a nul qͥ	stes/ que eis habitans de la terre. Et si ny a nul qui
ce? Daniel.4.g.	ce? Daniel.4.g.
Ce nest point dõc ne par celuy qui ueut/ ne par	Ce n’est point donc ne par celuy qui veut/ ne par
corde. Roma.9.c.	corde. Roma.9.c.
⁊ le faire/ par bonne uolunte. Philip2.b.	et le faire/ par bonne volunte. Philip2.b.
Il oeuure toutes choses selon le cõseil de sa uo	Il oeuvre toutes choses selon le conseil de sa vo¬
Ephesi.1.b.	Ephesi.1.b.
pas que nous soyons suffisans de penser quelque	pas que nous soyons suffisans de penser quelque
chose de nous/ cõme de nous: mais nostre suffisan	chose de nous/ comme de nous: mais nostre suffisan¬
Ie ne fais pas ce que ie ueux: mais ie fay ce que	Je ne fais pas ce que je veux: mais je fay ce que
consentz a la loy quelle est bonne. Item. Ie ne	consentz a la loy qu’elle est bonne. Item. Je ne
fay point le bien/ leq̃l ie ueux: mais ie fais le mal/	fay point le bien/ lequel je veux: mais je fais le mal/
loy/ a moy uueillant faire bien/ que mal mest ad¬	loy/ a moy vueillant faire bien/ que mal m’est ad¬
lhõme interieur: mais ie uoy une autre loy en mes	l’homme interieur: mais je voy une autre loy en mes
mẽbres/ repugnante a la loy de mon entẽdemẽt/ ⁊	membres/ repugnante a la loy de mon entendement/ et
en mes mẽbres. Las moy miserable hõme/ qui me	en mes membres. Las moy miserable homme/ qui me
Dieu/ par Iesus Christ nostre seigneur. Rom̃.7.d.	Dieu/ par Jesus Christ nostre seigneur. Rom̃.7.d.
Qui faict la uolunte de dieu/ demeure eternel¬	Qui faict la volunte de dieu/ demeure eternel¬
Collaudez Leternel uous anges diceluy/ qui	Collaudez L’eternel vous anges d’iceluy/ qui
mẽt/ pour obeir a la uoix de sa parolle. Louez Le	ment/ pour obeir a la voix de sa parolle. Louez L’e¬
ternel uous tous exercites diceluy: qui estes ses mi	ternel vous tous exercites d’iceluy: qui estes ses mi¬
Gloire soit a Dieu eis lieux treshautz: et en	Gloire soit a Dieu eis lieux tres hautz: et en
La uolunte du Seigneur soit faicte. Act̃.21.c.	La volunte du Seigneur soit faicte. Act̃.21.c.
Qui dis a Cyrus mon pasteur/ ⁊ accompliras	Qui dis a Cyrus mon pasteur/ et accompliras
Ie suis descẽdu du ciel: nõ point poͬ faire ma uo	Je suis descendu du ciel: non point pour faire ma vo¬
Tu ne ueux point sacrifice ne offrãde: mais tu	Tu ne veux point sacrifice ne offrande: mais tu
me appareille les aureilles: tu ne demãde point sa¬	me appareille les aureilles: tu ne demande point sa¬
dit: Me uoyci uenu: au roulle du liure il est escrit	dit: Me voyci venu: au roulle du livre il est escrit
bien uoulu: aussi est ta loy dedens mes entrailles.	bien voulu: aussi est ta loy dedens mes entrailles.
Ps̈.49.b. Hebr.10.b.	Ps̈.49.b. Hebr.10.b.
te du pere qui ma enuoye. Ieh.5.e.	te du pere qui m’a envoye. Jeh.5.e.
Matth.26d. Mar.14.d.	Matth.26d. Mar.14.d.
Non point ma uolunte: mais la tienne soit fai-	Non point ma volunte: mais la tienne soit fai¬
Puis dõc que Christ a souffert pour nous en la	Puis donc que Christ a souffert pour nous en la
see. Car qui souffroit en la chair/ a faict fin a pe¬	see. Car qui souffroit en la chair/ a faict fin a pe¬
che: affin que doresnauant de ce quil reste de tẽps	che: affin que doresnavant de ce qu’il reste de temps
mes/ mais a la uolunte de Dieu. 1.Pet̃.4.a.g.	mes/ mais a la volunte de Dieu. 1.Pet̃.4.a.g.
reformez/ en la nouuellete de uostre sens: affin que	reformez/ en la nouvellete de vostre sens: affin que
uous cõgnoissiez par experience/ quelle est la uo-	vous congnoissiez par experience/ quelle est la vo¬
Romains.12.a.	Romains.12.a.
tion/ que uous uous absteniez de fornication: a ce	tion/ que vous vous absteniez de fornication: a ce
que un chascun de uous sache posseder son uais-	que un chascun de vous sache posseder son vais¬
sion de desir/ ainsi cõme les gens/ lesquelles non	sion de desir/ ainsi comme les gens/ lesquelles n’on
Ne soyez point mal aduisez: mais entendans	Ne soyez point mal advisez: mais entendans
quelle est la uolunte de dieu. Ephe.5.d.	quelle est la volunte de dieu. Ephe.5.d.
en prieres/ affin que soyez parfaictz et consommez	en prieres/ affin que soyez parfaictz et consommez
Et ceste est la fiance/ laquelle auõs a luy/ que ce	Et ceste est la fiance/ laquelle avons a luy/ que ce
que nous demanderons selon sa uolunte il nous	que nous demanderons selon sa volunte il nous
Et le dieu de paix qui a retire des mortz le grãd	Et le dieu de paix qui a retire des mortz le grand
le sang du testament eternel/ uous rende parfaictz	le sang du testament eternel/ vous rende parfaictz
en toute bonne oeuure/ pour faire sa uolunte/ ⁊ fa	en toute bonne oeuvre/ pour faire sa volunte/ et fa¬
Christ/ auq̃l est gloire eis siecles des siecles. Amẽ.	Christ/ auquel est gloire eis siecles des siecles. Amen.
Dõne nous auiourdhuy ⁊c.	Donne nous aujourdhuy etc.
La benediction de Leternel enrichy/ ⁊ ce sans	La benediction de L’eternel enrichy/ et ce sans
Il donne uiande a toute creature: car sa miseri¬	Il donne viande a toute creature: car sa miseri¬
Aussi a tout hõme a qui dieu a dõne richesse et	Aussi a tout homme a qui dieu a donne richesse et
cheuance/ ⁊ luy a dõne faculte den menger ⁊ pren¬	chevance/ et luy a donne faculte d’en menger et pren¬
dieu. Eccłs.5.d.	dieu. Eccłs.5.d.
famine. Prouer.10.a.	famine. Prover.10.a.
Iay este ieune enfãt/ ⁊ si suys enuieilly/ mais ie	J’ay este jeune enfant/ et si suys envieilly/ mais je
le pain. Ps̈.37.d.	le pain. Ps̈.37.d.
leurs petis crient enuers Dieu: lesq̃lz sont errans	leurs petis crient envers Dieu: lesquelz sont errans
par faute de mengeaille? Iob.38.c.	par faute de mengeaille? Job.38.c.
corbeaux/ qui crient. Ps̈.147.b.	corbeaux/ qui crient. Ps̈.147.b.
⁊ a enquerir de dieu uiande pour eux. Ps.104.c.	et a enquerir de dieu viande pour eux. Ps.104.c.
Tous iceux sont attendans apres toy/ que tu	Tous iceux sont attendans apres toy/ que tu
⁊ la recueillẽt: tu ouure ta main/ lors sont rassasiez	et la recueillent: tu ouvre ta main/ lors sont rassasiez
Remetz ta cure a Leternel/ et il te nourrira.	Remetz ta cure a L’eternel/ et il te nourrira.
Ps̈.55.d.	Ps̈.55.d.
uous. 1.Pier.5.b.	vous. 1.Pier.5.b.
