¶ Letres certaines dau	¶ Letres certaines d’au¬
liarite priuee/ ensemble leurs noms fust	liarite privee/ ensemble leurs noms fust
predicantz/ contre lesquelz disputoit le¬	predicantz/ contre lesquelz disputoit le¬
aucun respect ne les a uoulu nõmer/ fa¬	aucun respect ne les a voulu nommer/ fa¬
uorisant aucunemẽt audict docteur: com¬	vorisant aucunement audict docteur: com¬
de escrire la pure uerite de tout ce quil	de escrire la pure verite de tout ce qu’il
ainsi quest aduenu. En quoy sest demon¬	ainsi qu’est advenu. En quoy s’est demon¬
stre homme de bien. Et pleut a Dieu que	stre homme de bien. Et pleut a Dieu que
tes choses selon la uerite/ sans pẽdre dũg	tes choses selon la verite/ sans pendre d’ung
tie qui auroit tort/ ne se peult excuser di¬	tie qui auroit tort/ ne se peult excuser di¬
sant quõ eust cache une partie ou la moi¬	sant qu’on eust cache une partie ou la moi¬
faulx rapportz lon ne uint a iuger dung	faulx rapportz l’on ne vint a juger d’ung
mal estre bien: le droict estre tort/ ⁊ le tort	mal estre bien: le droict estre tort/ et le tort
estre droict: Mais par fideles ⁊ entieres	estre droict: Mais par fideles et entieres
et allegations produictes par les deux	et allegations produictes par les deux
⁊ discerner le bien pour lensuyure ⁊ ensei¬	et discerner le bien pour l’ensuyvre et ensei¬
gner a tous/ et le mal pour leuiter et en	gner a tous/ et le mal pour l’eviter et en
se porteroit tresbien/ ⁊ ne courroiẽt point	se porteroit tres bien/ et ne courroient point
costez entre le peuple/ qui portent moult	costez entre le peuple/ qui portent moult
grand dommaige/ ⁊ peuuẽt estre occasiõ	grand dommaige/ et peuvent estre occasion
Toy donc amiable lecteur/ ie te prie	Toy donc amiable lecteur/ je te prie
ses auant que iuger soubdainement. Et	ses avant que juger soubdainement. Et
tu congnoistras que ie nay point tache a	tu congnoistras que je n’ay point tache a
faire plaisir ⁊ seruice de tout mon pou¬	faire plaisir et service de tout mon pou¬
te donner entendement/ constan¬	te donner entendement/ constan¬
ce/ et uertu de bien mainte¬	ce/ et vertu de bien mainte¬
licque iusq̃s a la fin/	licque jusques a la fin/
sẽble en la gloire	semble en la gloire
de paradis.	de paradis.
M	M¬
mestre recõmande a uous de	m’estre recommande a vous de
tresbon coeur/ iay receu uoz	tres bon coeur/ j’ay receu voz
faict ainsi que mauez escrit. Et affin que	faict ainsi que m’avez escrit. Et affin que
qui uoluntiers oyẽt ce qui est faict en au¬	qui voluntiers oyent ce qui est faict en au¬
tre part: iay prins peine dauoir tout au	tre part: j’ay prins peine d’avoir tout au
il est si grand bruyt/ a cause de la dispute	il est si grand bruyt/ a cause de la dispute
en matiere Le samedy deuãt Noel arriua	en matiere Le samedy devant Noel arriva
ung de ces nouueaux p̃scheurs/ qui pres¬	ung de ces nouveaux prescheurs/ qui pres¬
matin ung herault enuoye de Messieurs	matin ung herault envoye de Messieurs
diques ⁊ conseil de Geneue. Sur quoy	diques et conseil de Geneve. Sur quoy
les prestres firẽt leurs assemblees. Et le	les prestres firent leurs assemblees. Et le
mandement de maison en maison/ quon	mandement de maison en maison/ qu’on
⁊ soy trouuer a Leuesche/ ou conuindrent	et soy trouver a L’evesche/ ou convindrent
grãd nombre tant de p̃stres que dautres.	grand nombre tant de prestres que d’autres.
promettoit faire bon deuoir. Et cecy fut	promettoit faire bon devoir. Et cecy fut
apres disner/ puis tous sortirent de Le¬	apres disner/ puis tous sortirent de L’e¬
uesche en armes ayans leurs bastons: et	vesche en armes ayans leurs bastons: et
lart. De quoy plusieurs disoient: Les	lart. De quoy plusieurs disoient: Les
mes de guerre? fault il q̃ pour ung hõme	mes de guerre? fault il que pour ung homme
ilz soient ainsi armez? ne le pourroiẽt ilz	ilz soient ainsi armez? ne le pourroient ilz
uenir aux bastons? De lautre part/	venir aux bastons? De l’autre part/
tira le p̃scheur du logis ou il estoit: affin	tira le prescheur du logis ou il estoit: affin
que uiolence ne luy fust faicte/ ⁊ fut en la	que violence ne luy fust faicte/ et fut en la
quelle se retirerẽt aucuns pour eulx gar¬	quelle se retirerent aucuns pour eulx gar¬
en ordre. Et auoir entẽdu q̃ les prestres	en ordre. Et avoir entendu que les prestres
auec grosse bende estoient au Molart/ ilz	avec grosse bende estoient au Molart/ ilz
peu entendre) quilz eussent este prie de ne	peu entendre) qu’ilz eussent este prie de ne
Ce quon ne peult obtenir/ fors qͥlz dirent/	Ce qu’on ne peult obtenir/ fors qu’ilz dirent/
que point ne feroiẽt desplaisir a ꝑsonne si	que point ne feroient desplaisir a personne si
iamais pense/ que sans grosse effsusion de	jamais pense/ que sans grosse effsusion de
demeurerent longuemẽt en ordre en leur	demeurerent longuement en ordre en leur
lieu. A la fin les Syndiques firent crier	lieu. A la fin les Syndiques firent crier
Et ceulx de la part des prestres p̃miere¬	Et ceulx de la part des prestres premiere¬
Nous ne demandons rien a ꝑsonne/ ⁊ ne	Nous ne demandons rien a personne/ et ne
les cerchons point. Pourquoy prẽnẽt ilz	les cerchons point. Pourquoy prennent ilz
⁊ non par force? Puys que premiers sont	et non par force? Puys que premiers sont
En ces aduẽtz p̃schoit ung hõme fort	En ces adventz preschoit ung homme fort
estime ⁊ biẽ scauãt ⁊ hardy/ nõme nostre	estime et bien scavant et hardy/ nomme nostre
religieux de sainct Dominicque/ p̃schant	religieux de sainct Dominicque/ preschant
nes cõme il les appelloit: ayant fort belle	nes comme il les appelloit: ayant fort belle
audiẽce ⁊ sus tout des fẽmes. Et a cause	audience et sus tout des femmes. Et a cause
Allemãs: disant q̃ ceulx qui ne sõt obeis¬	Allemans: disant que ceulx qui ne sont obeis¬
es iours q̃ leglise deffend/ sont hereticq̃s:	es jours que l’eglise deffend/ sont hereticques:
⁊ tout plein de gros motz/ ainsi cõe il est	et tout plein de gros motz/ ainsi come il est
de Messieurs de Berne/ qui demandoiẽt	de Messieurs de Berne/ qui demandoient
cõme de celuy qui a tort les auoit blasme/	comme de celuy qui a tort les avoit blasme/
lon dõna des gardes audict nr̃e Maistre:	l’on donna des gardes audict notre Maistre:
gardes. Et plus hardymẽt parla estant	gardes. Et plus hardyment parla estant
qui ne suyuoient noz predecesseurs/ quilz	qui ne suyvoient noz predecesseurs/ qu’ilz
estoiẽt hereticques/ meschãtz/ ⁊ hors de la	estoient hereticques/ meschantz/ et hors de la
qui me sont dõnees. Car ce que iay p̃sche/	qui me sont donnees. Car ce que j’ay presche/
⁊ ne uous troublez point. De quoy tout	et ne vous troublez point. De quoy tout
le mõde auoit bon espoir. Et ainsi p̃scha	le monde avoit bon espoir. Et ainsi prescha
Lan il dõna les estreines/ cõe de coustu¬	L’an il donna les estreines/ come de coustu¬
riens: ⁊ silz ne se retournoient/ quil leur	riens: et s’ilz ne se retournoient/ qu’il leur
dõnoit les fieures quartaines/ qui ueult	donnoit les fievres quartaines/ qui veult
Le dimẽche .iiii. iour de Iãuier quatre	Le dimenche .iiii. jour de Janvier quatre
arriuerẽt poͬ agir ⁊ ꝓceder cõtre leð nr̃e	arriverent pour agir et proceder contre ledict notre
Maistre. Et deux iours apres qui estoit	Maistre. Et deux jours apres qui estoit
ordre (qui auoiẽt accompaigne ung des	ordre (qui avoient accompaigne ung des
tour par la uille/ ⁊ disoit on que cestoit la	tour par la ville/ et disoit on que c’estoit la
bende des Euangelistes/ ainsi lappelloit	bende des Evangelistes/ ainsi l’appelloit
Lundy auoiẽt este a la maison de la uille	Lundy avoient este a la maison de la ville
.xxiiii. qui est le petit cõseil. Le Mercredy	.xxiiii. qui est le petit conseil. Le Mercredy
.uii. de Iãuier les. cc. cest le grãd cõseil.	.vii. de Janvier les. cc. c’est le grand conseil.
de Iãuier nostre Maistre uint deuãt lesð	de Janvier nostre Maistre vint devant lesdicts
seil des deux cẽs exposerẽt cõmẽt le beau	seil des deux cens exposerent comment le beau
pere p̃sẽt es aduẽtz passez auoit p̃sche cer¬	pere present es adventz passez avoit presche cer¬
leurs superieurs Messieͬs de Berne/ les	leurs superieurs Messieurs de Berne/ les
qui ueulẽt suyure Leuãgile: ⁊ sil le ueult	qui veulent suyvre L’evangile: et s’il le veult
nyer se offrans le prouuer suffisamment.	nyer se offrans le prouver suffisamment.
publicquemẽt de uouloir maintenir par	publicquement de vouloir maintenir par
uouloit maintenir/ les p̃scheurs qͥ estoiẽt	vouloit maintenir/ les prescheurs qui estoient
auec eulx p̃schans es terres de Messieurs	avec eulx preschans es terres de Messieurs
⁊ mõstrer quil auoit mal parle ⁊ cõtre la	et monstrer qu’il avoit mal parle et contre la
maintenir son cas ꝑ la saincte escripture/	maintenir son cas par la saincte escripture/
que Messieurs ne luy demandoient rien:	que Messieurs ne luy demandoient rien:
cõme parauãt auoiẽt faict en leur uille/	comme paravant avoient faict en leur ville/
nouueau/ ayant les playes au coste/ aux	nouveau/ ayant les playes au coste/ aux
piedz ⁊ mains/ faisãs pleurer ung image	piedz et mains/ faisans pleurer ung image
auoit faict bastir une eglise de nr̃e Dame	avoit faict bastir une eglise de notre Dame
de faulx miracles. Car Messieͬs ne ueu¬	de faulx miracles. Car Messieurs ne veu¬
lent permettre quõ enseigne autre que la	lent permettre qu’on enseigne autre que la
Le p̃mier Syndiq̃ dist a nr̃e Maistre:	Le premier Syndique dist a notre Maistre:
sieurs ꝓposẽt? Nostre Maistre dist: Mes¬	sieurs proposent? Nostre Maistre dist: Mes¬
sieurs/ iamais ie ne parlis ⁊ nentendis de	sieurs/ jamais je ne parlis et n’entendis de
Berne/ lesquelz ie tiens gẽs de bien/ ⁊ ne	Berne/ lesquelz je tiens gens de bien/ et ne
Ie uous prie que ie sache ceulx qui uous	Je vous prie que je sache ceulx qui vous
ont cecy raporte: Car poͬ uray Messieͬs/	ont cecy raporte: Car pour vray Messieurs/
sieurs/ ie suis religieux ⁊ docteur de Pa¬	sieurs/ je suis religieux et docteur de Pa¬
uant uous/ qui nestes point mes iuges/	vant vous/ qui n’estes point mes juges/
si ie nay le cõgie ⁊ licence de mon prelat ⁊	si je n’ay le congie et licence de mon prelat et
iure a tout mon ordre/ a la faculte de theo	jure a tout mon ordre/ a la faculte de theo¬
les frãchises/ droictz/ ⁊ libertez dicelle.	les franchises/ droictz/ et libertez d’icelle.
Ung des Seigneurs de Berne luy dist:	Ung des Seigneurs de Berne luy dist:
licẽce a uostre superieur de parler cõtre la	licence a vostre superieur de parler contre la
uous offrir de maintenir uostre cas de¬	vous offrir de maintenir vostre cas de¬
uãt tous par la saincte escripture. Pour¬	vant tous par la saincte escripture. Pour¬
gie ⁊ licence? Respõdez cõme uous estes	gie et licence? Respondez comme vous estes
Maistre/ ou auez uous leu ⁊ trouue en la	Maistre/ ou avez vous leu et trouve en la
saĩcte escripture/ q̃ iamais ꝓphete ne hõe	saincte escripture/ que jamais prophete ne home
autre/ mesme Iesus Christ aye demande	autre/ mesme Jesus Christ aye demande
uous q̃ toute ame doibt estre subiecte au	vous que toute ame doibt estre subjecte au
glayue ⁊ a la puissãce diceluy sãs aucune	glayve et a la puissance d’iceluy sans aucune
au cõseil des Iuifz: mais aussi deuãt Pi	au conseil des Juifz: mais aussi devant Pi¬
au conseil/ ⁊ S. Estienne: aussi S. Paul	au conseil/ et Sainct Estienne: aussi Sainct Paul
deuãt tous sans faire aucune difficulte/	devant tous sans faire aucune difficulte/
a les ouyr: ⁊ mesme quãd Festus uouloit	a les ouyr: et mesme quand Festus vouloit
ceulx qui auoiẽt la cõgnoissance de ce qui	ceulx qui avoient la congnoissance de ce qui
estoit faict au tẽple. S. Paul en appella	estoit faict au temple. Sainct Paul en appella
porel ⁊ infidele q̃ deuant ceulx de Hieru¬	porel et infidele que devant ceulx de Hieru¬
loy de Dieu. Act.25. Pourtãt maintenez	loy de Dieu. Act.25. Pourtant maintenez
ce que uous auez presche/ ainsi que uous	ce que vous avez presche/ ainsi que vous
re la bouche: mais icy ou deuant tout le	re la bouche: mais icy ou devant tout le
Nostre Maistre dist/ quil nauoit rien	Nostre Maistre dist/ qu’il n’avoit rien
affaire auec leð p̃scheur/ et quil alla dire	affaire avec ledict prescheur/ et qu’il alla dire
Maistre pouoit prescher. A quoy ung	Maistre povoit prescher. A quoy ung
mensonge auoient lieu par tout: mais la	mensonge avoient lieu par tout: mais la
uerite de peu est receue/ ⁊ na este preschee	verite de peu est receue/ et n’a este preschee
tee: ⁊ plusieurs en ont este mis a mort cõe	tee: et plusieurs en ont este mis a mort come
tinuãt son propos dist/ q̃ de luy il ne uou	tinuant son propos dist/ que de luy il ne vou¬
loit ne disputer ne respondre. Car il auoit	loit ne disputer ne respondre. Car il avoit
point bestes. Et quand il seroit question	point bestes. Et quand il seroit question
droit son cas deuãt gẽs scauãs/ docteurs	droit son cas devant gens scavans/ docteurs
et autres. Et que ainsi que Iesus na¬	et autres. Et que ainsi que Jesus n’a¬
qui nestoit point son iuge/ ainsi il nestoit	qui n’estoit point son juge/ ainsi il n’estoit
Et ce qui est dit/ que toute ame soit sub¬	Et ce qui est dit/ que toute ame soit sub¬
iecte a la puissance du glayue/ quil est dit	jecte a la puissance du glayve/ qu’il est dit
doibt estre subiect. Le p̃scheur dist: Nr̃e	doibt estre subject. Le prescheur dist: Notre
tous/ de rendre raison a tout hõme en be¬	tous/ de rendre raison a tout homme en be¬
nignite. 1.Pierre.3. Et exposant cõment	nignite. 1.Pierre.3. Et exposant comment
Ducz/ ⁊ autres Seigͬs/ ⁊ nõ du glayue	Ducz/ et autres Seigneurs/ et non du glayve
lhistoire de la passiõ/ que nostre seigneur	l’histoire de la passion/ que nostre seigneur
Iesus a respondu deuant Pilate: et S.	Jesus a respondu devant Pilate: et Sainct
rẽt iamais estre remis a S. Pierre/ ne S.	rent jamais estre remis a Sainct Pierre/ ne Sainct
Mais promptement tous ont respondu/	Mais promptement tous ont respondu/
ainsi que nostre Seigneur leur auoit cõ¬	ainsi que nostre Seigneur leur avoit com¬
a qui tous les aduersaires ne pourroient	a qui tous les adversaires ne pourroient
respondre/ si uous auez p̃sche la uerite:	respondre/ si vous avez presche la verite:
⁊ maintenez par lescripture ce que uous	et maintenez par l’escripture ce que vous
si grãs clercz ⁊ contre si scauãs/ tãt plus	si grans clercz et contre si scavans/ tant plus
cõtre les petis. Et nest assez dauoir pres¬	contre les petis. Et n’est assez d’avoir pres¬
che et pouoir prescher par tout: mais po¬	che et povoir prescher par tout: mais po¬
ce quon a presche. Nostre Maistre dist/	ce qu’on a presche. Nostre Maistre dist/
licence de son superieur/ ⁊ que il ne le po¬	licence de son superieur/ et que il ne le po¬
uoit ne deuoit faire/ requerant (si lon luy	voit ne devoit faire/ requerant (si l’on luy
que iamais nauoit parle cõtre Messieurs	que jamais n’avoit parle contre Messieurs
petit ⁊ grand conseil.	petit et grand conseil.
Par le cõsentemẽt des Ambassadeurs	Par le consentement des Ambassadeurs
puys que Messieurs ne uouloiẽt la cause	puys que Messieurs ne vouloient la cause
conseil/ cõbien quilz fussent priez de tout	conseil/ combien qu’ilz fussent priez de tout
le conseil de uouloir poursuyure nostre	le conseil de vouloir poursuyvre nostre
Lon alla uers mõsieur le Uicaire/ Loffi	L’on alla vers monsieur le Vicaire/ L’offi¬
ung ou plusieurs de eulx au beau pere.	ung ou plusieurs de eulx au beau pere.
Lesquelz ont refuse/ disãs: que nullemẽt	Lesquelz ont refuse/ disans: que nullement
loient que nostre Maistre fust relache/ ⁊	loient que nostre Maistre fust relache/ et
ny auoit autre ordre/ et que Messieurs	n’y avoit autre ordre/ et que Messieurs
les Ambassadeurs instamment deman¬	les Ambassadeurs instamment deman¬
de Geneue sãs iustice: le Mardy .xxuii.	de Geneve sans justice: le Mardy .xxvii.
demanderent iustice. Et nostre Maistre	demanderent justice. Et nostre Maistre
aduerty que personne des Ecclesiasticq̃s	adverty que personne des Ecclesiasticques
droit le mieulx quil pourroit/ ⁊ ainsi a	droit le mieulx qu’il pourroit/ et ainsi a
¶ Sensuyuent les articles propo¬	¶ S’ensuyvent les articles propo¬
sez par Messieurs de Berne/ qͥ ont	sez par Messieurs de Berne/ qui ont
dedans leglise Cathedrale de sainct	dedans l’eglise Cathedrale de sainct
par nostre Maistre.	par nostre Maistre.
Le premier.	Le premier.
partirent la robbe de Nostre Seigñr Ie¬	partirent la robbe de Nostre Seigneur Je¬
sent: les premiers sont les Allemans/ les	sent: les premiers sont les Allemans/ les
autres sont les Uaudoys/ les Arriens/ ⁊	autres sont les Vaudoys/ les Arriens/ et
Respõse de nostre Maistre.	Response de nostre Maistre.
ne sceuz iamais de quel pays ne quelles	ne sceuz jamais de quel pays ne quelles
gens estoient lesdictz bourreaulx/ ⁊ nen	gens estoient lesdictz bourreaulx/ et n’en
Le second.	Le second.
⁊ Samedy sõt pires q̃ les Iuifz/ Turcz/	et Samedy sont pires que les Juifz/ Turcz/
⁊ chiens enragez: ⁊ encore plus meschãtz	et chiens enragez: et encore plus meschantz
Response.	Response.
me de France le porte. Toutesfois q̃ par	me de France le porte. Toutesfois que par
cela nentendz auoir blasme ne oultrage	cela n’entendz avoir blasme ne oultrage
tre: car ie ne presche que a ceulx de ceste	tre: car je ne presche que a ceulx de ceste
Le troysiesme.	Le troysiesme.
Les meschãtz hereticques modernes en¬	Les meschantz hereticques modernes en¬
triers qui mangẽt la chair le Uendredy/	triers qui mangent la chair le Vendredy/
Response.	Response.
La coustume de ce pays ⁊ de France est	La coustume de ce pays et de France est
Samedy. Parquoy ay presche que ceulx	Samedy. Parquoy ay presche que ceulx
diroy ie si ie retournoye prescher/ cõbien	diroy je si je retournoye prescher/ combien
que ie ne nomme personne.	que je ne nomme personne.
Tous ceulx qͥ lisent la saincte escripture	Tous ceulx qui lisent la saincte escripture
mans/ et yurongnes/ blasphemateurs/	mans/ et yvrongnes/ blasphemateurs/
meschãtz/ meurtriers ⁊ larrõs. Et ceulx	meschantz/ meurtriers et larrons. Et ceulx
Dieu les punira.	Dieu les punira.
Au pays de France est defendu/ parquoy	Au pays de France est defendu/ parquoy
ie lay presche. Toutesfois ie nay nomme	je l’ay presche. Toutesfois je n’ay nomme
meschantz/ larrons/ meurtriers/ ⁊ si ne le	meschantz/ larrons/ meurtriers/ et si ne le
Le cinquiesme.	Le cinquiesme.
Gardez uous de ces hereticques Alle¬	Gardez vous de ces hereticques Alle¬
uersez point auec eulx nen marchandise	versez point auec eulx n’en marchandise
auec eulx en leur donnant uoz filles: car	avec eulx en leur donnant voz filles: car
mieulx les uauldroit dõner aux chiẽs.	mieulx les vauldroit donner aux chiens.
Ie nye auoir presche ledict article.	Je nye avoir presche ledict article.
Nostre Seigͬ disant troys foys a sainct	Nostre Seigneur disant troys foys a sainct
Pierre/ sil laymoit/ cõstitua ledict sainct	Pierre/ s’il l’aymoit/ constitua ledict sainct
toute puyssance ecclesiasticque. Au con¬	toute puyssance ecclesiasticque. Au con¬
ticques modernes de ceste nouuelle loy/	ticques modernes de ceste nouvelle loy/
qui ne ueulẽt obeyr ne au Pape/ ne aux	qui ne veulent obeyr ne au Pape/ ne aux
res/ ou Prestres. Telz qui ne ueulent a	res/ ou Prestres. Telz qui ne veulent a
marquez diceluy/ ⁊ sont pires que chiens	marquez d’iceluy/ et sont pires que chiens
enragez/ meschantz/ traistres/ larrons/	enragez/ meschantz/ traistres/ larrons/
mis au gibet.	mis au gibet.
Si ie lay presche/ ie lay presche tant seu¬	Si je l’ay presche/ je l’ay presche tant seu¬
lemẽt au peuple de Geneue/ pour la cor¬	lement au peuple de Geneve/ pour la cor¬
en respondray.	en respondray.
Ie suis detenu ⁊ garde a cause dune sor¬	Je suis detenu et garde a cause d’une sor¬
te de gens qui ne ualent guaires.	te de gens qui ne valent guaires.
Ie nay point presche cela. Bien ay ie dit	Je n’ay point presche cela. Bien ay je dit
sieurs de Berne/ nestoiẽt pas de grande	sieurs de Berne/ n’estoient pas de grande
ualeur.	valeur.
ont accepte ce qui a este confesse tant qui	ont accepte ce qui a este confesse tant qui
estre admis a prouuer ce q̃ par la partie a	estre admis a prouver ce que par la partie a
este nye. Disans oultre que Messieurs	este nye. Disans oultre que Messieurs
qui selon la parolle de Dieu usent des	qui selon la parolle de Dieu usent des
en rendãs graces/ sans faire distinction	en rendans graces/ sans faire distinction
entre iour ⁊ iour/ ⁊ uiande ⁊ uiande: soit	entre jour et jour/ et viande et viande: soit
chair/ ⁊ lisent les sainctes escriptures en	chair/ et lisent les sainctes escriptures en
obeyr a Dieu que au Pape/ des ordon¬	obeyr a Dieu que au Pape/ des ordon¬
nances duquel cõme cõtraires a Dieu/	nances duquel comme contraires a Dieu/
reforgent/ ne tiennent cõpte: ayans assez	reforgent/ ne tiennent compte: ayans assez
cõmande ⁊ ordonne. Lequel ilz tiennent	commande et ordonne. Lequel ilz tiennent
estre seul chef de leglise ⁊ grand ⁊ souue	estre seul chef de l’eglise et grand et souve¬
ne ouyr que ceulx qui purement portent	ne ouyr que ceulx qui purement portent
ticles auoir este preschez contre eulx/ sin¬	ticles avoir este preschez contre eulx/ sin¬
gulierement en ce que le beau pere a dit:	gulierement en ce que le beau pere a dit:
iniure a eulx faicte/ demãdãs qͥl respõde	injure a eulx faicte/ demandans qu’il responde
uray cõme il la presche/ ⁊ cõe en p̃schant	vray comme il l’a presche/ et come en preschant
sest offert. A quoy nr̃e Maistre a rñdu/	s’est offert. A quoy notre Maistre a repondu/
⁊ prins des escriptures: ⁊ quand il seroit	et prins des escriptures: et quand il seroit
quil pourroit. Messieurs oyãs ce ont	qu’il pourroit. Messieurs oyans ce ont
dit quil parloit mal. Car ce qͥl auoit p̃sche	dit qu’il parloit mal. Car ce qu’il avoit presche
scauroit mõstrer quil soit ainsi ꝑ la saĩcte	scauroit monstrer qu’il soit ainsi par la saincte
traditiõs ⁊ ordonnãces repugnãtes a la	traditions et ordonnances repugnantes a la
parolle de Dieu/ prenans celles qui sont	parolle de Dieu/ prenans celles qui sont
estoient telz cõe les articles p̃schez portẽt	estoient telz come les articles preschez portent
dent q̃ iustice leur soit administree dune	dent que justice leur soit administree d’une
telle qͥl fauldroit estre faicte de eulx silz	telle qu’il fauldroit estre faicte de eulx s’ilz
la grosse iniure faicte a eulx. Et sur ce	la grosse injure faicte a eulx. Et sur ce
prouuer ce qui auoit este nye/ qui furent	prouver ce qui avoit este nye/ qui furent
ꝓduictz deuãt nr̃e Maistre ⁊ la iurerẽt/	produictz devant notre Maistre et la jurerent/
rien dire cõtre iceulx/ lequel respõdit que	rien dire contre iceulx/ lequel respondit que
examinez/ ⁊ q̃ iustice leur fust ministree.	examinez/ et que justice leur fust ministree.
Nostre Maistre aussi demãda q̃ selon	Nostre Maistre aussi demanda que selon
⁊ iustice luy fust administree. Les tes¬	et justice luy fust administree. Les tes¬
suyuãt qui fut le .xxix. de Iãuier Mes¬	suyvant qui fut le .xxix. de Janvier Mes¬
sieurs les Ambassadeurs demãderẽt que	sieurs les Ambassadeurs demanderent que
fession ⁊ les ꝓbations des articles/ cõme	fession et les probations des articles/ comme
fut interrogue par Messieurs du cõseil/	fut interrogue par Messieurs du conseil/
sil uouloit autre chose dire ne proposer	s’il vouloit autre chose dire ne proposer
Lequel dit quil nẽtendoit (cõe plusieurs	Lequel dit qu’il n’entendoit (come plusieurs
gemẽt ⁊ deuãt son iuge. Neãtmoins quil	gement et devant son juge. Neantmoins qu’il
auoit souuenãce de ce que S. Pierre a cõ	avoit souvenance de ce que Sainct Pierre a com¬
raison a ung chascun de sa foy. Et pour¬	raison a ung chascun de sa foy. Et pour¬
⁊ par icelle de uouloir respõdre/ sans sor	et par icelle de vouloir respondre/ sans sor¬
tir hors dicelle: priant humblemẽt Mes¬	tir hors dicelle: priant humblement Mes¬
Messieͬs de Berne/ quilz prinssent tout	Messieurs de Berne/ qu’ilz prinssent tout
Car mesme a Paris en Sorbõne lon met	Car mesme a Paris en Sorbonne l’on met
en auãt beaucop de ꝓpos en disputation	en avant beaucop de propos en disputation
prioit Messieurs de prẽdre tout en la bõ¬	prioit Messieurs de prendre tout en la bon¬
cune chose qui fut au desplaisir ⁊ deshon	cune chose qui fut au desplaisir et deshon¬
neur de lexcellence de Messieurs de Ber	neur de l’excellence de Messieurs de Ber¬
sans deroguer a leurs droictz ⁊ actiõ ont	sans deroguer a leurs droictz et action ont
disputast/ ⁊ par les escriptures mist son	disputast/ et par les escriptures mist son
cas en auant. Et ung des Predicãtz	cas en avant. Et ung des Predicantz
Dieu/ qui uous a dõne le coeur de uou¬	Dieu/ qui vous a donne le coeur de vou¬
ce quauez presche et selon la doctrine de	ce qu’avez presche et selon la doctrine de
saĩct Pierre cõment en auiez este requis	sainct Pierre comment en aviez este requis
sommes tous faictz a limage de Dieu ⁊	sommes tous faictz a l’image de Dieu et
lhonneur de ce bon pere qui nous a tous	l’honneur de ce bon pere qui nous a tous
creez/ pour lamour de Iesus qui nous a	creez/ pour l’amour de Jesus qui nous a
grande importãce/ quon doibt biẽ peser:	grande importance/ qu’on doibt bien peser:
rite parlons amiablemẽt ensemble/ et ne	rite parlons amiablement ensemble/ et ne
demandons que lhonneur ⁊ la gloire de	demandons que l’honneur et la gloire de
Et tãt que puys uoꝰ supplie q̃ ne parlez	Et tant que puys vous supplie que ne parlez
