¶ Sensuyuẽt plusieurs	¶ S'ensuyvent plusieurs
¶ Le sainct sabbath/ te fault sainctifier	¶ Le sainct sabbath/ te fault sainctifier
Et labourer/ six iours de la sepmaine	Et labourer/ six jours de la sepmaine
En bien faisant/ a tous sans ty fier	En bien faisant/ a tous sans t'y fier
Uoyla cõment/ le chrestien se meine:	Voyla comment/ le chrestien se meine:
Sabbatizer/ cest magnifier dieu:	Sabbatizer/ c'est magnifier dieu:
Soy reposant/ en luy tout temps ⁊ lieu	Soy reposant/ en luy tout temps et lieu
En toute guise/	En toute guise/
Tu sabbatize/	Tu sabbatize/
Quand tu mesprise	Quand tu mesprise
Tout pour ouyr/ la saincte loy:	Tout pour ouyr/ la saincte loy:
Or uoy ⁊ uise/	Or voy et vise/
Que la loy mise/	Que la loy mise/
De par moyse/	De par moyse/
Contient les oeuures ⁊ la foy.	Contient les oeuvres et la foy.
¶ Le .iiii. cõmandement.	¶ Le .iiii. commandement.
¶ Dieu te promect/ de uiure lõguemẽt	¶ Dieu te promect/ de vivre longuement
En hõnorant/ humblemẽt pere ⁊ mere	En honnorant/ humblement pere et mere
Qui contreuient/ a ce commandement	Qui contrevient/ a ce commandement
Par la loy doibt/ mourir d◊ mort amere	Par la loy doibt/ mourir de mort amere
Et qui son pere/ aymera plus q̃ Christ	Et qui son pere/ aymera plus que Christ
Digne il nest pas/ dauoir le nom escrit	Digne il n'est pas/ d'avoir le nom escrit
Au ciel supere/	Au ciel supere/
Ou dieu impere/	Ou dieu impere/
Qui est le pere/	Qui est le pere/
Auquel sur tout/ fault obeir:	Auquel sur tout/ fault obeir:
Mais la uipere/	Mais la vipere/
Uient ⁊ propere/	Vient et propere/
Par uitupere/	Par vitupere/
Qui nous faict tous desobeir.	Qui nous faict tous desobeir.
¶ Le .u. cõmandement.	¶ Le .v. commandement.
¶ Tu ne seras/ homicide de corps	¶ Tu ne seras/ homicide de corps
Ne de tõ cueͬ/ par hayne ⁊ faulse enuie	Ne de ton cueur/ par hayne et faulse envie
Aux ennemys/ feras paix ⁊ accordz	Aux ennemys/ feras paix et accordz
Priant pour eulx/ tant q̃ seras en uie	Priant pour eulx/ tant que seras en vie
Rendz bien poͬ mal/ a tous par charite.	Rendz bien pour mal/ a tous par charite.
Souffrãt iniure/ aux tẽps de aduersite	Souffrant injure/ aux temps de adversite
Laisse uengeance/	Laisse vengeance/
A la puissance/	A la puissance/
Par ordonnance/	Par ordonnance/
Elle te doibt/ raison ⁊ droiet:	Elle te doibt/ raison et droiet:
De grand souffrance/	De grand souffrance/
Uient patience/	Vient patience/
Et esperance/	Et esperance/
Qui ne confond en nul endroit.	Qui ne confond en nul endroit.
¶ Le .ui. cõmandement.	¶ Le .vi. commandement.
¶ Tu ne seras/ iamais fornicateur	¶ Tu ne seras/ jamais fornicateur
Par oeuure en faict/ ou par uile pensee	Par oeuvre en faict/ ou par vile pensee
Mais marier/ te fault cest le plus seur	Mais marier/ te fault c'est le plus seur
Contre la chair/ bien nourrie ⁊ pensee:	Contre la chair/ bien nourrie et pensee:
Peu de gens ont le don de chastete:	Peu de gens ont le don de chastete:
Mais mariage/ est plein dhõnestete	Mais mariage/ est plein d'honnestete
Et en tout aage/	Et en tout age/
Tenir mesnage/	Tenir mesnage/
En mariage:	En mariage:
Est trop plus sainct que paillarder:	Est trop plus sainct que paillarder:
Concubinage/	Concubinage/
Faict grand oultrage/	Faict grand oultrage/
Au sainct usage/	Au sainct usage/
Qui ne ueult point se marier.	Qui ne veult point se marier.
¶ Le .uii. cõmandement.	¶ Le .vii. commandement.
¶ Nulle saison/ tu ne seras larron	¶ Nulle saison/ tu ne seras larron
Des biẽs daultruy/ heritage ou pecune	Des biens d'aultruy/ heritage ou pecune
Si tu les as/ rendz les cest la raison	Si tu les as/ rendz les c'est la raison
Sans retenir/ du ꝓchain chose aucune:	Sans retenir/ du prochain chose aucune:
Si tu nas rien/ besongne de tes mains	Si tu n'as rien/ besongne de tes mains
Poͬ en dõner/ aux paoures tes ꝓchaĩs	Pour en donner/ aux paovres tes prochains
Laisse auarice/	Laisse avarice/
Pleine de uice/	Pleine de vice/
Et son office/	Et son office/
Cest la racine/ il est certain	C'est la racine/ il est certain
Et la nourrice/	Et la nourrice/
De liniustice/	De l'injustice/
Que par malice/	Que par malice/
On faict a son frere germain.	On faict a son frere germain.
¶ Le .uiii. cõmandement.	¶ Le .viii. commandement.
Ung faulx tesmoĩg/ ne seras nulle part	Ung faulx tesmoing/ ne seras nulle part
Mais uerite/ diras sans nul mẽsonge.	Mais verite/ diras sans nul mensonge.
Perdu sera/ qui menterie espart	Perdu sera/ qui menterie espart
Dauid le dit/ cela nest point mõ songe	David le dit/ cela n'est point mon songe
Tu doibs dõner/ aux desolez confort	Tu doibs donner/ aux desolez confort
Sans accepter/ en iugemẽt le fort	Sans accepter/ en jugement le fort
Ne le debille/	Ne le debille/
Ne le pupille/	Ne le pupille/
Ne ta famille/	Ne ta famille/
Mais tu diras/ uray pour leurs faictz	Mais tu diras/ vray pour leurs faictz
Tout hõme est uile/	Tout homme est vile/
Et inutile/	Et inutile/
Quand il mutile/	Quand il mutile/
La uerite/ en dictz ou faiz.	La verite/ en dictz ou faiz.
¶ Le .ix. cõmandement.	¶ Le .ix. commandement.
¶ De cõuoiter/ gardez uoꝰ mes amys	¶ De convoiter/ gardez vous mes amys
Femme daultruy/ fille ne chamberiere	Femme d'aultruy/ fille ne chamberiere
Nostre seigneur/ ce mandement a mis	Nostre seigneur/ ce mandement a mis
Pour nous tenir/ en charite entiere	Pour nous tenir/ en charite entiere
Nul ne uouldroit/ quõ luy fit desplaisir	Nul ne vouldroit/ qu'on luy fit desplaisir
Mais quõ luy fist tout seruice: ⁊ plaisir	Mais qu'on luy fist tout service: et plaisir
En tout affaire/	En tout affaire/
Faictz a ton frere/	Faictz a ton frere/
Ce que a toy faire/	Ce que a toy faire/
Tu uouldroys/ par dilection	Tu vouldroys/ par dilection
Sans luy meffaire/	Sans luy meffaire/
Ne luy desplaire/	Ne luy desplaire/
Ains luy complaire/	Ains luy complaire/
Soubz Iesus christ/ ⁊ son sermon.	Soubz Jesus christ/ et son sermon.
¶ Le .x. cõmandement.	¶ Le .x. commandement.
¶ Ce mãdemẽt/ dieu noꝰ ueult repeter	¶ Ce mandement/ dieu nous veult repeter
Et en sa loy/ deux fois le noꝰ replicque	Et en sa loy/ deux fois le nous replicque
Poͬ demõstrer, que nul sans cõuoiter	Pour demonstrer, que nul sans convoiter
Uiure ne peult/ car nr̃e chair sapplicq̃	Vivre ne peult/ car nostre chair s'applicque
A batailler/ cõtre nostre esperit	A batailler/ contre nostre esperit
Dont nul ne peult/ tãt soit sage ⁊ perit	Dont nul ne peult/ tant soit sage et perit
Auoir uictoire/	Avoir victoire/
Sans en Christ croire/	Sans en Christ croire/
Il est notoire/	Il est notoire/
Quil a pour nous/ la loy parfaict:	Qu'il a pour nous/ la loy parfaict:
Cest laccessoire/	C'est l'accessoire/
Seul meritoire/	Seul meritoire/
Pour auoir gloire/	Pour avoir gloire/
Qui cela croit/ il est parfaict.	Qui cela croit/ il est parfaict.
¶ Chãson des articles de la foy/ sur	¶ Chanson des articles de la foy/ sur
le chãt faulte dargẽt/ la malheu¬	le chant faulte d'argent/ la malheu¬
reuse chãce/ Le destourbier ð tout ⁊c.	reuse chance/ Le destourbier de tout etc.
A	A¬
U grãd cõseil, par diuĩe ordõnãce	U grand conseil, par divine ordonnance
fut decrete/ q̃ au pere entieremẽt	fut decrete/ que au pere entierement
Chascun croyroit/ ⁊ au filz sa puissance	Chascun croyroit/ et au filz sa puissance
Par le ieul quel/ il a le firmament	Par le jeul quel/ il a le firmament
Faict ⁊ cree/ auec son ornement	Faict et cree/ avec son ornement
La terre aussi/ cõme Moses recueille	La terre aussi/ comme Moses recueille
Cela ie croy/ de cueur certainement	Cela je croy/ de cueur certainement
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ En certain temps/ le pere de clemẽce	¶ En certain temps/ le pere de clemence
Nous a donne/ son filz benignement	Nous a donne/ son filz benignement
Pour satisfaire/ a luy de nostre offense	Pour satisfaire/ a luy de nostre offense
Et fut cõceu/ du saĩct esprit urayemet	Et fut conceu/ du sainct esprit vrayemet
Nay de marie/ ⁊ nourry purement	Nay de marie/ et nourry purement
Uierge aussi mere/ obstãt q̃ soit merueil	Vierge aussi mere/ obstant que soit merveil¬
(le	le
Ie croy cela/ de cueur certainemẽt	Je croy cela/ de cueur certainement
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ Il a souffert ðssoubz pilate oultrãce	¶ Il a souffert dessoubz pilate oultrance
Qui le liura/ a mort iniustement	Qui le liura/ a mort injustement
Pẽdant en croix/ ou il ha patiẽce	Pendant en croix/ ou il ha patience
Auecques deux/ larrons honteusemẽt/	Avecques deux/ larrons honteusement/
Helas cestoit/ pour nostre sauuement	Helas c'estoit/ pour nostre sauvement
Le centenier/ ce uoyant sesmerueille	Le centenier/ ce voyant s'esmerveille
Ie croy cela/ de cueur certainemẽt	Je croy cela/ de cueur certainement
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ Ap̃s sa mort/ Ioseph ꝑ grãd cõstãce	¶ Apres sa mort/ Joseph par grand constance
Ensepuelit/ le corps de linnocent:	Ensepvelit/ le corps de l'innocent:
De la descend/ es enfers sansdoubtãce	De la descend/ es enfers sans doubtance
Pour deliurer/ ses esleuz de torment	Pour delivrer/ ses esleuz de torment
Or au tiers iour le corps diuinement	Or au tiers jour le corps divinement
Ressuscita/ mais son pere lesueille	Ressuscita/ mais son pere l'esveille
Ie croy cela: de cueur certainement	Je croy cela: de cueur certainement
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ Quarante iours/ apres la deliurãce	¶ Quarante jours/ apres la delivrance
Es cieulx monta/ uictorieusement	Es cieulx monta/ victorieusement
De la uiendra/ en sa grãde excellence/	De la viendra/ en sa grande excellence/
Des uifz ⁊ mors/ faire le iugement	Des vifz et mors/ faire le jugement
Qui croyt est uif/ ⁊ ne meurt nullemẽt	Qui croyt est vif/ et ne meurt nullement
De croire en Christ/ frere ie te conseille	De croire en Christ/ frere je te conseille
Ie croy cela/ de cueur certainement/	Je croy cela/ de cueur certainement/
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ Au sainct esprit/ tu auras ta creãce	¶ Au sainct esprit/ tu auras ta creance
Lequel regit/ leglise sainctement	Lequel regit/ l'eglise sainctement
Elle contiẽt/ les sainctz qui ont fiãce	Elle contient/ les sainctz qui ont fiance
En Iesus christ/ croyant parfaictemẽt	En Jesus christ/ croyant parfaictement
Remission/ tout mort finablemẽt	Remission/ tout mort finablement
Prẽdra sa chair/ qui dort ou qͥ sõmeille	Prendra sa chair/ qui dort ou qui sommeille
Ie croy cela/ de cueur certainemẽt	Je croy cela/ de cueur certainement
Faulte de foy/ cest douleur nõ pareille.	Faulte de foy/ c'est douleur non pareille.
¶ Aultre chãson nouuelle sur le chãt	¶ Aultre chanson nouvelle sur le chant
Lãguir my faictz sãs tauoir offẽsee.	Languir my faictz sans t'avoir offensee.
L	L¬
E uieil serpẽt/ ꝑ uenimeux sibile	E vieil serpent/ par venimeux sibile
Nr̃e mere Eue/ ha tant araisonne	Nostre mere Eve/ ha tant araisonne
Quelle mangea/ du fruict empoisonne	Quelle mangea/ du fruict empoisonne
Car elle fut/ en la foy moult debile.	Car elle fut/ en la foy moult debile.
¶ Le pere Adam/ de croyre trop facile	¶ Le pere Adam/ de croyre trop facile
Fut par sa femme/ alors tant blasonne	Fut par sa femme/ alors tant blasonne
Et sermõne/ quil sest abandonne	Et sermonne/ qu'il s'est abandonne
A en mãger, las que lhõme est fragile.	A en manger, las que l'homme est fragile.
¶ Lors a la mort/ criminelle ⁊ ciuile	¶ Lors a la mort/ criminelle et civile
Par son peche/ ⁊ mal fut condamne	Par son peche/ et mal fut condamne
Et reiecte/ de dieu comme damne	Et reiecte/ de dieu comme damne
Car il nestoit/ au monde rien si uile.	Car il n'estoit/ au monde rien si vile.
¶ Poͬ garder lhuys/ ð la tres haulte uil	¶ Pour garder l'huys/ de la tres haulte vil¬
(le	le
Ung cherubin/ fut la determine	Ung cherubin/ fut la determine
Tenãt au poĩg/ ung glaifue desgaine	Tenant au poing/ ung glaifve desgaine
Glaifue trẽchant/ ⁊ glaifue uersatile.	Glaifve trenchant/ et glaifve versatile.
¶ Pour appaiser/ de dieu lire indicible	¶ Pour appaiser/ de dieu l'ire indicible
Le bon Abel/ de foy illumine	Le bon Abel/ de foy illumine
Sacrifia: son peche pardonne	Sacrifia: son peche pardonne
Estre ne peult/ car lhõme est inutile.	Estre ne peult/ car l'homme est inutile.
¶ Oblations de pains/ faictz de simile	¶ Oblations de pains/ faictz de simile
Et sacrifice/ a dieu fut amene	Et sacrifice/ a dieu fut amene
ð beufz ð ueaux/ mais tout biẽ demene	de beufz de veaux/ mais tout bien demene
De appaiser dieu/ a Mose est ĩpossible.	De appaiser dieu/ a Mose est impossible.
¶ Lhõe nauoit/ en soy rien de possible	¶ L'homme n'avoit/ en soy rien de possible
Et son proces/ estoit ia fulmine	Et son proces/ estoit ja fulmine
Il luy fault donc/ Christ incontamine	Il luy fault donc/ Christ incontamine
Poͬ rappaiser/ lire de dieu horrible.	Pour rappaiser/ lire de dieu horrible.
¶ Au temps preueu: du celeste concile	¶ Au temps preveu: du celeste concile
En bethleem/ le filz de dieu est ne	En bethleem/ le filz de dieu est ne
Pour noꝰ sauuer/ lenfant noꝰ est dõne	Pour nous sauver/ l'enfant nous est donne
De luy tout seul/ nostre salut distile.	De luy tout seul/ nostre salut distile.
¶ Le sainct enfant/ cõme dit leuangile	¶ Le sainct enfant/ comme dit l'evangile
Dedãs la cresche/ il fut la recline	Dedans la cresche/ il fut la recline
Humilie/ pour nous ⁊ incline	Humilie/ pour nous et incline
Pense a cela, ⁊ croy hõme labile.	Pense a cela, et croy homme labile.
¶ De sõ pur sãg/ pardõ decoule ⁊ fils	¶ De son pur sang/ pardon decoule et fils
Car cest celuy/ que le pere a signe	Car c'est celuy/ que le pere a signe
Et designe/ ⁊ qui est assigne	Et designe/ et qui est assigne
Poͬ par sa mort/ sauuer son filz ⁊ fille.	Pour par sa mort/ sauver son filz et fille.
¶ Qui croit cela/ il est de la famille	¶ Qui croit cela/ il est de la famille
De Iesus christ/ ⁊ est de dieu mene	De Jesus christ/ et est de dieu mene
Et son peche/ luy est tout condonne	Et son peche/ luy est tout condonne
Et pardonne/ par foy tout est loysible.	Et pardonne/ par foy tout est loysible.
¶ Il a brise/ par son sang le sigille	¶ Il a brise/ par son sang le sigille
De peche/ qui estoit enracine	De peche/ qui estoit enracine
En nostre chair/ helas poure obstine	En nostre chair/ helas povre obstine
Uiens a Iesus/ foy ten apprẽt le stile.	Viens a Jesus/ foy t'en apprent le stile.
¶ Chãte ðsprit/ quãd tu coux ou tu file	¶ Chante d'esprit/ quand tu coux ou tu file
Et note bien/ ce que iay ramene	Et note bien/ ce que j'ay ramene
En la chanson/ sil est bien retourne	En la chanson/ s'il est bien retourne
Et entendu/ il test sainct ⁊ utile.	Et entendu/ il t'est sainct et utile.
¶ Aultre chanson/ sur le chãt Tant	¶ Aultre chanson/ sur le chant Tant
que uiuray en cage florissant Ie ser	que vivray en cage florissant Je ser
uiray le dieu damours puissant ⁊c.	viray le dieu d'amours puissant etc.
T	T¬
Ant que uiuray/ en eage florissãt	Ant que vivray/ en eage florissant
Ie seruiray/ le seigñr tout puissãt	Je serviray/ le seigneur tout puissant
En faictz/ en ditz/ ⁊ chãsõs par accordz	En faictz/ en ditz/ et chansons par accordz
Le uieil serpent/ ma tenu languissant	Le vieil serpent/ ma tenu languissant
Mais Iesus christ/ ma faict resiouissãt	Mais Jesus christ/ ma faict resjouissant
En exposãt/ pour moy sõ sãg ⁊ corps:	En exposant/ pour moy son sang et corps:
Son alliance/	Son alliance/
Cest ma fiance/	C'est ma fiance/
Il est tout mien/	Il est tout mien/
Ie suis tout sien/	Je suis tout sien/
Fy de tristesse/	Fy de tristesse/
Uiue liesse/	Vive liesse/
Puis quen mon dieu/ ha tant de bien.	Puis qu'en mon dieu/ ha tant de bien.
¶ Quand ie le ueulx/ seruir ⁊ hõnorer	¶ Quand je le veulx/ servir et honnorer
Et par esprit/ son sainct nom decorer	Et par esprit/ son sainct nom decorer
Sa loyaulte rememorer souuent	Sa loyaulte rememorer souvent
Pharisiens/ nen font que murmurer	Pharisiens/ n'en font que murmurer
Mais nr̃e amoͬ/ nẽ scauroit moĩsdurer	Mais nostre amour/ n'en scauroit moins durer
Autant ou plus/ en emporte le uent	Autant ou plus/ en emporte le vent
Maulgre enuie/	Maulgre envie/
Toute ma uie/	Toute ma vie/
Le seruiray/	Le serviray/
Et aymeray/	Et aymeray/
Cest le premier/	C'est le premier/
Cest le dernier/	C'est le dernier/
A tout iamais/ lhonnoreray.	A tout jamais/ l'honnoreray.
¶ O Israel/ le seigneur dieu ton dieu	¶ O Israel/ le seigneur dieu ton dieu
Dũg bõ Moses/ ta doulcemẽt poͬueu	D'ung bon Moses/ ta doulcement pourveu
Qui de prison/ ta mis en liberte	Qui de prison/ t'a mis en liberte
Ung Iosue/ test bien tost suruenu	Ung Josue/ t'est bien tost survenu
Tu as Dauid/ qui pour toy a uaincu	Tu as David/ qui pour toy a vaincu
Le Goliad/ qui tant ta moleste	Le Goliad/ qui tant ta moleste
Cest Iesus Christ/	C'est Jesus Christ/
Dont tant escript/	Dont tant escript/
Ont Daniel/	Ont Daniel/
Ezechiel/	Ezechiel/
Et Ysaie/	Et Ysaie/
Et Hieremie/	Et Hieremie/
Le filz de dieu/ uerbe eternel.	Le filz de dieu/ verbe eternel.
¶ Il ha poͬ moy/ tout son sãg respãdu	¶ Il ha pour moy/ tout son sang respandu
Crucifie/ sur le boys estendu:	Crucifie/ sur le boys estendu:
Par les Iuifz/ il est mort innocent	Par les Juifz/ il est mort innocent
Sa dure mort/ a Satan confondu:	Sa dure mort/ a Satan confondu:
Et dechasse/ la mort a cõuaincu	Et dechasse/ la mort a convaincu
Au lieu de mort/ grace ⁊ biẽ noꝰ en uiẽt	Au lieu de mort/ grace et bien nous en vient
Cest le seigneur/	C'est le seigneur/
De tout honneur/	De tout honneur/
Il est la sus/	Il est la sus/
Au hault des cieulx/	Au hault des cieulx/
Auec le pere/	Avec le pere/
Auquel iespere/	Auquel j'espere/
La gist ma foy/ de mieulx en mieulx.	La gist ma foy/ de mieulx en mieulx.
¶ En son pur sãg/ a purge noz pechez	¶ En son pur sang/ a purge noz pechez
Et noz langueurs/ y ont este lauez	Et noz langueurs/ y ont este lavez
Par luy chascũ/ de nous est pur ⁊ net	Par luy chascun/ de nous est pur et net
Tous ses esleuz/ y sont mundifiez	Tous ses esleuz/ y sont mundifiez
Qui en luy seul/ se sont glorifiez	Qui en luy seul/ se sont glorifiez
Croyãs par foy/ q̃ luy seul est parfaict	Croyans par foy/ que luy seul est parfaict
Laigneau sans tache/	L'aigneau sans tache/
Mis a latache/	Mis a l'atache/
Pour nettoyer/	Pour nettoyer/
Et dechasser/	Et dechasser/
Aussi demettre/	Aussi demettre/
Comme le maistre/	Comme le maistre/
Le uieil Adam/ qui faict pecher.	Le vieil Adam/ qui faict pecher.
¶ Mõ doulx Iesꝰ/ a toy reqͥers pardõ	¶ Mon doulx Jesus/ a toy requiers pardon
A ioinctes mains/ par foy ⁊ nõ par don	A joinctes mains/ par foy et non par don
Le cueͬ faict tout/ ẽuers toy pardõneur	Le cueur faict tout/ envers toy pardonneur
Ie ne lattendz/ par sire ne par dom	Je ne l'attendz/ par sire ne par dom
Ne par biẽ faict/ car il nest que chardon	Ne par bien faict/ car il n'est que chardon
Gloire iattẽs/ de toy au parc dhõneur:	Gloire j'attens/ de toy au parc d'honneur:
Rien par merites/	Rien par merites/
En ces hermites/	En ces hermites/
Dieu uoit la foy/	Dieu voit la foy/
En qui ie croy/	En qui je croy/
Bon roy de gloire/	Bon roy de gloire/
Lequel ie honnore/	Lequel je honnore/
Oys loraison/ ie crie a toy.	Oys l'oraison/ je crie a toy.
¶ Aultre chãson/ sur le p̃mier pseaul	¶ Aultre chanson/ sur le premier pseaul¬
me de Dauid: qui se chante comme/	me de David: qui se chante comme/
Dont uient cela ⁊c.	Dont vient cela etc.
C	C¬
Ombiẽ sera/ lhõe fidele heureux	Ombien sera/ l'homme fidele heureux
Qui nest alle/ au ꝯseil des errãtz	Qui n'est alle/ au conseil des errantz
Et na siste/ auec les malheureux	Et n'a siste/ avec les malheureux
Aisi quõt fait/ plusieͬs docteͬs meschãs	Ainsi qu'ont fait/ plusieurs docteurs meschans
Qui se sont mis/ au ranc des ignorãs	Qui se sont mis/ au ranc des ignorans
Et assis sur/ leur chaire pestilente	Et assis sur/ leur chaire pestilente
Pour impugner/ la uerite patente.	Pour impugner/ la verite patente.
¶ Certes celuy/ qui ha sa uolunte	¶ Certes celuy/ qui ha sa volunte
Mise a garder/ la loy du grand seigñr:	Mise a garder/ la loy du grand seigneur:
Et nuict ⁊ iour/ en elle ha medite	Et nuict et jour/ en elle ha medite
Est bienheureux/ car il a pour docteur	Est bienheureux/ car il a pour docteur
Lesperit de dieu/ qui le faict seruateur	L'esperit de dieu/ qui le faict servateur
De ceste loy/ a la chair impossible	De ceste loy/ a la chair impossible
Qui au croyãt/ ꝑ Christ faicte est possi¬	Qui au croyant/ par Christ faicte est possi¬
(ble	ble
¶ Celuy sera/ cõe larbre plante	¶ Celuy sera/ come l'arbre plante
Iouxte le coͬs/ des argẽtins ruisseaux	Jouxte le cours/ des argentins ruisseaux
Qui en son temps/ fera fruict a plante	Qui en son temps/ fera fruict a plante
Ia ses fueilles/ ne aussi ses uͬs ramaux	Ja ses fueilles/ ne aussi ses verts ramaux
Ne tõberõt/ ne par uentz/ ne par eaux:	Ne tomberont/ ne par ventz/ ne par eaux:
Car le tout tient/ a larbre ⁊ sa racine	Car le tout tient/ a l'arbre et sa racine
Cest a Iesus/ ⁊ sa saincte doctrine.	C'est a Jesus/ et sa saincte doctrine.
¶ Ainsi ne fõt/ les meschãtz reprouuez	¶ Ainsi ne font/ les meschantz reprouvez
Mais ilz serõt/ cõme la pouldre au uẽ	Mais ilz seront/ comme la pouldre au vent
Deuãt la face/ au seigñr dieu soufflez	Devant la face/ au seigneur dieu soufflez
Cest ascauoir/ menez a damnement	C'est ascavoir/ menez a damnement
Sans faire tort/ a nul: mais iustement	Sans faire tort/ a nul: mais justement
Car le seigneur/ peult denier sa grace	Car le seigneur/ peult denier sa grace
A qui luy plaist/ ⁊ demonstrer sa face.	A qui luy plaist/ et demonstrer sa face.
¶ Les reprouuez/ point ne consisteront	¶ Les reprouvez/ point ne consisteront
Auec les bons/ au conseil des croyantz	Avec les bons/ au conseil des croyantz
Mais cõme gens meschãtz: bãnis serõt	Mais comme gens meschantz: bannis seront
Et mis au ranc/ des inobeissantz	Et mis au ranc/ des inobeissantz
Raison pourquoy? ilz ne sont les enfãs	Raison pourquoy? ilz ne sont les enfans
Du seigneur dieu/ ⁊ nont en luy fiance	Du seigneur dieu/ et n'ont en luy fiance
Mais en leͬs faictz/ ⁊ feincte penitẽce.	Mais en leurs faictz/ et feincte penitence.
¶ Car le seigñr/ cõgnoist qͥ est des siẽs	¶ Car le seigneur/ congnoist qui est des siens
Et des iustes/ approuue le chemin	Et des justes/ approuve le chemin
Les mescroyãs/ sont pires q̃ les chiens	Les mescroyans/ sont pires que les chiens
