¶ Articles ueritables sur les horribles/ grandz ⁊ importables abuz de la Messe papalle:	¶ Articles veritables sur les horribles/ grandz et importables abuz de la Messe papalle:
le peche. Ce q̃ par argumẽt ineuitable de S. Paul/ ie mõstre ainsi. Aux chap̃. 5.7.8. ⁊ .10. des Ebrieux. Le saĩct apostre dit: q̃ pour limperfection des sacrifices	le peche. Ce que par argument inevitable de Sainct Paul/ je monstre ainsi. Aux chapitres 5.7.8. et .10. des Ebrieux. Le sainct apostre dit: que pour l'imperfection des sacrifices
de lanciẽne loy/ falloit tous les iours recõmencer iusque a ce que il en ayt este offert ung du tout parfaict: ce qͥ a este faict une foys par Iesus Christ. Dõc ie	de l'ancienne loy/ falloit tous les jours recommencer jusque a ce que il en ayt este offert ung du tout parfaict: ce qui a este faict une foys par Jesus Christ. Donc je
demãde a tous sacrificateurs: si leur sacrifice est parfaict ou imparfaict. Sil est imparfaict/ pourquoy abusẽt ilz ainsi le paoure mõde? Sil est parfaict pour	demande a tous sacrificateurs: si leur sacrifice est parfaict ou imparfaict. S'il est imparfaict/ pourquoy abusent ilz ainsi le paovre monde? S'il est parfaict pour¬
quoy le fault il reiterer? Mettez uous en auant sacrificateurs/ et si uous auez puissance de respondre/ respondez.	quoy le fault il reiterer? Mettez vous en avant sacrificateurs/ et si vous avez puissance de respondre/ respondez.
Secondement	Secondement
en ceste malheureuse messe on a ꝓuocque quasi luniuersel mõde a idolatrie publicq̃/ quãd faulcemẽt on a dõne a entẽdre/ q̃ soubz les	en ceste malheureuse messe on a provocque quasi l'universel monde a idolatrie publicque/ quand faulcement on a donne a entendre/ que soubz les
especes de pain ⁊ de uin/ Iesus christ corporellemẽt/ reallemẽt/ ⁊ de faict/ entieremẽt ⁊ personnellemẽt en chair ⁊ en os/ aussi grãd ⁊	especes de pain et de vin/ Jesus christ corporellement/ reallement/ et de faict/ entierement et personnellement en chair et en os/ aussi grand et
parfaict cõe de p̃sent il est uiuãt/ est cõtenu ⁊ cache. Ce q̃ la saĩcte escripture ⁊ nr̃e foy pas ne noꝰ enseigne/ mais du tout est au cõtraire. Car Iesus christ apres	parfaict come de present il est vivant/ est contenu et cache. Ce que la saincte escripture et notre foy pas ne nous enseigne/ mais du tout est au contraire. Car Jesus christ apres
sa resurrectiõ est mõte au ciel/ assis a la dextre de Dieu le pere tout puissãt/ ⁊ de la uiẽdra iuger les uifz ⁊ les mortz. Aussi S. Paul aux Colos.3. escript aĩsi.	sa resurrection est monte au ciel/ assis a la dextre de Dieu le pere tout puissant/ et de la viendra juger les vifz et les mortz. Aussi Sainct Paul aux Colos.3. escript ainsi.
Si uous estes resuscitez auec Christ cerchez les choses qͥ sont en hault/ ou Christ est seand a la dextre de Dieu. Il ne dit point cerchez Christ qͥ est a la messe/ ou	Si vous estes resuscitez avec Christ cerchez les choses qui sont en hault/ ou Christ est seand a la dextre de Dieu. Il ne dit point cerchez Christ qui est a la messe/ ou
au sacraire/ mais au ciel. Parquoy il sensuit bien/ si sõ corps est au ciel/ pour ce mesme tẽps, il nest point en la terre: ⁊ sil estoit en la terre/ il ne seroit point au	au sacraire/ mais au ciel. Parquoy il s'ensuit bien/ si son corps est au ciel/ pour ce mesme temps, il n'est point en la terre: et s'il estoit en la terre/ il ne seroit point au
ciel/ car pour certain iamais ung ueritable corps/ nest q̃ en ung seul lieu pour une foys. Ce que S. Augustin a bien cõgneu quãd en parlãt de Iesus christ/	ciel/ car pour certain jamais ung veritable corps/ n'est que en ung seul lieu pour une foys. Ce que Sainct Augustin a bien congneu quand en parlant de Jesus christ/
il a ainsi escript: Donec finiatur seculum sursum dñs est: sed tamen hic nobiscum est ueritas dñi. Corpus enim in quo resurrexit in uno loco esse oportet/ ueritas autẽ eius ubiqꝫ	il a ainsi escript: Donec finiatur seculum sursum dominus est: sed tamen hic nobiscum est veritas domini. Corpus enim in quo resurrexit in uno loco esse oportet/ veritas autem ejus ubique
diffusa est. Item Fulgence escrit ainsi: Absens erat celo secundum humanam substantiã/ quum esset in terra/ ⁊ derelinquẽs terram/ quum ascẽdisset in celum: secundum uero	diffusa est. Item Fulgence escrit ainsi: Absens erat celo secundum humanam substantiam/ quum esset in terra/ et derelinquens terram/ quum ascendisset in celum: secundum vero
◊iuinam ⁊ immẽsam substantiã/ nec celum dimittens quum de celo descendit/ nec terram deserens quum ad celum ascendit. Oultre nous auõs infallible certification par	divinam et immensam substantiam/ nec celum dimittens quum de celo descendit/ nec terram deserens quum ad celum ascendit. Oultre nous avons infallible certification par
la saincte escripture Matth.24. que laduenement du filz de lhomme quand il luy plairra partir du ciel/ sera uisible ⁊ manifeste: ⁊ se aucun uoue dict/ icy	la saincte escripture Matth.24. que l'advenement du filz de l'homme quand il luy plairra partir du ciel/ sera visible et manifeste: et se aucun voue dict/ icy
est Christ/ ou la/ ne le croyez point. Iesus christ dit ne le croyez point/ ⁊ les sacrificateurs disent: Il le fault croyre. Disposez uous paoures idolatres a	est Christ/ ou la/ ne le croyez point. Jesus christ dit ne le croyez point/ et les sacrificateurs disent: Il le fault croyre. Disposez vous paovres idolatres a
recõgnoistre uostre erreur/ ⁊ confesser uerite/ ou en brief temps uous cõuiendra respõdre a ung petit traicte/ lequel (Dieu aydant) sera cõpose particulie¬	recongnoistre vostre erreur/ et confesser verite/ ou en brief temps vous conviendra respondre a ung petit traicte/ lequel (Dieu aydant) sera compose particulie¬
rement de ceste presente matiere/ si clairemẽt ⁊ apertement quil ny aura femme ne enfant qui ne congnoisse uostre damnable cecite.	rement de ceste presente matiere/ si clairement et apertement qu'il n'y aura femme ne enfant qui ne congnoisse vostre damnable cecite.
Tiercement/	Tiercement/
iceulx paoures sacrificateurs pour adiouster erreur sur erreur ont en leur frenaisie dict et enseigne apres auoir souffle ou parle sur ce	iceulx paovres sacrificateurs pour adjouster erreur sur erreur ont en leur frenaisie dict et enseigne apres avoir souffle ou parle sur ce
pain que ilz prennẽt entre leurs doigtz/ ⁊ sur le uin quilz mettent au calice quil ny demeure ny pain ny uin, mais cõme ilz parlent de	pain que ilz prennent entre leurs doigtz/ et sur le vin qu'ilz mettent au calice qu'il n'y demeure ny pain ny vin, mais comme ilz parlent de
grans ⁊ prodigieux motz/ par Transsubstantiation/ Iesus christ est soubz les accidens du pain ⁊ du uin cache ⁊ enueloppe/ qͥ est doctrine des diables/	grans et prodigieux motz/ par Transsubstantiation/ Jesus christ est soubz les accidens du pain et du vin cache et enveloppe/ qui est doctrine des diables/
cõtre toute uerite/ ⁊ apertement cõtre toute lescripture. Et ie demãde a ces gros enchaperõnez ou ont ilz inuẽte ⁊ troune ce gros mot Trãssubstãtiation?	contre toute verite/ et apertement contre toute l'escripture. Et je demande a ces gros enchaperonnez ou ont ilz invente et trouve ce gros mot Transsubstantiation?
S. Paul/ S. Matthieu/ S. Marc/ S. Luc/ ⁊ les anciẽs peres nont point ainsi parle: mais quãd ilz ont faict mẽtion de la saincte Cene de Iesus christ/ ilz ont	Sainct Paul/ Sainct Matthieu/ Sainct Marc/ Sainct Luc/ et les anciens peres n'ont point ainsi parle: mais quand ilz ont faict mention de la saincte Cene de Jesus christ/ ilz ont
apertement ⁊ simplement nõme le pain ⁊ le uin. Uoyez S. Paul comme il escript: Lhomme se espreuue soymesme/ il ne dit point uoyse a ung tondu pour	apertement et simplement nomme le pain et le vin. Voyez Sainct Paul comme il escript: L'homme se espreuve soymesme/ il ne dit point voyse a ung tondu pour
estre esprouue/ mais il dit se espreuue soymesme: puis sensuyt/ ⁊ ainsi mangeusse de ce pain/ il ne dit point mangeusse le corps de Iesus christ qui est soubz	estre esprouve/ mais il dit se espreuve soymesme: puis s'ensuyt/ et ainsi mangeusse de ce pain/ il ne dit point mangeusse le corps de Jesus christ qui est soubz
la semblance/ soubz lespece ou apparence de pain/ mais apertement ⁊ purement il dit/ mangeusse de ce pain. Or est il certain que lescripture ne use point de	la semblance/ soubz l'espece ou apparence de pain/ mais apertement et purement il dit/ mangeusse de ce pain. Or est il certain que l'escripture ne use point de
deception/ ⁊ que en icelle il ny a point de faintise/ donc il sensuyt bien que cest pain. Item en ung autre lieu il est ainsi escript. Et ung iour de sabbat	deception/ et que en icelle il n'y a point de faintise/ donc il s'ensuyt bien que c'est pain. Item en ung autre lieu il est ainsi escript. Et ung jour de sabbat
quand nous estions assemblez pour rõpre le pain. Ausquelz tant euidens passages la saincte escripture dit ⁊ prononce expressement estre pain/ non point	quand nous estions assemblez pour rompre le pain. Ausquelz tant evidens passages la saincte escripture dit et prononce expressement estre pain/ non point
espece/ apparence/ ou semblance de pain. Qui pourra donc plus soubstenir/ porter/ ⁊ endurer telz mocqueurs/ telles pestes/ faulx antechristz? Lesquelz cõme	espece/ apparence/ ou semblance de pain. Qui pourra donc plus soubstenir/ porter/ et endurer telz mocqueurs/ telles pestes/ faulx antechristz? Lesquelz comme
presumptueux ⁊ arrogans/ selon leur ordinaire coustume/ ont este si temeraires et hardis/ de conclurre ⁊ determiner au contraire. Parquoy cõme ennemys de	presumptueux et arrogans/ selon leur ordinaire coustume/ ont este si temeraires et hardis/ de conclurre et determiner au contraire. Parquoy comme ennemys de
Dieu/ et de sa saincte parolle/ a bon droict on les doibt reiecter/ et merueilleusement detester.	Dieu/ et de sa saincte parolle/ a bon droict on les doibt rejecter/ et merveilleusement detester.
Quartement/	Quartement/
le fruict de la messe est bien contraire au fruict de la saincte Cene de Iesus christ/ qui nest pas de merueilles/ car entre Christ ⁊ Belial	le fruict de la messe est bien contraire au fruict de la saincte Cene de Jesus christ/ qui n'est pas de merveilles/ car entre Christ et Belial
il nya rien commun. Le fruict de la saincte Cene de Iesus christ est publicquemẽt faire protestation de sa foy/ ⁊ en confidẽce certaine	il n'y a rien commun. Le fruict de la saincte Cene de Jesus christ est publicquement faire protestation de sa foy/ et en confidence certaine
de salut/ auoir actuelle memoire de la mort ⁊ passion de Iesus christ/ par laquelle nous sommes racheptez de dãnation et perdition. Auoir aussi souuenance	de salut/ avoir actuelle memoire de la mort et passion de Jesus christ/ par laquelle nous sommes racheptez de damnation et perdition. Avoir aussi souvenance
de la grande charite et dilection dequoy il nous a tant aymez que il a baille sa uie pour nous/ et de son sang nous a purgez. Aussi en prenãt tous dung pain	de la grande charite et dilection dequoy il nous a tant aymez que il a baille sa vie pour nous/ et de son sang nous a purgez. Aussi en prenant tous d'ung pain
⁊ dung breuuage/ nous sommes admonnestez de la charite ⁊ grande union en laquelle tous dung mesme esperit nous debuons uiure et mourir en Iesus	et d'ung breuvage/ nous sommes admonnestez de la charite et grande union en laquelle tous d'ung mesme esperit nous debvons vivre et mourir en Jesus
christ. Et cecy bien entendu resiouyst lame fidele/ la remplissant de diuine cõsolation/ en toute humilite croissante en foy de iour en iour/ se exerceant en toute	christ. Et cecy bien entendu resjouyst l'ame fidele/ la remplissant de divine consolation/ en toute humilite croissante en foy de jour en jour/ se exerceant en toute
bonte/ tresdoulce et amiable charite. Mais le fruict de la messe est bien autre/ mesme comme experiẽce nous demonstre/ car par icelle/ toute cõgnoissance	bonte/ tres doulce et amiable charite. Mais le fruict de la messe est bien autre/ mesme comme experience nous demonstre/ car par icelle/ toute congnoissance
de Iesus christ est effacee/ predication de leuangile reiectee ⁊ empeschee/ le temps occupe en sonneries/ urlemens/ chãteries/ ceremonies/ luminaires/ encense¬	de Jesus christ est effacee/ predication de l'evangile rejectee et empeschee/ le temps occupe en sonneries/ urlemens/ chanteries/ ceremonies/ luminaires/ encense¬
mens/ desguisemẽs/ ⁊ telles manieres de singeries/ par lesquelles le paoure monde est cõme brebis ou moutons miserablemẽt entretenu ⁊ pourmene/ et par	mens/ desguisemens/ et telles manieres de singeries/ par lesquelles le paovre monde est comme brebis ou moutons miserablement entretenu et pourmene/ et par
ces loups rauissans/ mãge/ ronge/ ⁊ deuore. Et qui pourroit dire ne pẽser les larrecins de ces paillardz? Par ceste messe ilz ont tout empoigne/ tout destruict/	ces loups ravissans/ mange/ ronge/ et devore. Et qui pourroit dire ne penser les larrecins de ces paillardz? Par ceste messe ilz ont tout empoigne/ tout destruict/
tout englouty/ ilz ont desherite princes ⁊ roys/ marchans/ seigneurs/ ⁊ tout ce que on peult dire/ soit mort ou uif. Par icelle ilz uiuent sans soucy/ ilz nont	tout englouty/ ilz ont desherite princes et roys/ marchans/ seigneurs/ et tout ce que on peult dire/ soit mort ou vif. Par icelle ilz vivent sans soucy/ ilz n'ont
besoing de faire rien/ destudier encore moins/ que uoulez uous plus? Il ne se fault donc esmerueiller se bien for ilz la maintiennẽt/ ilz tuent/ ilz bruslent/	besoing de faire rien/ d'estudier encore moins/ que voulez vous plus? Il ne se fault donc esmerveiller se bien for ilz la maintiennent/ ilz tuent/ ilz bruslent/
ilz destruisent/ ilz meurtrissent comme brigans/ tous ceulx qui a eulx contredisent/ car aultre chose ilz nont plus/ que la force/ Uerite leur fault/ Uerite les	ilz destruisent/ ilz meurtrissent comme brigans/ tous ceulx qui a eulx contredisent/ car aultre chose ilz n'ont plus/ que la force/ Verite leur fault/ Verite les
menasse/ Uerite les suyt et pourchasse/ Uerite les espouuante. Par laquelle briefuement seront destruictz. Fiat, Fiat, Amen.	menasse/ Verite les suyt et pourchasse/ Verite les espouvante. Par laquelle briefvement seront destruictz. Fiat, Fiat, Amen.
